Frequency [GHz]	Zx real [Ohm/m]	Zy real [Ohm/m]
4.804870439655131104e-09	8.545867525045058528e+02	1.282848911645903399e+03
4.962444877628916452e-09	8.808900412751746671e+02	1.322801807955271897e+03
5.125186927053329472e-09	9.080559393496641860e+02	1.364064948788491392e+03
5.293266058360561204e-09	9.361127357688445727e+02	1.406681303263471364e+03
5.466857299720180771e-09	9.650896473050963777e+02	1.450695249658820558e+03
5.646141419303669251e-09	9.950168488870189094e+02	1.496152621626900782e+03
5.831305113526221869e-09	1.025925505021904883e+03	1.543100755922413782e+03
6.022541201461928965e-09	1.057847802248709741e+03	1.591588541696243965e+03
6.220048825634711276e-09	1.090816982655304173e+03	1.641666471405869061e+03
6.424033659394191079e-09	1.124867378494920558e+03	1.693386693395377733e+03
6.634708121092347870e-09	1.160034447937831828e+03	1.746803066199822297e+03
6.852291595284060743e-09	1.196354811995498039e+03	1.801971214630469831e+03
7.077010661181889919e-09	1.233866292655634879e+03	1.858948587699366726e+03
7.309099328602911004e-09	1.272607952267902874e+03	1.917794518443503193e+03
7.548799281653435948e-09	1.312620134221251419e+03	1.978570285710915641e+03
7.796360130405233414e-09	1.353944504955251659e+03	2.041339177973030701e+03
8.052039670825474778e-09	1.396624097349192880e+03	2.106166559229731320e+03
8.316104153230961616e-09	1.440703355534103821e+03	2.173119937075754024e+03
8.588828559546249041e-09	1.486228181174374413e+03	2.242269032999303818e+03
8.870496889654407999e-09	1.533245981267176148e+03	2.313685854986106733e+03
9.161402457138517586e-09	1.581805717509438864e+03	2.387444772504467437e+03
9.461848194721997291e-09	1.631957957283821770e+03	2.463622593949476141e+03
9.772146969725725887e-09	1.683754926316741376e+03	2.542298646626944901e+03
1.009262190987047331e-08	1.735619774527631080e+03	2.621536008983759075e+03
1.042360673976401127e-08	1.785042155849374694e+03	2.698242626128670963e+03
1.076544612842315905e-08	1.836085330917363308e+03	2.777464816219262048e+03
1.111849604819270880e-08	1.888802453227996466e+03	2.859285076795903933e+03
1.148312414543511117e-08	1.943248419432345827e+03	2.943788610883695583e+03
1.185971012337669343e-08	1.999479926502435092e+03	3.031063415718100259e+03
1.224864613750930795e-08	2.057555530772286602e+03	3.121200374380327958e+03
1.265033720395903769e-08	2.117250642287457140e+03	3.213938436950213145e+03
1.306520162124721228e-08	2.177261737875516701e+03	3.307673869661060962e+03
1.349367140588306343e-08	2.239240881255548629e+03	3.404483330758967895e+03
1.393619274224142065e-08	2.303252614027295749e+03	3.504467632180799683e+03
1.439322644719406651e-08	2.369363594414959152e+03	3.607730891963863542e+03
1.486524844997857277e-08	2.437642666681337687e+03	3.714380642668593737e+03
1.535275028780422776e-08	2.508160932818364472e+03	3.824527943356904871e+03
1.585623961771137302e-08	2.580957804824177856e+03	3.938245036636640179e+03
1.637624074521687477e-08	2.653756254255979457e+03	4.052714041447926320e+03
1.691329517029648562e-08	2.728942109321014868e+03	4.170937026585032072e+03
1.746796215127245689e-08	2.806593664347002687e+03	4.293037102826364389e+03
1.804081928719382751e-08	2.886791781303158132e+03	4.419141418335313574e+03
1.863246311931559514e-08	2.969619974005294807e+03	4.549381291065201367e+03
1.924350975230330612e-08	3.055164495082429767e+03	4.683892345506425954e+03
1.987459549580983990e-08	3.143514425795427087e+03	4.822814653918188924e+03
2.052637752709252173e-08	3.232097822508815625e+03	4.962959465338510199e+03
2.119953457536071000e-08	3.323212124226836750e+03	5.107232094257950848e+03
2.189476762856620985e-08	3.417314495043683110e+03	5.256236105366047013e+03
2.261280066337277307e-08	3.514502927884405381e+03	5.410126663073280724e+03
2.335438139906479724e-08	3.614878629325765814e+03	5.569064020365388387e+03
2.412028207618007283e-08	3.718546124987069561e+03	5.733213685681790594e+03
2.491130026067788373e-08	3.825613368377293227e+03	5.902746595266829900e+03
2.572825967447932303e-08	3.933370995675133599e+03	6.074299009169872079e+03
2.657201105324503850e-08	4.043670193701622338e+03	6.250232050052577506e+03
2.744343303228365032e-08	4.157586624358268637e+03	6.431934767846722025e+03
2.834343306151309448e-08	4.275238913819461231e+03	6.619596377559866596e+03
2.927294835042816131e-08	4.396749578573182589e+03	6.813412299455030734e+03
3.023294684405776334e-08	4.522245153002796542e+03	7.013584362550372134e+03
3.122442823092858392e-08	4.651856321152848977e+03	7.220321014792595633e+03
3.224842498408442807e-08	4.782831775708261375e+03	7.430203054235053969e+03
3.330600343624588813e-08	4.916204585236510866e+03	7.644578163932355892e+03
