time	wake_longitudinal
1.1015499634878981e-11	-1984.0434263309623
1.1030730151526754e-11	-1972.986095310832
1.1045981726559986e-11	-1961.9057044027577
1.1061254389094934e-11	-1950.8040583613101
1.107654816828811e-11	-1939.6870626933846
1.1091863093336338e-11	-1928.5546961759123
1.1107199193476811e-11	-1917.406937556474
1.1122556497987152e-11	-1906.2437655532697
1.1137935036185454e-11	-1895.0651588550754
1.1153334837430355e-11	-1883.8710961212
1.1168755931121083e-11	-1872.6615559814418
1.1184198346697516e-11	-1861.43651703606
1.1199662113640232e-11	-1850.1959578557166
1.1215147261470578e-11	-1838.939856981453
1.1230653819750757e-11	-1827.6681929245997
1.1246181818083712e-11	-1816.3809441668807
1.1261731286113455e-11	-1805.0780891601648
1.1277302253524935e-11	-1793.7270735793595
1.129289475004415e-11	-1782.3286611876713
1.1308508805438195e-11	-1770.9144888472351
1.1324144449515323e-11	-1759.484534767648
1.1339801712125e-11	-1748.0387771283806
1.1355480623157968e-11	-1736.5771940787324
1.1371181212546291e-11	-1725.0997637377905
1.1386903510263421e-11	-1713.6064641943933
1.1402647546324256e-11	-1702.0972735070752
1.1418413350785186e-11	-1690.5721697040403
1.1434200953744168e-11	-1679.0311307831132
1.1450010385340766e-11	-1667.4741347116933
1.1465841675756219e-11	-1655.9011594267201
1.1481694855213498e-11	-1644.3121828346252
1.1497569953977356e-11	-1632.7071828112985
1.1513467002354399e-11	-1621.0861372020308
1.1529386030693132e-11	-1609.4427743540014
1.1545327069384018e-11	-1597.7784791914532
1.1561290148859546e-11	-1586.098056458887
1.1577275299594277e-11	-1574.4014838576109
1.1593282552104912e-11	-1562.6887390581
1.160931193695034e-11	-1550.9597996999626
1.1625363484731708e-11	-1539.214643391882
1.1641437226092468e-11	-1527.4532477115908
1.1657533191718446e-11	-1515.6755902058128
1.1673651412337894e-11	-1503.8816483902274
1.1689791918721546e-11	-1492.0713997494338
1.170595474168269e-11	-1480.244821736888
1.1722139912077206e-11	-1468.4018917748845
1.1738347460803648e-11	-1456.520764013279
1.1754577418803333e-11	-1444.593911979535
1.1770829817060215e-11	-1432.650569353073
1.1787104686601236e-11	-1420.6907133332359
1.1803402058496187e-11	-1408.7143210878737
1.1819721963857814e-11	-1396.7213697532738
1.1836064433841886e-11	-1384.7118364341052
1.1852429499647248e-11	-1372.6856982033817
1.1868817192515879e-11	-1360.6429321024216
1.1885227543732957e-11	-1348.5835151407973
1.1901660584626919e-11	-1336.5074242962894
1.1918116346569512e-11	-1324.4146365148522
1.1934594860975862e-11	-1312.3051287105648
1.1951096159304532e-11	-1300.178877765581
1.1967620273057582e-11	-1288.0358605300955
1.1984167233780622e-11	-1275.8760538222962
1.2000737073062886e-11	-1263.699434428314
1.2017329822537278e-11	-1251.4991193852964
1.2033945513880445e-11	-1239.280575354665
1.2050584178812828e-11	-1227.0451374250345
1.2067245849098725e-11	-1214.792782238152
1.2083930556546357e-11	-1202.52348640347
1.2100638333007921e-11	-1190.2372264981002
1.2117369210379654e-11	-1177.9339790667702
1.2134123220601897e-11	-1165.6137206217722
1.2150900395659153e-11	-1153.2764276429302
1.2167700767580143e-11	-1140.9220765775435
