time	wake_longitudinal
1e-11	-102261207131874.69
1.00138264419705e-11	-102261207131874.69
1.0027672000990756e-11	-102261207131874.69
1.0041536703492846e-11	-102261207131874.69
1.0055420575945395e-11	-102261207131874.69
1.0069323644853623e-11	-102261207131874.69
1.0083245936759398e-11	-102261207131874.69
1.0097187478241287e-11	-102261207131874.69
1.0111148295914602e-11	-102261207131874.69
1.012512841643146e-11	-102261207131874.69
1.0139127866480825e-11	-102261207131874.69
1.0153146672788562e-11	-102261207131874.69
1.016718486211749e-11	-102261207131874.69
1.0181242461267432e-11	-102261207131874.69
1.0195319497075263e-11	-102261207131874.69
1.0209415996414964e-11	-102261207131874.69
1.0223531986197675e-11	-102261207131874.69
1.0237667493371788e-11	-102261207131874.69
1.0251822544922826e-11	-102261207131874.69
1.026599716787375e-11	-102261207131874.69
1.0280191389284843e-11	-102261207131874.69
1.02944052362538e-11	-102261207131874.69
1.0308638735915787e-11	-102261207131874.69
1.0322891915443486e-11	-102261207131874.69
1.0337164802047148e-11	-102261207131874.69
1.0351457422974647e-11	-102261207131874.69
1.0365769805511533e-11	-102261207131874.69
1.038010197698108e-11	-102261207131874.69
1.0394453964744339e-11	-102261207131874.69
1.0408825796200196e-11	-102261207131874.69
1.0423217498785417e-11	-102261207131874.69
1.0437629099974703e-11	-102261207131874.69
1.0452060627280742e-11	-102261207131874.69
1.0466512108254266e-11	-102261207131874.69
1.0480983570484097e-11	-102261207131874.69
1.0495475041597203e-11	-102261207131874.69
1.050998654925875e-11	-102261207131874.69
1.0524518121172156e-11	-102261207131874.69
1.0539069785079143e-11	-102261207131874.69
1.0553641568759786e-11	-102261207131874.69
1.0568233500032578e-11	-102261207131874.69
1.0582845606754468e-11	-102261207131874.69
1.0597477916820922e-11	-102261207131874.69
1.061213045816598e-11	-102261207131874.69
1.0626803258762301e-11	-102261207131874.69
1.064149634662122e-11	-102261207131874.69
1.0656209749792804e-11	-102261207131874.69
1.0670943496365902e-11	-102261207131874.69
1.06856976144682e-11	-102261207131874.69
1.0700472132266276e-11	-102261207131874.69
1.0715267077965693e-11	-102261207131874.69
1.0730082479810882e-11	-102261207131874.69
1.0744918366085461e-11	-102261207131874.69
1.0759774765112105e-11	-102261207131874.69
1.0774651705252652e-11	-102261207131874.69
1.0789549214908154e-11	-102261207131874.69
1.0804467322518932e-11	-102261207131874.69
1.0819406056564629e-11	-102261207131874.69
1.0834365445564264e-11	-102261207131874.69
1.0849345518076294e-11	-102261207131874.69
1.0864346302698651e-11	-102261207131874.69
1.0879367828068819e-11	-102261207131874.69
1.089441012286387e-11	-102261207131874.69
