#Parameters = {C_1=25.412767459909; C_2=94.841739321315; Conductivity=10000000; Conductivity_Mo=17900000; Conductivity_MoGr=1000000; Ip=98.18739362802; Pipe_lenght=40; Pipe_r=30; beta=1; cells_wave=20; conductivity_copper=59500000; d=-394.84173932132; half_gap_x=4.5872325400905; half_gap_y=30; half_gap_z=150; mu_copper=0.999994; offset=1.8348930160362; offset_x=1; offset_y=5; sigma_z=5; teta=15; thcoll=25.412767459909; translate_z=-244.84173932132; wakelength=20000}
#"s / mm"	"Z [Real Part / V/pC]"
#-------------------------------
-21.377467301818	-0.0048462018106052
-21.150157324478	-0.0054467313871532
-20.922847347137	-0.0061155425714870
-20.695537369797	-0.0068595502944148
-20.468227392456	-0.0076862632963106
-20.240917415116	-0.0086038213520691
-20.013607437775	-0.0096210236926381
-19.786297460435	-0.010747370827812
-19.558987483094	-0.011993099510955
-19.331677505754	-0.013369217823983
-19.104367528413	-0.014887553781063
-18.877057551072	-0.016560776266314
-18.649747573732	-0.018402427968379
-18.422437596391	-0.020426957313744
-18.195127619051	-0.022649751812762
-17.967817641710	-0.025087170878541
-17.740507664370	-0.027756532062942
-17.513197687029	-0.030676154702924
-17.285887709689	-0.033865367063106
-17.058577732348	-0.037344526592597
-16.831267755008	-0.041134999831778
-16.603957777667	-0.045259130982833
-16.376647800327	-0.049740212382446
-16.149337822986	-0.054602480525957
-15.922027845646	-0.059871105977067
-15.694717868305	-0.065572175705176
-15.467407890964	-0.071732486852746
-15.240097913624	-0.078379523856082
-15.012787936283	-0.085541420877656
-14.785477958943	-0.093246769020529
-14.558167981602	-0.10152463845024
-14.330858004262	-0.11040425795096
-14.103548026921	-0.11991492967792
-13.876238049581	-0.13008591218503
-13.648928072240	-0.14094613294831
-13.421618094900	-0.15252393322816
-13.194308117559	-0.16484702384624
-12.966998140219	-0.17794220305547
-12.739688162878	-0.19183470403027
-12.512378185538	-0.20654792326915
-12.285068208197	-0.22210401076634
-12.057758230856	-0.23852300939395
-11.830448253516	-0.25582232751194
-11.603138276175	-0.27401613232743
-11.375828298835	-0.29311505124483
-11.148518321494	-0.31312654279342
-10.921208344154	-0.33405425650963
-10.693898366813	-0.35589682366240
-10.466588389473	-0.37864908889253
-10.239278412132	-0.40229929497993
-10.011968434792	-0.42683058655438
-9.7846584574511	-0.45221996965498
-9.5573484801106	-0.47843878933894
-9.3300385027701	-0.50545220018829
-9.1027285254295	-0.53321755925017
-8.8754185480890	-0.56168414938163
-8.6481085707485	-0.59079315025617
-8.4207985934079	-0.62047910511700
-8.1934886160674	-0.65066777786504
-7.9661786387269	-0.68127815169447
-7.7388686613863	-0.71221942626915
-7.5115586840458	-0.74339271472281
-7.2842487067053	-0.77468963628107
-7.0569387293647	-0.80599356974145
-6.8296287520242	-0.83717982292551
-6.6023187746837	-0.86811586649423
-6.3750087973431	-0.89865952448483
-6.1476988200026	-0.92866415951943
-5.9203888426621	-0.95797384356807
-5.6930788653215	-0.98642718358499
-5.4657688879810	-1.0138531257542
-5.2384589106405	-1.0400769540400
-5.0111489332999	-1.0649200165423
-4.7838389559594	-1.0882006816712
-4.5565289786189	-1.1097327745856
-4.3292190012783	-1.1293252839814
-4.1019090239378	-1.1467895325416
-3.8745990465973	-1.1619337838925
-3.6472890692567	-1.1745688351623
-3.4199790919162	-1.1845111767171
-3.1926691145757	-1.1915722417066
-2.9653591372351	-1.1955789640426
-2.7380491598946	-1.1963569974740
-2.5107391825541	-1.1937466619993
-2.2834292052135	-1.1875896486572
-2.0561192278730	-1.1777432458298
-1.8288092505325	-1.1640751836621
-1.6014992731919	-1.1464683083951
-1.3741892958514	-1.1248223602452
-1.1468793185109	-1.0990500454382
-0.91956934117034	-1.0690832398185
-0.69225936382982	-1.0348758038869
-0.46494938648928	-0.99640082084310
-0.23763940914874	-0.95365357793122
-0.010329431808217	-0.90665177440670
0.21698054553232	-0.85543445801861
0.44429052287285	-0.80007036405417
0.67160050021338	-0.74065588452843
0.89891047755392	-0.67730821126545
1.1262204548944	-0.61017638542982
1.3535304322350	-0.53943016550403
1.5808404095755	-0.46526830588258
1.8081503869160	-0.38791637220083
2.0354603642566	-0.30762891268345
2.2627703415971	-0.22468610641091
2.4900803189376	-0.13938983969461
2.7173902962782	-0.052061802495965
2.9447002736187	0.036950863689717
3.1720102509592	0.12727749803662
3.3993202282998	0.21852685112344
3.6266302056403	0.31029427747479
3.8539401829808	0.40216068600276
4.0812501603214	0.49370132762609
4.3085601376619	0.58448194799530
4.5358701150024	0.67405683704916
4.7631800923430	0.76197590780944
4.9904900696835	0.84779156431774
5.2178000470240	0.93106531050740
5.4451100243646	1.0113633573430
5.6724200017051	1.0882620804052
5.8997299790456	1.1613520928993
6.1270399563862	1.2302428450700
6.3543499337267	1.2945688291711
6.5816599110672	1.3539898685810
6.8089698884078	1.4081903327979
7.0362798657483	1.4568840107748
7.2635898430888	1.4998193895930
7.4908998204294	1.5367856717360
7.7182097977699	1.5676133042546
7.9455197751104	1.5921726828649
8.1728297524510	1.6103734852929
8.4001397297915	1.6221692194960
8.6274497071320	1.6275587365321
8.8547596844726	1.6265869724679
9.0820696618131	1.6193444827330
9.3093796391536	1.6059642755785
9.5366896164942	1.5866236290472
9.7639995938347	1.5615400063207
9.9913095711752	1.5309725506106
10.218619548516	1.4952167764511
10.445929525856	1.4546024435957
10.673239503197	1.4094901855958
10.900549480537	1.3602678258361
11.127859457878	1.3073479758177
11.355169435218	1.2511636177690
11.582479412559	1.1921631571639
11.809789389900	1.1308050669137
12.037099367240	1.0675537598859
12.264409344581	1.0028759235802
12.491719321921	0.93723679757228
12.719029299262	0.87109518723152
12.946339276602	0.80489818661860
13.173649253943	0.73907632154303
13.400959231283	0.67404066170015
13.628269208624	0.61018011145866
13.855579185964	0.54785840842449
14.082889163305	0.48741069303285
14.310199140645	0.42914059366372
14.537509117986	0.37331828916743
14.764819095326	0.32017963760336
14.992129072667	0.26992544006736
15.219439050007	0.22272060469395
15.446749027348	0.17869369965918
15.674059004689	0.13793724083431
15.901368982029	0.10050907096021
16.128678959370	0.066433733066771
16.355988936710	0.035703835745947
16.583298914051	0.0082814467344587
16.810608891391	-0.015899742019272
17.037918868732	-0.036931353872702
17.265228846072	-0.054927246781966
17.492538823413	-0.070020768105997
17.719848800753	-0.082362628148624
17.947158778094	-0.092118430822448
18.174468755434	-0.099465335168599
18.401778732775	-0.10458823939104
18.629088710115	-0.10767656737229
18.856398687456	-0.10892201158567
19.083708664797	-0.10851691876119
19.311018642137	-0.10665239465730
19.538328619478	-0.10351580913217
19.765638596818	-0.099288152324882
19.992948574159	-0.094142048649211
20.220258551499	-0.088240744018657
20.447568528840	-0.081737556154821
20.674878506180	-0.074775217251828
20.902188483521	-0.067485130584551
21.129498460861	-0.059986866420388
21.356808438202	-0.052388040059192
21.584118415542	-0.044784592323539
21.811428392883	-0.037260980389906
22.038738370223	-0.029890446222099
22.266048347564	-0.022735581493780
22.493358324905	-0.015849206586256
22.720668302245	-0.0092754817969723
22.947978279586	-0.0030506575803249
23.175288256926	0.0027964985099955
23.402598234267	0.0082442106663616
23.629908211607	0.013276875104931
23.857218188948	0.017883764345320
24.084528166288	0.022057932159234
24.311838143629	0.025795649326692
24.539148120969	0.029096232616426
24.766458098310	0.031961784077687
24.993768075650	0.034396650595918
25.221078052991	0.036406680669257
25.448388030331	0.037998830800307
25.675698007672	0.039181168336056
25.903007985013	0.039962909715045
26.130317962353	0.040354311850474
26.357627939694	0.040366368712993
26.584937917034	0.040010670597721
26.812247894375	0.039299682249693
27.039557871715	0.038247021327296
27.266867849056	0.036867556508306
27.494177826396	0.035177167724559
27.721487803737	0.033192509515982
27.948797781077	0.030931051256060
28.176107758418	0.028411377892518
28.403417735758	0.025653469634377
28.630727713099	0.022678597825646
28.858037690439	0.019509038798720
29.085347667780	0.016167828985089
29.312657645121	0.012678728541635
29.539967622461	0.0090662129636465
29.767277599802	0.0053553213743528
29.994587577142	0.0015714058173711
30.221897554483	-0.0022601146774919
30.449207531823	-0.0061138590285316
30.676517509164	-0.0099646118448840
30.903827486504	-0.013787621919116
31.131137463845	-0.017559040289334
31.358447441185	-0.021256120849558
31.585757418526	-0.024857160333481
31.813067395866	-0.028341279048932
32.040377373207	-0.031688506150226
32.267687350547	-0.034880338748744
32.494997327888	-0.037900270077879
32.722307305229	-0.040733959606540
32.949617282569	-0.043368862313161
33.176927259910	-0.045793802110860
33.404237237250	-0.047998800917727
33.631547214591	-0.049975423705116
33.858857191931	-0.051717223044810
34.086167169272	-0.053219895055774
34.313477146612	-0.054480988778083
34.540787123953	-0.055499476566254
34.768097101293	-0.056275438743610
34.995407078634	-0.056810091592486
35.222717055974	-0.057105955343689
35.450027033315	-0.057166996954777
35.677337010655	-0.056998652157775
35.904646987996	-0.056607708743977
36.131956965337	-0.056001990900842
36.359266942677	-0.055190001011792
36.586576920018	-0.054180683228398
36.813886897358	-0.052983569764005
37.041196874699	-0.051609096071100
37.268506852039	-0.050068793744873
37.495816829380	-0.048375162573109
37.723126806720	-0.046541024013886
37.950436784061	-0.044579113855371
38.177746761401	-0.042502125807406
38.405056738742	-0.040323140553555
38.632366716082	-0.038056023319752
38.859676693423	-0.035715264121093
39.086986670763	-0.033315447886031
39.314296648104	-0.030870779847328
39.541606625445	-0.028395093598890
39.768916602785	-0.025902159008842
39.996226580126	-0.023405918216167
40.223536557466	-0.020920293273251
40.450846534807	-0.018458861440620
40.678156512147	-0.016034710135252
40.905466489488	-0.013660493660110
41.132776466828	-0.011348543611902
41.360086444169	-0.0091107452318535
41.587396421509	-0.0069582695128531
41.814706398850	-0.0049014450538163
42.042016376190	-0.0029498684716258
42.269326353531	-0.0011125604073779
42.496636330871	0.00060210988414470
42.723946308212	0.0021867614208054
42.951256285553	0.0036352292385108
43.178566262893	0.0049424792340924
43.405876240234	0.0061043299589706
43.633186217574	0.0071173505048815
43.860496194915	0.0079791902806925
44.087806172255	0.0086889801433416
44.315116149596	0.0092473715272071
44.542426126936	0.0096561193860844
44.769736104277	0.0099176264652900
44.997046081617	0.010034952763224
45.224356058958	0.010012292003242
45.451666036298	0.0098554096519953
45.678976013639	0.0095715011523739
45.906285990979	0.0091685668771363
46.133595968320	0.0086548462538501
46.360905945661	0.0080388005077843
46.588215923001	0.0073295162092228
46.815525900342	0.0065369947556155
47.042835877682	0.0056719128581778
47.270145855023	0.0047450382562842
47.497455832363	0.0037667715818769
47.724765809704	0.0027471366363688
47.952075787044	0.0016960171971562
48.179385764385	0.00062326779825003
48.406695741725	-0.00046155511550518
48.634005719066	-0.0015495943115331
48.861315696406	-0.0026329360006487
49.088625673747	-0.0037045883741827
49.315935651087	-0.0047583501723765
49.543245628428	-0.0057887670006149
49.770555605769	-0.0067911621741379
49.997865583109	-0.0077616868760702
50.225175560450	-0.0086972848315920
50.452485537790	-0.0095956980679828
50.679795515131	-0.010455468315973
50.907105492471	-0.011275862106565
51.134415469812	-0.012056651872803
51.361725447152	-0.012797780526560
51.589035424493	-0.013499121578505
51.816345401833	-0.014160477621646
52.043655379174	-0.014781747887165
52.270965356514	-0.015362957106027
52.498275333855	-0.015903968586874
52.725585311195	-0.016404077208653
52.952895288536	-0.016861724109533
53.180205265877	-0.017274560930398
53.407515243217	-0.017639682260967
53.634825220558	-0.017953774794769
53.862135197898	-0.018213050998765
54.089445175239	-0.018413083638142
54.316755152579	-0.018548770332944
54.544065129920	-0.018614507677421
54.771375107260	-0.018604493569877
54.998685084601	-0.018513021234849
55.225995061941	-0.018334720952332
55.453305039282	-0.018064744809321
55.680615016622	-0.017698918301945
55.907924993963	-0.017233821890965
56.135234971303	-0.016666894051258
56.362544948644	-0.015996628550819
56.589854925984	-0.015222890104170
56.817164903325	-0.014347351775597
57.044474880666	-0.013373723894920
57.271784858006	-0.012307753944073
57.499094835347	-0.011157056648616
57.726404812687	-0.0099309940627291
57.953714790028	-0.0086406919462233
58.181024767368	-0.0072991649822947
58.408334744709	-0.0059212579134149
58.635644722049	-0.0045233848942948
58.862954699390	-0.0031231233052095
59.090264676730	-0.0017388458832447
59.317574654071	-0.00038941709014391
59.544884631411	0.00090609434753860
59.772194608752	0.0021287690038869
59.999504586092	0.0032602128086685
60.226814563433	0.0042828723053939
60.454124540774	0.0051803763866384
60.681434518114	0.0059379557917308
60.908744495455	0.0065429832278918
61.136054472795	0.0069854565255124
61.363364450136	0.0072582642506843
61.590674427476	0.0073571759308090
61.817984404817	0.0072808103644021
62.045294382157	0.0070307403027801
62.272604359498	0.0066117492504517
62.499914336838	0.0060319784019087
62.727224314179	0.0053027295438215
62.954534291519	0.0044380324056406
63.181844268860	0.0034542125188619
63.409154246200	0.0023696801742006
63.636464223541	0.0012047853402438
63.863774200882	-1.8470577000724e-05
64.091084178222	-0.0012770110976150
64.318394155563	-0.0025473752425800
64.545704132903	-0.0038063347526399
64.773014110244	-0.0050313298601970
65.000324087584	-0.0062008672367605
65.227634064925	-0.0072949846446415
65.454944042265	-0.0082957697642255
65.682254019606	-0.0091877623964430
65.909563996946	-0.0099582491629824
66.136873974287	-0.010597546052557
66.364183951627	-0.011099340899739
66.591493928968	-0.011461011614748
66.818803906308	-0.011683712434294
67.046113883649	-0.011772102946642
67.273423860990	-0.011733968678355
67.500733838330	-0.011580000046042
67.728043815671	-0.011323797237462
67.955353793011	-0.010981877369480
68.182663770352	-0.010573315401214
68.409973747692	-0.010119015810332
68.637283725033	-0.0096408572176824
68.864593702373	-0.0091610860761717
69.091903679714	-0.0087019936506189
69.319213657054	-0.0082855766843222
69.546523634395	-0.0079330003596373
69.773833611735	-0.0076638405300873
70.001143589076	-0.0074954078066537
70.228453566416	-0.0074423123699874
70.455763543757	-0.0075161724822722
70.683073521098	-0.0077253208021445
70.910383498438	-0.0080744258126587
71.137693475779	-0.0085642071327145
71.365003453119	-0.0091913918230722
71.592313430460	-0.0099488315830207
71.819623407800	-0.010825664285194
72.046933385141	-0.011807361343655
72.274243362481	-0.012875808588919
72.501553339822	-0.014009577330170
72.728863317162	-0.015184483584538
72.956173294503	-0.016374239253116
73.183483271843	-0.017551086701418
73.410793249184	-0.018686306683298
73.638103226524	-0.019750765139909
73.865413203865	-0.020715469481058
74.092723181206	-0.021552217399771
74.320033158546	-0.022234232871583
74.547343135887	-0.022736819319923
74.774653113227	-0.023038082214233
75.001963090568	-0.023119614303103
75.229273067908	-0.022967000111495
75.456583045249	-0.022570002000004
75.683893022589	-0.021922566966359
75.911202999930	-0.021022927821184
76.138512977270	-0.019873985785464
76.365822954611	-0.018483771332641
76.593132931951	-0.016865602194099
