Frequency [GHz]	Zx imag [Ohm/m]	Zy imag [Ohm/m]
3.439826489022924478e-08	2.356746471469134465e+07	6.654945292946188152e+07
3.552634676578139226e-08	2.356708930884798989e+07	6.654887486182533205e+07
3.669142378402493899e-08	2.356670159167063609e+07	6.654827783661560714e+07
3.789470919074667737e-08	2.356630115941239148e+07	6.654766123212417960e+07
3.913745601980383687e-08	2.356588759508558735e+07	6.654702440625375509e+07
4.042095839796305955e-08	2.356546258177217096e+07	6.654636704620311409e+07
4.174655289253134782e-08	2.356502603877102956e+07	6.654568852741671354e+07
4.311561990318228626e-08	2.356457517945919186e+07	6.654498775678860396e+07
4.452958509942655287e-08	2.356410953433709219e+07	6.654426400457561016e+07
4.598992090522439315e-08	2.356362861850804090e+07	6.654351651710281521e+07
4.749814803228499868e-08	2.356313193117329851e+07	6.654274451597874612e+07
4.905583706365045989e-08	2.356261895511057228e+07	6.654194719728475809e+07
5.066461008921269181e-08	2.356209121259555221e+07	6.654112411145423353e+07
5.232614239486661694e-08	2.356155029831681773e+07	6.654027479834076017e+07
5.404216420705915059e-08	2.356099164489931986e+07	6.653939763223141432e+07
5.581446249454960394e-08	2.356041467059275880e+07	6.653849169969467074e+07
5.764488282925879445e-08	2.355981877456849068e+07	6.653755605734324455e+07
5.953533130814369715e-08	2.355920333629385754e+07	6.653658973085173219e+07
6.148777653810024108e-08	2.355856771488599479e+07	6.653559171394197643e+07
6.350425168595962148e-08	2.355791293493795767e+07	6.653456131709185243e+07
6.558685659571428548e-08	2.355724353753238916e+07	6.653349855047188699e+07
6.773775997517751128e-08	2.355655218741835654e+07	6.653240093070551753e+07
6.995920165435375620e-08	2.355583816466267034e+07	6.653126731479316205e+07
7.225349491787214948e-08	2.355510072572213039e+07	6.653009652225086838e+07
7.462302891391107044e-08	2.355433910266922787e+07	6.652888733388101310e+07
7.707027114212294845e-08	2.355355250239248201e+07	6.652763849050273001e+07
7.959777002314985573e-08	2.355274084749722108e+07	6.652634885976087302e+07
8.220815755240541849e-08	2.355191354685994983e+07	6.652501942290442437e+07
8.490415204088747078e-08	2.355105911512005702e+07	6.652364638752266020e+07
8.768856094587425811e-08	2.355017666252031922e+07	6.652222832381363213e+07
