Frequency [GHz]	Zx imag [Ohm/m]	Zy imag [Ohm/m]
5.019965133110081441e-10	2.169552943499444984e+06	1.532119983966201777e+06
5.184593543892912175e-10	2.169546960533962585e+06	1.532111954326004256e+06
5.354620899273606527e-10	2.169540781358731445e+06	1.532103661355909193e+06
5.530224256192902378e-10	2.169534399539105128e+06	1.532095096420082729e+06
5.711586478126431938e-10	2.169527808429414406e+06	1.532086250599482097e+06
5.898896425508497150e-10	2.169521001166048925e+06	1.532077114682565909e+06
6.092349152400710261e-10	2.169513970660306048e+06	1.532067679155704100e+06
6.292146109610343618e-10	2.169506709591011982e+06	1.532057934193268185e+06
6.498495354469890483e-10	2.169499210396897513e+06	1.532047869647401618e+06
6.711611767496282870e-10	2.169491465268721804e+06	1.532037475037451135e+06
6.931717276155404727e-10	2.169483466141144279e+06	1.532026739539054222e+06
7.159041085964887260e-10	2.169475204684322234e+06	1.532015651972865686e+06
7.393819919175865964e-10	2.169466672295237891e+06	1.532004200792915886e+06
7.636298261282244400e-10	2.169457860088741407e+06	1.531992374074589694e+06
7.886728615614152294e-10	2.169448758888294920e+06	1.531980159502206603e+06
8.145371766280743462e-10	2.169439359216419980e+06	1.531967544356196187e+06
8.412497049736117954e-10	2.169429651284825988e+06	1.531954515499854693e+06
8.688382635251186617e-10	2.169419624984217808e+06	1.531941059365662513e+06
8.973315814583522479e-10	2.169409269873768557e+06	1.531927161941156490e+06
9.267593301146878953e-10	2.169398575170248281e+06	1.531912808754339581e+06
9.571521538991863169e-10	2.169387529736793600e+06	1.531897984858608572e+06
9.885417021919573871e-10	2.169376122071309481e+06	1.531882674817190971e+06
1.020960662306046580e-09	2.169364432603849098e+06	1.531867847426322056e+06
1.054442793526168950e-09	2.169352411899888422e+06	1.531853089743877761e+06
1.089022962263730067e-09	2.169339996980163734e+06	1.531837848087193677e+06
1.124737178364752061e-09	2.169327174916474614e+06	1.531822106584464898e+06
1.161622632608501755e-09	2.169313932356644422e+06	1.531805848843374057e+06
1.199717735435884489e-09	2.169300255510615185e+06	1.531789057934022276e+06
1.239062156947916503e-09	2.169286130136086605e+06	1.531771716371299699e+06
1.279696868215940940e-09	2.169271541523686610e+06	1.531753806096676737e+06
1.321664183946605026e-09	2.169256474481654819e+06	1.531735308459398802e+06
1.365007806546013663e-09	2.169240913320017979e+06	1.531716204197065439e+06
1.409772871628966933e-09	2.169224841834256891e+06	1.531696473415570101e+06
1.456005995020649598e-09	2.169208243288429454e+06	1.531676095568385208e+06
1.503755321299737753e-09	2.169191100397740956e+06	1.531655049435164779e+06
1.553070573933460069e-09	2.169173395310547668e+06	1.531633313099647174e+06
1.604003107056820079e-09	2.169155109589766711e+06	1.531610863926833728e+06
1.656605958949914401e-09	2.169136224193674512e+06	1.531587678539415821e+06
1.710933907269014249e-09	2.169116719456080813e+06	1.531563732793433592e+06
1.767043526088946692e-09	2.169096575065846089e+06	1.531539001753130695e+06
1.824993244816152494e-09	2.169075770045734011e+06	1.531513459664991125e+06
1.884843409033795523e-09	2.169054282730564941e+06	1.531487079930918524e+06
1.946656343342262358e-09	2.169032090744655114e+06	1.531459835080538644e+06
2.010496416260498236e-09	2.169009170978516340e+06	1.531431696742594708e+06
2.076430107255774870e-09	2.168985499564792030e+06	1.531402635615401203e+06
2.144526075971667793e-09	2.168961051853400189e+06	1.531372621436331887e+06
2.214855233726359314e-09	2.168935802385867573e+06	1.531341622950306395e+06
2.287490817355702788e-09	2.168909724868815392e+06	1.531309607877241680e+06
2.362508465477946229e-09	2.168882792146582622e+06	1.531276542878438719e+06
2.439986297259550245e-09	2.168854976172944531e+06	1.531242393521864200e+06
2.520004993764092080e-09	2.168826247981908266e+06	1.531207124246295076e+06
2.602647881969005809e-09	2.168796577657548245e+06	1.531170698324288940e+06
2.688001021537606561e-09	2.168765934302854817e+06	1.531133077823935775e+06
2.776153294436799262e-09	2.168734286007558461e+06	1.531094223569358932e+06
2.867196497493770032e-09	2.168701599814902991e+06	1.531054095099919243e+06
2.961225437988034610e-09	2.168667841687321663e+06	1.531012650628081989e+06
3.058338032378433485e-09	2.168632976470996160e+06	1.530969846995901316e+06
3.158635408267817403e-09	2.168596967859248165e+06	1.530925639630077872e+06
3.262222009711669644e-09	2.168559778354730923e+06	1.530879982495543780e+06
3.369205705980266915e-09	2.168521369230383076e+06	1.530832828047522344e+06
3.479697903887691433e-09	2.168481700489098672e+06	1.530784127182019176e+06
3.593813663804627762e-09	2.168440730822078884e+06	1.530733829184687464e+06
3.711671819475765297e-09	2.168398417565811425e+06	1.530681881678017555e+06
3.833395101766601886e-09	2.168354716657648794e+06	1.530628230566792190e+06
3.959110266468459240e-09	2.168309582589917816e+06	1.530572819981757319e+06
4.088948226294862618e-09	2.168262968362535816e+06	1.530515592221440515e+06
4.223044187206674123e-09	2.168214825434062630e+06	1.530456487692066235e+06
4.361537789208003199e-09	2.168165103671157267e+06	1.530395444845495513e+06
4.504573251759458750e-09	2.168113751296366099e+06	1.530332400115136057e+06
4.652299523960189308e-09	2.168060714834209997e+06	1.530267287849745480e+06
4.804870439655131104e-09	2.168005939055496361e+06	1.530200040245066863e+06
4.962444877628916452e-09	2.167949366919803899e+06	1.530130587273220532e+06
5.125186927053329472e-09	2.167890939516087063e+06	1.530058856609781738e+06
5.293266058360561204e-09	2.167830596001328435e+06	1.529984773558465065e+06
5.466857299720180771e-09	2.167768273537180852e+06	1.529908260973340366e+06
5.646141419303669251e-09	2.167703907224528491e+06	1.529829239178498508e+06
5.831305113526221869e-09	2.167637430035908241e+06	1.529747625885078916e+06
6.022541201461928965e-09	2.167568772745708469e+06	1.529663336105580442e+06
6.220048825634711276e-09	2.167497863858082797e+06	1.529576282065359876e+06
6.424033659394191079e-09	2.167424629532496445e+06	1.529486373111228226e+06
6.634708121092347870e-09	2.167348993506834842e+06	1.529393515617048368e+06
6.852291595284060743e-09	2.167270877017988823e+06	1.529297612886240240e+06
7.077010661181889919e-09	2.167190198719832115e+06	1.529198565051084850e+06
7.309099328602911004e-09	2.167106874598516151e+06	1.529096268968728371e+06
7.548799281653435948e-09	2.167020817884978838e+06	1.528990618113774806e+06
7.796360130405233414e-09	2.166931938964591362e+06	1.528881502467356157e+06
8.052039670825474778e-09	2.166840145283836871e+06	1.528768808402564609e+06
8.316104153230961616e-09	2.166745341253929771e+06	1.528652418566129869e+06
8.588828559546249041e-09	2.166647428151277360e+06	1.528532211756210774e+06
8.870496889654407999e-09	2.166546304014672060e+06	1.528408062796185724e+06
9.161402457138517586e-09	2.166441863539116457e+06	1.528279842404298717e+06
9.461848194721997291e-09	2.166333997966162860e+06	1.528147417059033178e+06
9.772146969725725887e-09	2.166222594970661215e+06	1.528010648860070156e+06
