Frequency [GHz]	Zx real [Ohm/m]	Zy real [Ohm/m]
5.019965133110081441e-10	8.740367434645779667e+02	1.316938936104919321e+03
5.184593543892912175e-10	9.009788977333989806e+02	1.358010537472116539e+03
5.354620899273606527e-10	9.288046127287848321e+02	1.400429070995633083e+03
5.530224256192902378e-10	9.575428645878974976e+02	1.444238708954448612e+03
5.711586478126431938e-10	9.872235797125491672e+02	1.489485072245589663e+03
5.898896425508497150e-10	1.017877665932876312e+03	1.536215277891170672e+03
6.092349152400710261e-10	1.049537044693019880e+03	1.584477988103416692e+03
6.292146109610343618e-10	1.082234684292322754e+03	1.634323460958755049e+03
6.498495354469890483e-10	1.116004634216667000e+03	1.685803602733757998e+03
6.711611767496282870e-10	1.150882060595696885e+03	1.738972021957421248e+03
6.931717276155404727e-10	1.186903282822849860e+03	1.793884085236079272e+03
7.159041085964887260e-10	1.224105811376335396e+03	1.850596974909077289e+03
7.393819919175865964e-10	1.262528386880439712e+03	1.909169748595250439e+03
7.636298261282244400e-10	1.302211020447836745e+03	1.969663400692211326e+03
7.886728615614152294e-10	1.343195035344914459e+03	2.032140925892489804e+03
8.145371766280743462e-10	1.385523110023504387e+03	2.096667384782671434e+03
8.412497049736117954e-10	1.429239322563823862e+03	2.163309971593835598e+03
8.688382635251186617e-10	1.474389196574914877e+03	2.232138084173857351e+03
8.973315814583522479e-10	1.521019748600374214e+03	2.303223396254428280e+03
9.267593301146878953e-10	1.569179537078741305e+03	2.376639932088056412e+03
9.571521538991863169e-10	1.618918712909529631e+03	2.452464143532767139e+03
9.885417021919573871e-10	1.670289071677558468e+03	2.530774989664772420e+03
1.020960662306046580e-09	1.713618350773375823e+03	2.599478727621191865e+03
1.054442793526168950e-09	1.752877588293722511e+03	2.663561602797375144e+03
1.089022962263730067e-09	1.793424321983891332e+03	2.729746058685557273e+03
1.124737178364752061e-09	1.835300774935618847e+03	2.798101016061794780e+03
1.161622632608501755e-09	1.878550554935613718e+03	2.868697655940515688e+03
1.199717735435884489e-09	1.923218699876262690e+03	2.941609493698438655e+03
1.239062156947916503e-09	1.969351724655557746e+03	3.016912455629351825e+03
1.279696868215940940e-09	2.016997669615099085e+03	3.094684958009490856e+03
1.321664183946605026e-09	2.066206150566614724e+03	3.175007988755854058e+03
1.365007806546013663e-09	2.117028410459073257e+03	3.257965191762460108e+03
1.409772871628966933e-09	2.169517372740221163e+03	3.343642954002415991e+03
1.456005995020649598e-09	2.223727696468082740e+03	3.432130495486445398e+03
1.503755321299737753e-09	2.279715833229838609e+03	3.523519962171610132e+03
1.553070573933460069e-09	2.337540085927338623e+03	3.617906521916932888e+03
1.604003107056820079e-09	2.397260669490466626e+03	3.715388463585853970e+03
1.656605958949914401e-09	2.458939773581590998e+03	3.816067299398746854e+03
1.710933907269014249e-09	2.522641627356384106e+03	3.920047870642034923e+03
1.767043526088946692e-09	2.588432566348462842e+03	4.027438456844028224e+03
1.824993244816152494e-09	2.656381101547482103e+03	4.138350888531132114e+03
1.884843409033795523e-09	2.726557990742638594e+03	4.252900663681894912e+03
1.946656343342262358e-09	2.799036312205857939e+03	4.371207068000104300e+03
2.010496416260498236e-09	2.873891540791396437e+03	4.493393299132221728e+03
2.076430107255774870e-09	2.951201626531132206e+03	4.619586594958506794e+03
2.144526075971667793e-09	3.031047075807331566e+03	4.749918366091382268e+03
2.214855233726359314e-09	3.113511035187492780e+03	4.884524332719081940e+03
2.287490817355702788e-09	3.198679378008502681e+03	5.023544665937031823e+03
2.362508465477946229e-09	3.286640793800307620e+03	5.167124133714143682e+03
2.439986297259550245e-09	3.377486880642217784e+03	5.315412251646074765e+03
2.520004993764092080e-09	3.471312240547992587e+03	5.468563438652347031e+03
2.602647881969005809e-09	3.568214577979078058e+03	5.626737177779561534e+03
2.688001021537606561e-09	3.668294801588534938e+03	5.790098182278069544e+03
2.776153294436799262e-09	3.771657129301650457e+03	5.958816567125114489e+03
2.867196497493770032e-09	3.878409196842640995e+03	6.133068026173023100e+03
2.961225437988034610e-09	3.988662169820428517e+03	6.313034015106888546e+03
3.058338032378433485e-09	4.102530859490292642e+03	6.498901940402372929e+03
3.158635408267817403e-09	4.220133842311840453e+03	6.690865354480250971e+03
3.262222009711669644e-09	4.341593583427890735e+03	6.889124157261061555e+03
3.369205705980266915e-09	4.467036564192786500e+03	7.093884804329640247e+03
3.479697903887691433e-09	4.596593413882978894e+03	7.305360521926382717e+03
3.593813663804627762e-09	4.730399045727031080e+03	7.523771528989082981e+03
3.711671819475765297e-09	4.868592797396649985e+03	7.749345266476548204e+03
3.833395101766601886e-09	5.011318576105151806e+03	7.982316634212876124e+03
3.959110266468459240e-09	5.158725008464319217e+03	8.222928235498902723e+03
4.088948226294862618e-09	5.310965595255836888e+03	8.471430629745698752e+03
4.223044187206674123e-09	5.468198871278364095e+03	8.728082593393031857e+03
4.361537789208003199e-09	5.630588570436788359e+03	8.993151389384651338e+03
4.504573251759458750e-09	5.798303796245516423e+03	9.266913045480900109e+03
4.652299523960189308e-09	5.971519197923364118e+03	9.549652641698510706e+03
4.804870439655131104e-09	6.150415152263472010e+03	9.841664607176951904e+03
4.962444877628916452e-09	6.335177951467549065e+03	1.014325302678038133e+04
5.125186927053329472e-09	6.525999997140115738e+03	1.045473195775456406e+04
5.293266058360561204e-09	6.723080000644745269e+03	1.077642575676845445e+04
5.466857299720180771e-09	6.926623190030892147e+03	1.110866941768099059e+04
5.646141419303669251e-09	7.136841523746888925e+03	1.145180892038492675e+04
5.831305113526221869e-09	7.353953911361545579e+03	1.180620159109083761e+04
6.022541201461928965e-09	7.578186441524314432e+03	1.217221647442659560e+04
6.220048825634711276e-09	7.809772617401274147e+03	1.255023471773968777e+04
6.424033659394191079e-09	8.048953599832255350e+03	1.294064996800270819e+04
6.634708121092347870e-09	8.295978458462173876e+03	1.334386878173518198e+04
6.852291595284060743e-09	8.551104431108175049e+03	1.376031104836867962e+04
7.077010661181889919e-09	8.814597191632668910e+03	1.419041042749615190e+04
7.309099328602911004e-09	9.086731126601142023e+03	1.463461480046061115e+04
7.548799281653435948e-09	9.367789621012958378e+03	1.509338673675367318e+04
7.796360130405233414e-09	9.658065353402553228e+03	1.556720397570939531e+04
8.052039670825474778e-09	9.957860600618441822e+03	1.605655992399524985e+04
8.316104153230961616e-09	1.026748755259735481e+04	1.656196416941809002e+04
8.588828559546249041e-09	1.058726863746129311e+04	1.708394301158026428e+04
8.870496889654407999e-09	1.091753685727610355e+04	1.762304000993852242e+04
9.161402457138517586e-09	1.125863613482108121e+04	1.817981654983623957e+04
9.461848194721997291e-09	1.161092167173089547e+04	1.875485242709866361e+04
9.772146969725725887e-09	1.197476031838259769e+04	1.934874645179969957e+04
1.009262190987047331e-08	1.233476496093066089e+04	1.994194620132905766e+04
1.042360673976401127e-08	1.266651903867218607e+04	2.050335144595094243e+04
1.076544612842315905e-08	1.300915290245627330e+04	2.108316782506811069e+04
1.111849604819270880e-08	1.336302335194950319e+04	2.168199912690062774e+04
1.148312414543511117e-08	1.372849888796790401e+04	2.230046894074141892e+04
1.185971012337669343e-08	1.410596009621296253e+04	2.293922130632707922e+04
1.224864613750930795e-08	1.449580004359222221e+04	2.359892138450472703e+04
1.265033720395903769e-08	1.489570590642319621e+04	2.427671202104937038e+04
1.306520162124721228e-08	1.529306909152304252e+04	2.495631995200506572e+04
1.349367140588306343e-08	1.570346369575269819e+04	2.565821544286643984e+04
1.393619274224142065e-08	1.612731708100905234e+04	2.638312940818574498e+04
1.439322644719406651e-08	1.656507062440782829e+04	2.713181673266199505e+04
1.486524844997857277e-08	1.701718017790895101e+04	2.790505705723558276e+04
1.535275028780422776e-08	1.748411654301512317e+04	2.870365559096245852e+04
1.585623961771137302e-08	1.796604329677757050e+04	2.952802009161319438e+04
1.637624074521687477e-08	1.844114787572389469e+04	3.034969636685048681e+04
