Frequency [GHz]	Zx imag [Ohm/m]	Zy imag [Ohm/m]
9.571521538991863169e-10	2.960751529508181382e+06	7.226164802426627837e+06
9.885417021919573871e-10	2.960749020837494638e+06	7.226161692887048237e+06
1.020960662306046580e-09	2.960746483277701773e+06	7.226158484270596877e+06
1.054442793526168950e-09	2.960743892638019752e+06	7.226155172065524384e+06
1.089022962263730067e-09	2.960741217039004434e+06	7.226151751237574033e+06
1.124737178364752061e-09	2.960738453694436233e+06	7.226148218224488199e+06
1.161622632608501755e-09	2.960735599726723973e+06	7.226144569347185083e+06
1.199717735435884489e-09	2.960732652163905557e+06	7.226140800805930048e+06
1.239062156947916503e-09	2.960729607936554588e+06	7.226136908676373772e+06
1.279696868215940940e-09	2.960726463874584530e+06	7.226132888905472122e+06
1.321664183946605026e-09	2.960723216703943908e+06	7.226128737307262607e+06
1.365007806546013663e-09	2.960719863043213263e+06	7.226124449558502063e+06
1.409772871628966933e-09	2.960716399400077760e+06	7.226120021194170229e+06
1.456005995020649598e-09	2.960712822167694569e+06	7.226115447602817789e+06
1.503755321299737753e-09	2.960709127620933577e+06	7.226110724021761678e+06
1.553070573933460069e-09	2.960705311912502628e+06	7.226105845532132313e+06
1.604003107056820079e-09	2.960701371068936307e+06	7.226100807053742930e+06
1.656605958949914401e-09	2.960697300986462273e+06	7.226095603339805268e+06
1.710933907269014249e-09	2.960693097426723689e+06	7.226090228971465491e+06
1.767043526088946692e-09	2.960688756012371276e+06	7.226084678352155723e+06
1.824993244816152494e-09	2.960684272222497966e+06	7.226078945701773278e+06
1.884843409033795523e-09	2.960679641387938522e+06	7.226073025050658733e+06
1.946656343342262358e-09	2.960674858686401509e+06	7.226066910233378410e+06
2.010496416260498236e-09	2.960669919137449004e+06	7.226060594882304780e+06
2.076430107255774870e-09	2.960664817597313318e+06	7.226054072420985438e+06
2.144526075971667793e-09	2.960659548753536306e+06	7.226047336057294160e+06
2.214855233726359314e-09	2.960654107119439635e+06	7.226040378776364028e+06
2.287490817355702788e-09	2.960648487028412055e+06	7.226033193333270028e+06
2.362508465477946229e-09	2.960642682628006209e+06	7.226025772245495580e+06
2.439986297259550245e-09	2.960636687873844523e+06	7.226018107785137370e+06
2.520004993764092080e-09	2.960630496523327194e+06	7.226010191970855929e+06
2.602647881969005809e-09	2.960624102129129693e+06	7.226002016559568234e+06
2.688001021537606561e-09	2.960617498032488395e+06	7.225993573037858121e+06
2.776153294436799262e-09	2.960610677356268745e+06	7.225984852613116615e+06
2.867196497493770032e-09	2.960603632997800596e+06	7.225975846204384230e+06
2.961225437988034610e-09	2.960596357621484902e+06	7.225966544432891533e+06
3.058338032378433485e-09	2.960588843651153147e+06	7.225956937612297013e+06
3.158635408267817403e-09	2.960581083262179047e+06	7.225947015738597140e+06
3.262222009711669644e-09	2.960573068373329006e+06	7.225936768479707651e+06
3.369205705980266915e-09	2.960564790638347622e+06	7.225926185164710507e+06
3.479697903887691433e-09	2.960556241437266581e+06	7.225915254772735760e+06
