#Parameters = {C_1=13.247618914885; C_2=303.4203577015; Conductivity=10000000; Conductivity_Mo=17900000; Conductivity_MoGr=1000000; Ip=303.70942177453; Pipe_lenght=40; Pipe_r=30; beta=1; cells_wave=30; conductivity_copper=59500000; d=-603.4203577015; half_gap_x=16.752381085115; half_gap_y=30; half_gap_z=150; mu_copper=0.999994; offset=6.7009524340459; offset_x=1; offset_y=5; sigma_z=5; teta=2.5; thcoll=13.247618914885; translate_z=-453.4203577015; wakelength=20000}
#"Frequency / GHz"	"Z [Re / Ohm]"	"Z [Im / Ohm]"
#-----------------------------------------------
0.0000000000000	-0.19751346653039	-2.2376773015593e-13
0.0020478289222872	-0.18323395950643	0.065655525397703
0.0040956578445743	-0.14431339251756	0.11752565163976
0.0061434867668615	-0.091150465922605	0.14612486989514
0.0081913156891487	-0.037093304205866	0.14897720308078
0.010239144611436	0.0058954344575477	0.13079989807206
0.012286973533723	0.030750191733214	0.10124405249852
0.014334802456010	0.036782668269998	0.071213086156314
0.016382631378297	0.028803655100558	0.049244673013828
0.018430460300585	0.014501938383568	0.039267721773699
0.020478289222872	0.0012965939285949	0.040357764700591
0.022526118145159	-0.0060827525442283	0.048251084586300
0.024573947067446	-0.0065122126111121	0.057724683765651
0.026621775989733	-0.0018398026190817	0.064757915021656
0.028669604912020	0.0047129460283992	0.067681136722732
0.030717433834308	0.010251475450931	0.067090286776055
0.032765262756595	0.013290364009488	0.064867660084555
0.034813091678882	0.013922732971738	0.062952484144918
0.036860920601169	0.013249719235449	0.062461397920135
0.038908749523456	0.012530858323162	0.063455022996497
0.040956578445743	0.012527621569990	0.065275241959512
0.043004407368031	0.013299060458317	0.067127709687046
0.045052236290318	0.014420841260459	0.068549873575639
0.047100065212605	0.015394151831919	0.069556373694639
0.049147894134892	0.015973463161328	0.070474429198457
0.051195723057179	0.016254294320377	0.071643511502143
0.053243551979466	0.016532521230900	0.073184706166925
0.055291380901754	0.017071894068970	0.074957419325129
0.057339209824041	0.017937934553369	0.076687515600014
0.059387038746328	0.018983970386950	0.078154991970168
0.061434867668615	0.019968444261008	0.079317176027270
0.063482696590902	0.020709229753243	0.080305569721143
0.065530525513189	0.021176411656943	0.081320884981646
0.067578354435477	0.021479504166391	0.082506787019768
