Frequency [GHz]	Zx imag [Ohm/m]	Zy imag [Ohm/m]
6.092349152400710261e-10	1.329848276794743910e+07	3.755386496662879735e+07
6.292146109610343618e-10	1.329821691236041300e+07	3.755345556013420224e+07
6.498495354469890483e-10	1.329794233811067976e+07	3.755303272726338357e+07
6.711611767496282870e-10	1.329765875927203521e+07	3.755259602770191431e+07
6.931717276155404727e-10	1.329736588054140098e+07	3.755214500669539720e+07
7.159041085964887260e-10	1.329706339693130925e+07	3.755167919457587600e+07
7.393819919175865964e-10	1.329675099345231429e+07	3.755119810627277195e+07
7.636298261282244400e-10	1.329642834478497505e+07	3.755070124080774933e+07
7.886728615614152294e-10	1.329609511494108848e+07	3.755018808077298850e+07
8.145371766280743462e-10	1.329575095691380277e+07	3.754965809179246426e+07
8.412497049736117954e-10	1.329539551231627539e+07	3.754911072196539491e+07
8.688382635251186617e-10	1.329502841100845672e+07	3.754854540129160136e+07
8.973315814583522479e-10	1.329464927071166597e+07	3.754796154107785225e+07
9.267593301146878953e-10	1.329425769661047868e+07	3.754735853332491219e+07
9.571521538991863169e-10	1.329385328094161861e+07	3.754673575009437650e+07
9.885417021919573871e-10	1.329343560256931186e+07	3.754609254285474867e+07
1.020960662306046580e-09	1.329304734925651550e+07	3.754544161823201180e+07
1.054442793526168950e-09	1.329267070970332809e+07	3.754477689883640409e+07
1.089022962263730067e-09	1.329228171835696138e+07	3.754409038014641404e+07
1.124737178364752061e-09	1.329187997014367208e+07	3.754338134726003557e+07
1.161622632608501755e-09	1.329146504670542851e+07	3.754264906183022261e+07
1.199717735435884489e-09	1.329103651596426219e+07	3.754189276129604876e+07
1.239062156947916503e-09	1.329059393167231791e+07	3.754111165808860958e+07
1.279696868215940940e-09	1.329013683294717036e+07	3.754030493881088495e+07
1.321664183946605026e-09	1.328966474379187077e+07	3.753947176339070499e+07
1.365007806546013663e-09	1.328917717259928212e+07	3.753861126420598477e+07
1.409772871628966933e-09	1.328867361164013669e+07	3.753772254518118501e+07
1.456005995020649598e-09	1.328815353653433546e+07	3.753680468085420877e+07
1.503755321299737753e-09	1.328761640570486151e+07	3.753585671541269869e+07
1.553070573933460069e-09	1.328706165981382877e+07	3.753487766169866174e+07
1.604003107056820079e-09	1.328648872118001617e+07	3.753386650018054247e+07
1.656605958949914401e-09	1.328589699317730032e+07	3.753282217789150774e+07
1.710933907269014249e-09	1.328528585961337015e+07	3.753174360733296722e+07
1.767043526088946692e-09	1.328465468408804201e+07	3.753062966534210742e+07
1.824993244816152494e-09	1.328400280933056585e+07	3.752947919192227721e+07
1.884843409033795523e-09	1.328332955651517585e+07	3.752829098903506249e+07
1.946656343342262358e-09	1.328263422455418855e+07	3.752706381935270876e+07
2.010496416260498236e-09	1.328191608936795034e+07	3.752579640496958792e+07
2.076430107255774870e-09	1.328117440313079394e+07	3.752448742607155442e+07
2.144526075971667793e-09	1.328040839349232242e+07	3.752313551956146210e+07
2.214855233726359314e-09	1.327961726277311146e+07	3.752173927763979882e+07
2.287490817355702788e-09	1.327880018713404983e+07	3.752029724633862078e+07
2.362508465477946229e-09	1.327795631571844965e+07	3.751880792400749773e+07
2.439986297259550245e-09	1.327708476976599917e+07	3.751726975974978507e+07
2.520004993764092080e-09	1.327618464169768244e+07	3.751568115180759877e+07
2.602647881969005809e-09	1.327525499417067505e+07	3.751404044589381665e+07
2.688001021537606561e-09	1.327429485910223797e+07	3.751234593346944451e+07
2.776153294436799262e-09	1.327330323666162603e+07	3.751059584996437281e+07
2.867196497493770032e-09	1.327227909422891028e+07	3.750878837293992192e+07
2.961225437988034610e-09	1.327122136531966552e+07	3.750692162019100040e+07
3.058338032378433485e-09	1.327012894847439975e+07	3.750499364778611809e+07
3.158635408267817403e-09	1.326900070611155033e+07	3.750300244804307073e+07
3.262222009711669644e-09	1.326783546334287152e+07	3.750094594743825495e+07
3.369205705980266915e-09	1.326663200674997270e+07	3.749882200444741547e+07
3.479697903887691433e-09	1.326538908312073350e+07	3.749662840731558204e+07
3.593813663804627762e-09	1.326410539814427868e+07	3.749436287175386399e+07
3.711671819475765297e-09	1.326277961506315134e+07	3.749202303856074810e+07
3.833395101766601886e-09	1.326141035328129679e+07	3.748960647116532922e+07
3.959110266468459240e-09	1.325999618692637980e+07	3.748711065309002250e+07
4.088948226294862618e-09	1.325853564336496405e+07	3.748453298533000797e+07
4.223044187206674123e-09	1.325702720166899636e+07	3.748187078364682943e+07
4.361537789208003199e-09	1.325546929103199206e+07	3.747912127577313781e+07
4.504573251759458750e-09	1.325386028913329542e+07	3.747628159852581471e+07
4.652299523960189308e-09	1.325219852044867165e+07	3.747334879482443631e+07
4.804870439655131104e-09	1.325048225450552627e+07	3.747031981061190367e+07
