Frequency [GHz]	Zx imag [Ohm/m]	Zy imag [Ohm/m]
1.000000000000000166e-10	2.825176404351507779e+06	1.995244127445715480e+06
1.032794731918951654e-10	2.825175212032115553e+06	1.995242517863953952e+06
1.066664958279539403e-10	2.825173980610928498e+06	1.995240855496389791e+06
1.101645949633656381e-10	2.825172708805613685e+06	1.995239138611927629e+06
1.137774133221491146e-10	2.825171395291784778e+06	1.995237365422699135e+06
1.175087130904807540e-10	2.825170038701621350e+06	1.995235534082205268e+06
1.213623798344240958e-10	2.825168637622447684e+06	1.995233642683391226e+06
1.253424265461399975e-10	2.825167190595258493e+06	1.995231689256659942e+06
1.294529978227915867e-10	2.825165696113199927e+06	1.995229671767822932e+06
1.336983741824946476e-10	2.825164152620002627e+06	1.995227588115979917e+06
1.380829765218092491e-10	2.825162558508360293e+06	1.995225436131333234e+06
1.426113707194128486e-10	2.825160912118254229e+06	1.995223213572927518e+06
1.472882723907502473e-10	2.825159211735225283e+06	1.995220918126314413e+06
1.521185517986104510e-10	2.825157455588591285e+06	1.995218547401145101e+06
1.571072389247450498e-10	2.825155641849598847e+06	1.995216098928679246e+06
1.622595287078087593e-10	2.825153768629522528e+06	1.995213570159215480e+06
1.675807864530767868e-10	2.825151833977696020e+06	1.995210958459434798e+06
1.730765534195724819e-10	2.825149835879481398e+06	1.995208261109660380e+06
1.787525525904235329e-10	2.825147772254171316e+06	1.995205475301022409e+06
1.846146946324547531e-10	2.825145640952823218e+06	1.995202598132537678e+06
1.906690840512252406e-10	2.825143439756018110e+06	1.995199626608083723e+06
1.969220255479172543e-10	2.825141166371553671e+06	1.995196557633281685e+06
2.033800305846981002e-10	2.825138818432055414e+06	1.995193388012273936e+06
2.100498241653915480e-10	2.825136393492511008e+06	1.995190114444394829e+06
2.169383518385184289e-10	2.825133889027724043e+06	1.995186733520734822e+06
2.240527869300018610e-10	2.825131302429685835e+06	1.995183241720589809e+06
2.314005380130653023e-10	2.825128631004858762e+06	1.995179635407794965e+06
2.389892566231049743e-10	2.825125871971370187e+06	1.995175910826938692e+06
2.468268452255692806e-10	2.825123022456117906e+06	1.995172064099451993e+06
2.549214654451423314e-10	2.825120079491777346e+06	1.995168091219568392e+06
2.632815465648021228e-10	2.825117040013709571e+06	1.995163988050154177e+06
2.719157943036017723e-10	2.825113900856773835e+06	1.995159750318399165e+06
2.808331998823172083e-10	2.825110658752027899e+06	1.995155373611366842e+06
