Frequency [GHz]	Zx real [Ohm/m]	Zy real [Ohm/m]
4.136343684063274911e-10	8.079313242076826782e+02	8.789456551948362630e+02
4.271993966306778827e-10	8.324825380973769597e+02	9.050813984051762873e+02
4.412092863191189219e-10	8.578389024648683971e+02	9.320742563076015585e+02
4.556786265841064474e-10	8.840268220042311214e+02	9.599523377486635809e+02
4.706224849841281415e-10	9.110735673444017948e+02	9.887446733969994739e+02
4.860564232142136024e-10	9.390073034472841300e+02	1.018481245974243166e+03
5.019965133110081441e-10	9.678571189371550645e+02	1.049193021477346065e+03
5.184593543892912175e-10	9.976530563919275210e+02	1.080911981424828582e+03
5.354620899273606527e-10	1.028426143627802958e+03	1.113671156160536384e+03
5.530224256192902378e-10	1.060208426009897721e+03	1.147504659249588030e+03
5.711586478126431938e-10	1.093032999822485635e+03	1.182447723002323755e+03
5.898896425508497150e-10	1.126934046733611012e+03	1.218536735163257845e+03
6.092349152400710261e-10	1.161946869389958465e+03	1.255809276803229068e+03
6.292146109610343618e-10	1.198107928179046894e+03	1.294304161454221457e+03
6.498495354469890483e-10	1.235454879197029186e+03	1.334061475527593757e+03
6.711611767496282870e-10	1.274026613461635861e+03	1.375122620057820313e+03
6.931717276155404727e-10	1.313863297411099666e+03	1.417530353815200442e+03
7.159041085964887260e-10	1.355006414731225959e+03	1.461328837832444378e+03
7.393819919175865964e-10	1.397498809554175750e+03	1.506563681391490263e+03
7.636298261282244400e-10	1.441384731073938838e+03	1.553281989518450928e+03
7.886728615614152294e-10	1.486709879624958376e+03	1.601532412036142205e+03
8.145371766280743462e-10	1.533521454271895209e+03	1.651365194225277492e+03
8.412497049736117954e-10	1.581868201960082388e+03	1.702832229147080852e+03
8.688382635251186617e-10	1.631800468277856908e+03	1.755987111681807846e+03
8.973315814583522479e-10	1.683370249883628503e+03	1.810885194339444752e+03
9.267593301146878953e-10	1.736631248652280419e+03	1.867583644900703348e+03
9.571521538991863169e-10	1.791638927597285829e+03	1.926141505948338363e+03
9.885417021919573871e-10	1.848450568626776658e+03	1.986619756350777834e+03
1.020960662306046580e-09	1.895957288743782783e+03	2.034365413383264922e+03
1.054442793526168950e-09	1.938716672351852594e+03	2.075368469536244902e+03
1.089022962263730067e-09	1.982878338482368463e+03	2.117716209923618862e+03
1.124737178364752061e-09	2.028488274614729335e+03	2.161452733104370964e+03
1.161622632608501755e-09	2.075593976375389957e+03	2.206623583837902515e+03
1.199717735435884489e-09	2.124244496997146598e+03	2.253275800511790749e+03
1.239062156947916503e-09	2.174490498400411980e+03	2.301457964124924729e+03
1.279696868215940940e-09	2.226384303949695550e+03	2.351220248877026279e+03
1.321664183946605026e-09	2.279979952940222574e+03	2.402614474417247948e+03
1.365007806546013663e-09	2.335333256871415870e+03	2.455694159806242169e+03
1.409772871628966933e-09	2.392501857565861883e+03	2.510514579247912025e+03
1.456005995020649598e-09	2.451545287194262983e+03	2.567132819648855275e+03
1.503755321299737753e-09	2.512525030268902356e+03	2.625607840065469645e+03
1.553070573933460069e-09	2.575504587670161982e+03	2.686000533100603207e+03
1.604003107056820079e-09	2.640549542772770110e+03	2.748373788313686873e+03
1.656605958949914401e-09	2.707727629740648354e+03	2.812792557710396522e+03
1.710933907269014249e-09	2.777108804061465889e+03	2.879323923380019096e+03
1.767043526088946692e-09	2.848765315394357913e+03	2.948037167350980326e+03
1.824993244816152494e-09	2.922771782806657939e+03	3.019003843737249554e+03
1.884843409033795523e-09	2.999205272478012830e+03	3.092297853250785010e+03
1.946656343342262358e-09	3.078145377952771469e+03	3.167995520157583542e+03
2.010496416260498236e-09	3.159674303024226447e+03	3.246175671757478085e+03
2.076430107255774870e-09	3.243876947337042566e+03	3.326919720470476932e+03
2.144526075971667793e-09	3.330840994796962605e+03	3.410311748615067700e+03
2.214855233726359314e-09	3.420657004879917167e+03	3.496438595966837966e+03
2.287490817355702788e-09	3.513418506935573532e+03	3.585389950188535295e+03
2.362508465477946229e-09	3.609222097583543018e+03	3.677258440225758932e+03
2.439986297259550245e-09	3.708167541303688267e+03	3.772139732765554527e+03
2.520004993764092080e-09	3.810357874325235116e+03	3.870132631858314653e+03
2.602647881969005809e-09	3.915899511922933016e+03	3.971339181806784381e+03
2.688001021537606561e-09	4.024902359231934042e+03	4.075864773429254001e+03
2.776153294436799262e-09	4.137479925696835380e+03	4.183818253807652582e+03
2.867196497493770032e-09	4.253749443274043188e+03	4.295312039634781286e+03
2.961225437988034610e-09	4.373831988510539304e+03	4.410462234278736105e+03
3.058338032378433485e-09	4.497852608626213623e+03	4.529388748686457802e+03
3.158635408267817403e-09	4.625940451731002213e+03	4.652215426252233556e+03
3.262222009711669644e-09	4.758228901312490052e+03	4.779070171781276258e+03
3.369205705980266915e-09	4.894855715133974627e+03	4.910085084682588786e+03
3.479697903887691433e-09	5.035963168687675534e+03	5.045396596529884846e+03
3.593813663804627762e-09	5.181698203352439123e+03	5.185145613133763618e+03
3.711671819475765297e-09	5.332212579410229409e+03	5.329477661273101148e+03
3.833395101766601886e-09	5.487663034080786929e+03	5.478543040238483627e+03
3.959110266468459240e-09	5.648211444738940372e+03	5.632496978345430762e+03
