#Parameters = {Conductivity_Mo=17900000; offset=1.0022162318482; C_1=27.494459420379; C_2=102.6107194835; Ip=106.230433736; Pipe_lenght=40; Pipe_r=30; beta=1; cells_wave=20; d=-402.6107194835; half_gap_x=30; half_gap_y=2.5055405796205; half_gap_z=150; mu_copper=0.999994; offset_x=5; offset_y=1; sigma_z=5; teta=15; thcoll=27.494459420379; translate_z=-252.6107194835; wakelength=20000}
#"Frequency / GHz"	"Y [Re / Ohm]"	"Y [Im / Ohm]"
#-----------------------------------------------
0.0000000000000	1.3012869669497e-11	-196.29510925455
0.0020002000200020	-40.353211635398	-186.27278399878
0.0040004000400040	-70.480025386280	-159.21745351785
0.0060006000600060	-83.521222396203	-123.09083187936
0.0080008000800080	-78.086642778222	-88.010006297583
0.010001000100010	-58.345990900275	-62.824918625473
0.012001200120012	-32.174277215062	-52.368319659551
0.014001400140014	-8.1706697920301	-56.349041637094
0.016001600160016	7.2497115896260	-70.154818188137
0.018001800180018	11.621978997907	-87.067247559254
0.020002000200020	6.5384731750350	-100.89268879622
0.022002200220022	-3.7128495132612	-107.96632794459
0.024002400240024	-14.236331804553	-107.86939035145
0.026002600260026	-21.420759117712	-102.80469228752
0.028002800280028	-23.938232825028	-96.120923226624
0.030003000300030	-22.633395560971	-90.736554134726
0.032003200320032	-19.581840286668	-88.117807340137
0.034003400340034	-16.888954742885	-88.106809251224
0.036003600360036	-15.794029025969	-89.474463726788
0.038003800380038	-16.391939147285	-90.785365260012
0.040004000400040	-17.942644389918	-91.114914449230
0.042004200420042	-19.479423173061	-90.329684633479
0.044004400440044	-20.354911589903	-88.911040162737
0.046004600460046	-20.477526379224	-87.523531290331
0.048004800480048	-20.199190045602	-86.606794103518
0.050005000500050	-19.998141784428	-86.193401222361
0.052005200520052	-20.172331903466	-85.993628378358
0.054005400540054	-20.705278337178	-85.639819869559
0.056005600560056	-21.339500723758	-84.921472448443
0.058005800580058	-21.773080286226	-83.882555999192
0.060006000600060	-21.844438969558	-82.754053009015
0.062006200620062	-21.603194036478	-81.791322961506
0.064006400640064	-21.247851067684	-81.126082048930
0.066006600660066	-20.989623454174	-80.714584658988
0.068006800680068	-20.933027901882	-80.394618508874
0.070007000700070	-21.038625840169	-79.999741403031
0.072007200720072	-21.175085042403	-79.455184420975
0.074007400740074	-21.215061822597	-78.803084229575
0.076007600760076	-21.111489190854	-78.154333124937
0.078007800780078	-20.912562336331	-77.607648939337
0.080008000800080	-20.716388071480	-77.189350355772
0.082008200820082	-20.601896505309	-76.846837019796
0.084008400840084	-20.581353888469	-76.491817090355
0.086008600860086	-20.600365527257	-76.060028120230
0.088008800880088	-20.579068129285	-75.548834862185
0.090009000900090	-20.464156218067	-75.012588917417
0.092009200920092	-20.258743582856	-74.523787421653
0.094009400940094	-20.014633002517	-74.127761452030
0.096009600960096	-19.796237331115	-73.819107517239
0.098009800980098	-19.641427723509	-73.551447602746
0.10001000100010	-19.543361732369	-73.270490246589
0.10201020102010	-19.461680670489	-72.947438758138
0.10401040104010	-19.352569284227	-72.592360740254
0.10601060106011	-19.196904525594	-72.241825995575
0.10801080108011	-19.009349212273	-71.931589205600
0.11001100110011	-18.824982137170	-71.673072741593
0.11201120112011	-18.674358175320	-71.447945147767
0.11401140114011	-18.563908384221	-71.222286099185
0.11601160116012	-18.473495909119	-70.969457097471
0.11801180118012	-18.371041303493	-70.686453354545
0.12001200120012	-18.233477342801	-70.394065729015
0.12201220122012	-18.060364110560	-70.122204223233
0.12401240124012	-17.872350441670	-69.890854493012
0.12601260126013	-17.696826594475	-69.698878217687
0.12801280128013	-17.550855309782	-69.526848095108
0.13001300130013	-17.432207825374	-69.350800887383
0.13201320132013	-17.323259745886	-69.157295454637
0.13401340134013	-17.204030169301	-68.950265440549
0.13601360136014	-17.065281211365	-68.746191307099
0.13801380138014	-16.913407584398	-68.561776011948
0.14001400140014	-16.764777927589	-68.402651830741
0.14201420142014	-16.634070851881	-68.260238622524
0.14401440144014	-16.524572657970	-68.118095470008
0.14601460146015	-16.426506588922	-67.962964134825
0.14801480148015	-16.323880466594	-67.793096506676
0.15001500150015	-16.204891092990	-67.618747144471
0.15201520152015	-16.069038420476	-67.455062338801
0.15401540154015	-15.926691936492	-67.312391129457
0.15601560156016	-15.791934986223	-67.190297031357
0.15801580158016	-15.673688593443	-67.078741498283
0.16001600160016	-15.570816101322	-66.965123944213
0.16201620162016	-15.473954705260	-66.842272716707
0.16401640164016	-15.372353902225	-66.712267000019
0.16601660166017	-15.260964061181	-66.584013960031
0.16801680168017	-15.143229072575	-66.466637014054
0.17001700170017	-15.028122958419	-66.363247959668
0.17201720172017	-14.923761863654	-66.269095143259
0.17401740174017	-14.831956676389	-66.174991841598
0.17601760176018	-14.747174414085	-66.073476255088
0.17801780178018	-14.660321140866	-65.963563907324
0.18001800180018	-14.564640000298	-65.851114740957
0.18201820182018	-14.459829877840	-65.744827848163
0.18401840184018	-14.351865693058	-65.650668836050
0.18601860186019	-14.248897314670	-65.568359546134
0.18801880188019	-14.156075520183	-65.492017235487
0.19001900190019	-14.072650795993	-65.414255804301
0.19201920192019	-13.993022683999	-65.330904118423
0.19401940194019	-13.910786516118	-65.243293917144
0.19601960196020	-13.822972480214	-65.156827644273
0.19801980198020	-13.731734204857	-65.077007232913
0.20002000200020	-13.642561287314	-65.005662242099
0.20202020202020	-13.560389819591	-64.939817722068
0.20402040204020	-13.486262355478	-64.873792068528
0.20602060206021	-13.416684210957	-64.802992971722
0.20802080208021	-13.345964279923	-64.726864672534
