Freq	y_dipolar
1e-11	7620.323743767694
1.00138264419705e-11	7622.534821164369
1.0027672000990756e-11	7624.748955694374
1.0041536703492846e-11	7626.966151584637
1.0055420575945395e-11	7629.186413067933
1.0069323644853623e-11	7631.409744382885
1.0083245936759398e-11	7633.636149773977
1.0097187478241287e-11	7635.865633491564
1.0111148295914602e-11	7638.098199791875
1.012512841643146e-11	7640.333852937026
1.0139127866480825e-11	7642.572597195024
1.0153146672788562e-11	7644.81443683978
1.016718486211749e-11	7647.05937615111
1.0181242461267432e-11	7649.307419414754
1.0195319497075263e-11	7651.55857092237
1.0209415996414964e-11	7653.812834971554
1.0223531986197675e-11	7656.070215865845
1.0237667493371788e-11	7658.330717914736
1.0251822544922826e-11	7660.594345433661
1.026599716787375e-11	7662.861102744039
1.0280191389284843e-11	7665.130994173259
1.02944052362538e-11	7667.404024054691
1.0308638735915787e-11	7669.680196727699
1.0322891915443486e-11	7671.959516537644
1.0337164802047148e-11	7674.241987835898
1.0351457422974647e-11	7676.527614979847
1.0365769805511533e-11	7678.816402332904
1.038010197698108e-11	7681.108354264512
1.0394453964744339e-11	7683.403475150159
1.0408825796200196e-11	7685.70176937138
1.0423217498785417e-11	7688.003241315768
1.0437629099974703e-11	7690.3078953769855
1.0452060627280742e-11	7692.615735954767
1.0466512108254266e-11	7694.92676745493
1.0480983570484097e-11	7697.171775456854
1.0495475041597203e-11	7699.419150335305
1.050998654925875e-11	7701.669632533593
1.0524518121172156e-11	7703.923226348031
1.0539069785079143e-11	7706.179936080879
1.0553641568759786e-11	7708.439766040345
1.0568233500032578e-11	7710.70272054059
1.0582845606754468e-11	7712.968803901743
1.0597477916820922e-11	7715.238020449904
1.061213045816598e-11	7717.510374517159
1.0626803258762301e-11	7719.7858704415785
1.064149634662122e-11	7722.064512567233
1.0656209749792804e-11	7724.3463052442
1.0670943496365902e-11	7726.631252828571
1.06856976144682e-11	7728.919359682458
1.0700472132266276e-11	7731.2106301740105
1.0715267077965693e-11	7733.505068677418
1.0730082479810882e-11	7735.802679572902
1.0744918366085461e-11	7738.103467246757
1.0759774765112105e-11	7740.407436091337
1.0774651705252652e-11	7742.714590505071
1.0789549214908154e-11	7745.024934892468
1.0804467322518932e-11	7747.338473664125
1.0819406056564629e-11	7749.655211236738
1.0834365445564264e-11	7751.975152033112
1.0849345518076294e-11	7754.298300482167
1.0864346302698651e-11	7756.624661018942
1.0879367828068819e-11	7758.954238084616
1.089441012286387e-11	7761.2870361264995
1.0909473215800532e-11	7763.62305959806
1.092455713563523e-11	7765.962312958915
1.0939661911164156e-11	7768.301643101323
1.0954787571223317e-11	7770.571468551306
1.0969934144688584e-11	7772.844432362274
1.0985101660475758e-11	7775.120538873466
1.100029014754062e-11	7777.399792430119
1.1015499634878981e-11	7779.682197383475
1.1030730151526754e-11	7781.967758090795
1.1045981726559986e-11	7784.256478915363
1.1061254389094934e-11	7786.548364226499
1.107654816828811e-11	7788.843418399559
1.1091863093336338e-11	7791.141645815955
1.1107199193476811e-11	7793.443050863151
1.1122556497987152e-11	7795.747637934681
1.1137935036185454e-11	7798.055411430151
1.1153334837430355e-11	7800.366375755254
1.1168755931121083e-11	7802.680535321771
1.1184198346697516e-11	7804.997894547582
1.1199662113640232e-11	7807.318457856681
1.1215147261470578e-11	7809.642229679172
1.1230653819750757e-11	7811.969214451296
1.1246181818083712e-11	7814.299416615403
1.1261731286113455e-11	7816.632840620013
1.1277302253524935e-11	7818.969490919781
1.129289475004415e-11	7821.309371975525
1.1308508805438195e-11	7823.652488254235
1.1324144449515323e-11	7825.99884422907
1.1339801712125e-11	7828.348444379378
1.1355480623157968e-11	7830.701293190698
1.1371181212546291e-11	7833.057395154774
1.1386903510263421e-11	7835.416754769559
1.1402647546324256e-11	7837.7793765392225
1.1418413350785186e-11	7840.108804877066
1.1434200953744168e-11	7842.395878982514
1.1450010385340766e-11	7844.686115297699
1.1465841675756219e-11	7846.9795181948375
1.1481694855213498e-11	7849.276092052181
1.1497569953977356e-11	7851.575841254042
1.1513467002354399e-11	7853.878770190792
1.1529386030693132e-11	7856.184883258873
1.1545327069384018e-11	7858.494184860805
1.1561290148859546e-11	7860.8066794051965
1.1577275299594277e-11	7863.122371306749
1.1593282552104912e-11	7865.441264986273
1.160931193695034e-11	7867.763364870686
1.1625363484731708e-11	7870.08867539303
1.1641437226092468e-11	7872.417200992472
1.1657533191718446e-11	7874.748946114324
1.1673651412337894e-11	7877.083915210037
1.1689791918721546e-11	7879.42211273722
1.170595474168269e-11	7881.763543159645
1.1722139912077206e-11	7884.108210947257
1.1738347460803648e-11	7886.45612057618
1.1754577418803333e-11	7888.807276528734
1.1770829817060215e-11	7891.161683293414
1.1787104686601236e-11	7893.5193453649445
1.1803402058496187e-11	7895.880267244258
1.1819721963857814e-11	7898.244453438507
1.1836064433841886e-11	7900.611908461079
1.1852429499647248e-11	7902.982636831599
1.1868817192515879e-11	7905.356643075943
1.1885227543732957e-11	7907.7260873943005
1.1901660584626919e-11	7910.018270250487
1.1918116346569512e-11	7912.313622379998
1.1934594860975862e-11	7914.61214816481
1.1951096159304532e-11	7916.91385199296
1.1967620273057582e-11	7919.218738258553
1.1984167233780622e-11	7921.526811361765
1.2000737073062886e-11	7923.838075708859
1.2017329822537278e-11	7926.152535712191
1.2033945513880445e-11	7928.470195790215
1.2050584178812828e-11	7930.791060367497
1.2067245849098725e-11	7933.1151338747195
1.2083930556546357e-11	7935.44242074869
1.2100638333007921e-11	7937.772925432351
1.2117369210379654e-11	7940.106652374791
