Frequency [GHz]	Zx real [Ohm/m]	Zy real [Ohm/m]
4.361537789208003199e-09	5.896348533147815033e+03	5.786115336902787021e+03
4.504573251759458750e-09	6.070309219451833997e+03	5.950386282187695542e+03
4.652299523960189308e-09	6.249974899827628178e+03	6.120044449085295128e+03
4.804870439655131104e-09	6.435532668026384272e+03	6.295266510084161382e+03
4.962444877628916452e-09	6.627175753488695591e+03	6.476234931599771699e+03
5.125186927053329472e-09	6.825103722562862458e+03	6.663138163984781386e+03
5.293266058360561204e-09	7.029522686322083246e+03	6.856170837770646358e+03
5.466857299720180771e-09	7.240645515196934866e+03	7.055533966344913097e+03
5.646141419303669251e-09	7.458692060646711070e+03	7.261435155275300531e+03
5.831305113526221869e-09	7.683889384100362804e+03	7.474088818498450564e+03
6.022541201461928965e-09	7.916471993405546527e+03	7.693716401598589073e+03
6.220048825634711276e-09	8.156682087031898845e+03	7.920546612408500550e+03
6.424033659394191079e-09	8.404769806282954960e+03	8.154815659173042150e+03
6.634708121092347870e-09	8.660993495779237492e+03	8.396767496523139926e+03
6.852291595284060743e-09	8.925619972483829770e+03	8.646654079516427373e+03
7.077010661181889919e-09	9.198924803550611614e+03	8.904735626009127373e+03
7.309099328602911004e-09	9.481192593284378745e+03	9.171280887632279700e+03
7.548799281653435948e-09	9.772717279511824017e+03	9.446567429654633088e+03
7.796360130405233414e-09	1.007380243967185197e+04	9.730881920023501152e+03
8.052039670825474778e-09	1.038476160694409919e+04	1.002452042788469043e+04
8.316104153230961616e-09	1.070591859674478474e+04	1.032778873189227124e+04
8.588828559546249041e-09	1.103760784392987807e+04	1.064100263862929205e+04
8.870496889654407999e-09	1.138017475105681297e+04	1.096448831147104647e+04
9.161402457138517586e-09	1.173397604806727031e+04	1.129858261023326122e+04
9.461848194721997291e-09	1.209938016376576525e+04	1.164363344195903301e+04
9.772146969725725887e-09	1.247676760948067931e+04	1.200000012320967107e+04
1.009262190987047331e-08	1.284812078638933963e+04	1.234549653677852984e+04
1.042360673976401127e-08	1.318487642446952850e+04	1.264501206544664456e+04
1.076544612842315905e-08	1.353267587342276420e+04	1.295435012558300514e+04
1.111849604819270880e-08	1.389188131206596518e+04	1.327383284447385449e+04
1.148312414543511117e-08	1.426286679677330358e+04	1.360379291348346851e+04
1.185971012337669343e-08	1.464601865099743918e+04	1.394457393450021118e+04
1.224864613750930795e-08	1.504173586756510667e+04	1.429653077774426492e+04
1.265033720395903769e-08	1.544721412601311749e+04	1.465629047553890086e+04
1.306520162124721228e-08	1.584746667123969928e+04	1.500631272377180721e+04
1.349367140588306343e-08	1.626084539138686159e+04	1.536781385780117671e+04
1.393619274224142065e-08	1.668778075584225371e+04	1.574117032460944029e+04
1.439322644719406651e-08	1.712871735112168244e+04	1.612677091665688567e+04
1.486524844997857277e-08	1.758411434383656160e+04	1.652501717674832980e+04
1.535275028780422776e-08	1.805444595884421142e+04	1.693632381617718420e+04
1.585623961771137302e-08	1.853981849091453842e+04	1.736068230509955174e+04
1.637624074521687477e-08	1.901421699561148853e+04	1.776832400487823907e+04
1.691329517029648562e-08	1.950417327209274299e+04	1.818933420492016739e+04
1.746796215127245689e-08	2.001019753331319589e+04	1.862415132160760550e+04
1.804081928719382751e-08	2.053281672452485509e+04	1.907322814907057545e+04
1.863246311931559514e-08	2.107257507200800319e+04	1.953703233070120405e+04
1.924350975230330612e-08	2.163003464979787896e+04	2.001604684613130667e+04
1.987459549580983990e-08	2.220577596499703941e+04	2.051077051418023620e+04
2.052637752709252173e-08	2.277041805725493032e+04	2.098831398124989573e+04
2.119953457536071000e-08	2.334936653310461406e+04	2.147682653534453857e+04
2.189476762856620985e-08	2.394730146901467742e+04	2.198135972768975989e+04
2.261280066337277307e-08	2.456484552085288669e+04	2.250243895082215749e+04
2.335438139906479724e-08	2.520264176431929445e+04	2.304060682738573087e+04
2.412028207618007283e-08	2.586135436460907295e+04	2.359642377518858120e+04
2.491130026067788373e-08	2.654166926803698880e+04	2.417046859079063506e+04
2.572825967447932303e-08	2.721262019810755010e+04	2.472888095400557722e+04
2.657201105324503850e-08	2.789443235867411931e+04	2.529348474757562508e+04
2.744343303228365032e-08	2.859860436626557566e+04	2.587660457119624698e+04
2.834343306151309448e-08	2.932586950607080507e+04	2.647884765310911462e+04
2.927294835042816131e-08	3.007698511116994268e+04	2.710084113544335924e+04
3.023294684405776334e-08	3.085273335117844545e+04	2.774323272728608936e+04
3.122442823092858392e-08	3.165392204675465473e+04	2.840669137917031185e+04
3.224842498408442807e-08	3.244907886183432129e+04	2.905765515533213329e+04
3.330600343624588813e-08	3.324906851652019395e+04	2.970744323854488175e+04
3.439826489022924478e-08	3.407529361746942595e+04	3.037854094775072008e+04
3.552634676578139226e-08	3.492861454910899920e+04	3.107164712642139057e+04
3.669142378402493899e-08	3.580991991194254661e+04	3.178748353641295398e+04
3.789470919074667737e-08	3.672012744788893178e+04	3.252679560956799833e+04
3.913745601980383687e-08	3.766018499596729089e+04	3.329035322396660194e+04
4.042095839796305955e-08	3.859981548411976109e+04	3.404671294928489806e+04
4.174655289253134782e-08	3.953464620472613751e+04	3.479114301053351664e+04
4.311561990318228626e-08	4.050013444820442965e+04	3.555998645607320941e+04
4.452958509942655287e-08	4.149728561979845836e+04	3.635404391629699239e+04
4.598992090522439315e-08	4.252713809674760705e+04	3.717414227805706469e+04
4.749814803228499868e-08	4.359076430959434219e+04	3.802113554573822330e+04
4.905583706365045989e-08	4.468927185895336152e+04	3.889590573057014990e+04
5.066461008921269181e-08	4.579612392609106610e+04	3.977163793012746464e+04
5.232614239486661694e-08	4.688361069698524079e+04	4.062033463382678747e+04
