#Parameters = {C_1=25.412767459909; C_2=582.04806783857; Conductivity=10000000; Conductivity_Mo=17900000; Conductivity_MoGr=1000000; Ip=582.60257639714; Pipe_lenght=40; Pipe_r=30; beta=1; cells_wave=30; conductivity_copper=59500000; d=-882.04806783857; half_gap_x=4.5872325400905; half_gap_y=30; half_gap_z=150; mu_copper=0.999994; offset=1.8348930160362; offset_x=1; offset_y=5; sigma_z=5; teta=2.5; thcoll=25.412767459909; translate_z=-732.04806783857; wakelength=20000}
#"Frequency / GHz"	"Z [Re / Ohm]"	"Z [Im / Ohm]"
#-----------------------------------------------
0.0000000000000	0.11874562348442	4.7564258498183e-13
0.0020478289222872	0.11034970136057	-0.029100063740911
0.0040956578445743	0.087513507860643	-0.049957663880098
0.0061434867668615	0.056477343507284	-0.056913609218703
0.0081913156891487	0.025248052196803	-0.048519449784782
0.010239144611436	0.00099409089834075	-0.027646776521928
0.012286973533723	-0.012064329826416	-0.00012823666618639
0.014334802456010	-0.013543856281340	0.027456029462574
0.016382631378297	-0.0063689656340475	0.049953518324677
0.018430460300585	0.0048047023112456	0.064987681975485
0.020478289222872	0.015483466408336	0.073104771823109
0.022526118145159	0.022791010948758	0.076863321934080
0.024573947067446	0.026019910268129	0.079403043603910
0.026621775989733	0.026251213214335	0.083144880202888
0.028669604912020	0.025394074208645	0.089099920041959
0.030717433834308	0.025163866330213	0.096920106639527
0.032765262756595	0.026431838712897	0.10548622708287
0.034813091678882	0.029123316818524	0.11364633412193
0.036860920601169	0.032560580040845	0.12074389488369
0.038908749523456	0.035973422321171	0.12675763905083
0.040956578445743	0.038893550138622	0.13209842806570
0.043004407368031	0.041277181523559	0.13725879059809
0.045052236290318	0.043373126696304	0.14253135204590
0.047100065212605	0.045476734191736	0.14792125787842
0.049147894134892	0.047732623304451	0.15324500373761
0.051195723057179	0.050081696535940	0.15831088951669
0.053243551979466	0.052345499364443	0.16305761965640
0.055291380901754	0.054365779228078	0.16758031728176
0.057339209824041	0.056104165894157	0.17205350993221
0.059387038746328	0.057650422274256	0.17661834188878
0.061434867668615	0.059151803803860	0.18130855303844
0.063482696590902	0.060720188967210	0.18605241771460
0.065530525513189	0.062376214148800	0.19073588724471
0.067578354435477	0.064056877278649	0.19527853636858
0.069626183357764	0.065670554030398	0.19967499325679
0.071674012280051	0.067157923119222	0.20398358438974
0.073721841202338	0.068521113110856	0.20827886197868
0.075769670124625	0.069809245091564	0.21260360354093
0.077817499046912	0.071077233209403	0.21695002757203
0.079865327969200	0.072348365121371	0.22127690580396
0.081913156891487	0.073603852361434	0.22554577109364
0.083960985813774	0.074801954556636	0.22975001242537
0.086008814736061	0.075910151057040	0.23391902258485
0.088056643658348	0.076927836131542	0.23809793169021
0.090104472580635	0.077886042665610	0.24231894648965
0.092152301502923	0.078827042603650	0.24658361289100
0.094200130425210	0.079779090116038	0.25086597819577
0.096247959347497	0.080742759165860	0.25513217225709
0.098295788269784	0.081695964601995	0.25936212066421
0.10034361719207	0.082612080932015	0.26355955696839
0.10239144611436	0.083478014135725	0.26774565655515
0.10443927503665	0.084300804481101	0.27194260148070
0.10648710395893	0.085100123095645	0.27615899767005
0.10853493288122	0.085893426149048	0.28038636680404
0.11058276180351	0.086684459408057	0.28460762882382
0.11263059072579	0.087462369052580	0.28881055740816
0.11467841964808	0.088210914043040	0.29299670115425
0.11672624857037	0.088920679856242	0.29718023215320
0.11877407749266	0.089595912779199	0.30137835404904
0.12082190641494	0.090251910589449	0.30560028975771
0.12286973533723	0.090905451959639	0.30984215460491
0.12491756425952	0.091565049848949	0.31409052180748
0.12696539318180	0.092227296083764	0.31833159231150
0.12901322210409	0.092881026476277	0.32255955442724
0.13106105102638	0.093515812408073	0.32677887605323
0.13310887994867	0.094128838171921	0.33099973262020
0.13515670887095	0.094725882547618	0.33523031849126
0.13720453779324	0.095316417517933	0.33947144539290
0.13925236671553	0.095906711771400	0.34371678565034
0.14130019563781	0.096495779425081	0.34795805254270
0.14334802456010	0.097076681782840	0.35219117974500
0.14539585348239	0.097641897288031	0.35641922219311
0.14744368240468	0.098188850448149	0.36065022960078
0.14949151132696	0.098721872039776	0.36489183221735
0.15153934024925	0.099249503597279	0.36914634241110
0.15358716917154	0.099779218782609	0.37340956385362
0.15563499809382	0.10031318498518	0.37767382580681
0.15768282701611	0.10084773171678	0.38193294883461
0.15973065593840	0.10137655394510	0.38618576555606
0.16177848486069	0.10189522992316	0.39043604565007
0.16382631378297	0.10240397577450	0.39468921918383
0.16587414270526	0.10290698773993	0.39894837178313
0.16792197162755	0.10340912987724	0.40321225871004
0.16996980054984	0.10391243825644	0.40747650972607
0.17201762947212	0.10441484544404	0.41173695947809
0.17406545839441	0.10491185722794	0.41599267841379
0.17611328731670	0.10539986779460	0.42024664158848
0.17816111623898	0.10587877267565	0.42450369531421
0.18020894516127	0.10635214805729	0.42876732113305
0.18225677408356	0.10682499505933	0.43303741632044
0.18430460300585	0.10730067021435	0.43731050270194
0.18635243192813	0.10777906342018	0.44158207865214
0.18840026085042	0.10825712579090	0.44584943126794
0.19044808977271	0.10873122218893	0.45011303823743
0.19249591869499	0.10919961485642	0.45437575685182
0.19454374761728	0.10966342358306	0.45864052597247
0.19659157653957	0.11012554801991	0.46290824514399
0.19863940546186	0.11058844418436	0.46717725514767
0.20068723438414	0.11105236051111	0.47144466352559
0.20273506330643	0.11151522438773	0.47570848942481
0.20478289222872	0.11197417646222	0.47996910326965
0.20683072115100	0.11242762734420	0.48422899776712
0.20887855007329	0.11287641148971	0.48849110807240
0.21092637899558	0.11332329120246	0.49275687007710
0.21297420791787	0.11377120905904	0.49702532518499
0.21502203684015	0.11422150423028	0.50129381454051
0.21706986576244	0.11467326691403	0.50555971820408
0.21911769468473	0.11512418114749	0.50982203235250
0.22116552360701	0.11557219614475	0.51408176001438
0.22321335252930	0.11601685771212	0.51834094734369
0.22526118145159	0.11645943633194	0.52260111445586
0.22730901037388	0.11690185512370	0.52686218788105
0.22935683929616	0.11734523357977	0.53112263194241
0.23140466821845	0.11778907679619	0.53538061849749
0.23345249714074	0.11823164338509	0.53963537266654
0.23550032606302	0.11867119211888	0.54388775284279
0.23754815498531	0.11910721897403	0.54813968806418
0.23959598390760	0.11954083871921	0.55239289017656
0.24164381282989	0.11997407901398	0.55664773348625
0.24369164175217	0.12040859776812	0.56090304493461
0.24573947067446	0.12084469870315	0.56515690430578
0.24778729959675	0.12128127850995	0.56940787437651
0.24983512851903	0.12171668422230	0.57365582473767
0.25188295744132	0.12214985299989	0.57790183153871
0.25393078636361	0.12258095441001	0.58214728487232
0.25597861528590	0.12301113677027	0.58639286111341
0.25802644420818	0.12344160928176	0.59063807072578
0.26007427313047	0.12387273171765	0.59488166078857
0.26212210205276	0.12430374460384	0.59912255198106
0.26416993097504	0.12473330450389	0.60336063692589
0.26621775989733	0.12516042927845	0.60759688883057
0.26826558881962	0.12558519147686	0.61183272203024
0.27031341774191	0.12600869269676	0.61606905848958
0.27236124666419	0.12643235590669	0.62030573794459
0.27440907558648	0.12685703144442	0.62454165373671
0.27645690450877	0.12728251713039	0.62877549342501
0.27850473343106	0.12770778832273	0.63300656382819
0.28055256235334	0.12813174386644	0.63723514954549
0.28260039127563	0.12855393818840	0.64146219613400
0.28464822019792	0.12897480814046	0.64568857545367
0.28669604912020	0.12939527228011	0.64991445976363
0.28874387804249	0.12981601457431	0.65413922958518
0.29079170696478	0.13023696601815	0.65836195391331
0.29283953588707	0.13065733948474	0.66258208554900
0.29488736480935	0.13107617828566	0.66679987922355
0.29693519373164	0.13149302625795	0.67101624727208
0.29898302265393	0.13190825546782	0.67523216225563
0.30103085157621	0.13232283492416	0.67944802209011
0.30307868049850	0.13273770968745	0.68366340598410
0.30512650942079	0.13315321695688	0.68787737127770
0.30717433834308	0.13356892460001	0.69208907208167
0.30922216726536	0.13398397781096	0.69629827420773
0.31126999618765	0.13439769467773	0.70050543045790
0.31331782510994	0.13480999692878	0.70471129292330
0.31536565403222	0.13522139473052	0.70891635318182
0.31741348295451	0.13563256191433	0.71312050376885
0.31946131187680	0.13604381671605	0.71732314422522
0.32150914079909	0.13645487471168	0.72152363947939
0.32355696972137	0.13686503895627	0.72572179842155
0.32560479864366	0.13727368483687	0.72991803727103
0.32765262756595	0.13768069788323	0.73411311925907
0.32970045648823	0.13808656405539	0.73830765603996
0.33174828541052	0.13849205733919	0.74250171413747
0.33379611433281	0.13889774454663	0.74669478865498
0.33584394325510	0.13930364372447	0.75088614990520
0.33789177217738	0.13970925689092	0.75507531722120
0.33993960109967	0.14011393696779	0.75926233863006
0.34198743002196	0.14051732535369	0.76344770010031
0.34403525894424	0.14091956101385	0.76763194676127
0.34608308786653	0.14132113120699	0.77181529051304
0.34813091678882	0.14172248490262	0.77599747552653
0.35017874571111	0.14212368824684	0.78017798463381
0.35222657463339	0.14252436233289	0.78435643113447
0.35427440355568	0.14292394073562	0.78853285702591
0.35632223247797	0.14332206215334	0.79270773077091
0.35837006140025	0.14371882474443	0.79688164971400
0.36041789032254	0.14411472985231	0.80105495469884
0.36246571924483	0.14451035875645	0.80522751929415
0.36451354816712	0.14490600593761	0.80939885050821
0.36656137708940	0.14530151470620	0.81356842324856
0.36860920601169	0.14569641587195	0.81773601609109
0.37065703493398	0.14609026188602	0.82190182434339
0.37270486385627	0.14648292144270	0.82606628649144
0.37475269277855	0.14687463675790	0.83022975749728
0.37680052170084	0.14726581637349	0.83439226118424
0.37884835062313	0.14765671910941	0.83855349017653
0.38089617954541	0.14804725428764	0.84271304481783
0.38294400846770	0.14843703578028	0.84687073723169
0.38499183738999	0.14882564788128	0.85102674611232
0.38703966631228	0.14921293540740	0.85518151593660
0.38908749523456	0.14959911761486	0.85933547255588
0.39113532415685	0.14998465039177	0.86348875143315
0.39318315307914	0.15036993438712	0.86764112167151
0.39523098200142	0.15075506854149	0.87179215140578
0.39727881092371	0.15113981160163	0.87594149568969
0.39932663984600	0.15152376807347	0.88008910960813
0.40137446876829	0.15190666278244	0.88423524765337
0.40342229769057	0.15228851378913	0.88838026114459
0.40547012661286	0.15266959071134	0.89252434269006
0.40751795553515	0.15305019729653	0.89666739704459
0.40956578445743	0.15343043699556	0.90080912393020
0.41161361337972	0.15381012709747	0.90494924872597
0.41366144230201	0.15418891944782	0.90908773583009
0.41570927122430	0.15456654106098	0.91322483504374
0.41775710014658	0.15494298650417	0.91736092962438
0.41980492906887	0.15531853000162	0.92149629177798
0.42185275799116	0.15569355100050	0.92563091280002
0.42390058691344	0.15606829399072	0.92976452073825
0.42594841583573	0.15644272480548	0.93389676858712
0.42799624475802	0.15681657553651	0.93802746138396
0.43004407368031	0.15718953964226	0.94215666892102
0.43209190260259	0.15756147867221	0.94628465408386
0.43413973152488	0.15793249970887	0.95041167496212
0.43618756044717	0.15830285663869	0.95453780287741
0.43823538936945	0.15867275135642	0.95866288222101
0.44028321829174	0.15904217775397	0.96278665568989
0.44233104721403	0.15941091766691	0.96690896293658
0.44437887613632	0.15977868978955	0.97102987163252
0.44642670505860	0.16014534629375	0.97514964944212
0.44847453398089	0.16051098052176	0.97926859690411
0.45052236290318	0.16087587239613	0.98338685660498
0.45257019182546	0.16124031040787	0.98750432825847
0.45461802074775	0.16160441214682	0.99162074460837
0.45666584967004	0.16196806322657	0.99573585279136
0.45871367859233	0.16233101081784	0.99984957620458
0.46076150751461	0.16269304221148	1.0039620494239
0.46280933643690	0.16305412375954	1.0080735088508
0.46485716535919	0.16341440735357	1.0121841207896
0.46690499428147	0.16377410593042	1.0162938685292
0.46895282320376	0.16413332985273	1.0204025751219
0.47100065212605	0.16449200044677	1.0245100421455
0.47304848104834	0.16484990048150	1.0286162045075
0.47509630997062	0.16520682490670	1.0327211921039
0.47714413889291	0.16556272612426	1.0368252555261
0.47919196781520	0.16591775331364	1.0409286075748
0.48123979673749	0.16627215958978	1.0450312894559
0.48328762565977	0.16662614150277	1.0491331518324
0.48533545458206	0.16697972003501	1.0532339609591
0.48738328350435	0.16733274135607	1.0573335551258
0.48943111242663	0.16768499218909	1.0614319448239
0.49147894134892	0.16803634712306	1.0655292917922
0.49352677027121	0.16838684642467	1.0696257868264
0.49557459919350	0.16873665409172	1.0737215147773
0.49762242811578	0.16908593000855	1.0778164009644
0.49967025703807	0.16943470846466	1.0819102740373
0.50171808596036	0.16978286850614	1.0860029985334
0.50376591488264	0.17013021591635	1.0900945828649
