#Parameters = {C_1=27.494459420379; C_2=629.72665244523; Conductivity=10000; Conductivity_Mo=17900000; Conductivity_MoGr=1000000; Ip=630.32658368396; Pipe_lenght=40; Pipe_r=30; beta=1; cells_wave=30; conductivity_copper=59500000; d=-929.72665244523; half_gap_x=30; half_gap_y=2.5055405796205; half_gap_z=150; mu_copper=0.999994; offset_x=5; offset_y=1; sigma_z=5; teta=2.5; thcoll=27.494459420379; translate_z=-779.72665244523; wakelength=20000}
#"Frequency / GHz"	"Y [Re / Ohm]"	"Y [Im / Ohm]"
#-----------------------------------------------
0.0000000000000	-1.8441809143490e-12	-65.427494290890
0.0020002000200020	2.0979844807561	-66.378586003933
0.0040004000400040	3.1639612290144	-68.923973161129
0.0060006000600060	2.5112451542281	-72.250184312456
0.0080008000800080	0.013826580684124	-75.325078659498
0.010001000100010	-3.8848304936479	-77.249119444145
0.012001200120012	-8.3627465607596	-77.537427244278
0.014001400140014	-12.525973146482	-76.232906180890
0.016001600160016	-15.707457889840	-73.823153969450
0.018001800180018	-17.648394792715	-71.012335588829
0.020002000200020	-18.508968989278	-68.450438560982
0.022002200220022	-18.728147091044	-66.527079234720
0.024002400240024	-18.808854238948	-65.297663857509
0.026002600260026	-19.123327151531	-64.547490513933
0.028002800280028	-19.810321616458	-63.943347080048
0.030003000300030	-20.786383543946	-63.195405347875
0.032003200320032	-21.842491678712	-62.162151472320
0.034003400340034	-22.767337958966	-60.867941458720
0.036003600360036	-23.439193936899	-59.446108356438
0.038003800380038	-23.854286167383	-58.050060000344
0.040004000400040	-24.094772405624	-56.779633776797
0.042004200420042	-24.266058553231	-55.652390506455
0.044004400440044	-24.440566412220	-54.621873921899
0.046004600460046	-24.633375774133	-53.622094102463
0.048004800480048	-24.813737964641	-52.609569875425
0.050005000500050	-24.937660424124	-51.582121761899
0.052005200520052	-24.979399145685	-50.570216544580
0.054005400540054	-24.945219672189	-49.611908256925
0.056005600560056	-24.865826365026	-48.728741806406
0.058005800580058	-24.776151227911	-47.915822644083
0.060006000600060	-24.696373553311	-47.148819064657
0.062006200620062	-24.624664609867	-46.400731335203
0.064006400640064	-24.543622961126	-45.657137754557
0.066006600660066	-24.434294359427	-44.921536032998
0.068006800680068	-24.288452919641	-44.209494790431
0.070007000700070	-24.112427763532	-43.536927608508
0.072007200720072	-23.921747663200	-42.910263350475
0.074007400740074	-23.731290947362	-42.323889322386
0.076007600760076	-23.547463915159	-41.765136678536
0.078007800780078	-23.366691941538	-41.222624806873
0.080008000800080	-23.180115179511	-40.692462165342
0.082008200820082	-22.980717738987	-40.178914037302
0.084008400840084	-22.768225337043	-39.689951586879
0.086008600860086	-22.549112155152	-39.231108303560
0.088008800880088	-22.332370794018	-38.801616913723
0.090009000900090	-22.124171709804	-38.394892386309
0.092009200920092	-21.924806196075	-38.002529364491
0.094009400940094	-21.729495631543	-37.618958778580
0.096009600960096	-21.532111197570	-37.243862999597
0.098009800980098	-21.329201688144	-36.881162849153
0.10001000100010	-21.121857317145	-36.535613497546
0.10201020102010	-20.914552185717	-36.209372990878
0.10401040104010	-20.712052238488	-35.900638269487
0.10601060106011	-20.516528478089	-35.604928466971
0.10801080108011	-20.326637073805	-35.317900695706
0.11001100110011	-20.138911273735	-35.037765804994
0.11201120112011	-19.950338245488	-34.765835141238
0.11401140114011	-19.760377927862	-34.505050299567
0.11601160116012	-19.571209558045	-34.257621192173
0.11801180118012	-19.386219526528	-34.023342016425
0.12001200120012	-19.207840881834	-33.799579231295
0.12201220122012	-19.036153846467	-33.582788412807
0.12401240124012	-18.869050608893	-33.370477987803
0.12601260126013	-18.703719672826	-33.162360955376
0.12801280128013	-18.538408041234	-32.960058285769
0.13001300130013	-18.373345299737	-32.765677612552
0.13201320132013	-18.210341091714	-32.580259444245
0.13401340134013	-18.051440911377	-32.403070826565
0.13601360136014	-17.897577183051	-32.232103158964
0.13801380138014	-17.748067346921	-32.065341478013
0.14001400140014	-17.601198433238	-31.901926062893
0.14201420142014	-17.455428799258	-31.742473631163
0.14401440144014	-17.310386172640	-31.588421473228
0.14601460146015	-17.167037986526	-31.440890294535
0.14801480148015	-17.026985677011	-31.299828573924
0.15001500150015	-16.891395086101	-31.163964033538
0.15201520152015	-16.760267641499	-31.031536314786
0.15401540154015	-16.632488776542	-30.901292206138
0.15601560156016	-16.506566228259	-30.773097580760
0.15801580158016	-16.381542035313	-30.647810946729
0.16001600160016	-16.257492089929	-30.526556613961
0.16201620162016	-16.135333090721	-30.409903797372
0.16401640164016	-16.016116779266	-30.297477797331
0.16601660166017	-15.900302495859	-30.188214192668
0.16801680168017	-15.787475024930	-30.081041458284
0.17001700170017	-15.676655207250	-29.975519903584
0.17201720172017	-15.566960346845	-29.872027005245
0.17401740174017	-15.458163703640	-29.771398869053
0.17601760176018	-15.350797096393	-29.674293052876
0.17801780178018	-15.245756832316	-29.580700076227
0.18001800180018	-15.143694231597	-29.489909088854
0.18201820182018	-15.044592672167	-29.400923815663
0.18401840184018	-14.947789344389	-29.313037658670
0.18601860186019	-14.852400522982	-29.226193581629
0.18801880188019	-14.757855111869	-29.140915167340
0.19001900190019	-14.664191668039	-29.057881848444
0.19201920192019	-14.571947604035	-28.977442843470
0.19401940194019	-14.481740802810	-28.899383510560
0.19601960196020	-14.393833721952	-28.823075287595
0.19801980198020	-14.307961957500	-28.747885636791
0.20002000200020	-14.223520767600	-28.673565117930
0.20202020202020	-14.139966208097	-28.600361123228
0.20402040204020	-14.057157286450	-28.528799478269
0.20602060206021	-13.975419239582	-28.459293407014
0.20802080208021	-13.895300421222	-28.391842365746
0.21002100210021	-13.817194664366	-28.326011327227
0.21202120212021	-13.741078731469	-28.261190372727
0.21402140214021	-13.666527365963	-28.196954199053
0.21602160216022	-13.592981633839	-28.133286669268
0.21802180218022	-13.520085267260	-28.070534904945
0.22002200220022	-13.447870616386	-28.009138299162
0.22202220222022	-13.376684809673	-27.949319480509
0.22402240224022	-13.306919915013	-27.890937768658
0.22602260226023	-13.238733338009	-27.833589377292
0.22802280228023	-13.171940320085	-27.776874496308
0.23002300230023	-13.106138876578	-27.720647781528
0.23202320232023	-13.040973475238	-27.665089306366
0.23402340234023	-12.976358349169	-27.610557933463
0.23602360236024	-12.912516204251	-27.557332294617
0.23802380238024	-12.849814613176	-27.505412653019
0.24002400240024	-12.788514269580	-27.454509613442
0.24202420242024	-12.728595057193	-27.404219184301
0.24402440244024	-12.669768060012	-27.354263605834
0.24602460246025	-12.611656882809	-27.304640829133
0.24802480248025	-12.554023735106	-27.255592026542
0.25002500250025	-12.496893436087	-27.207418057914
0.25202520252025	-12.440501958083	-27.160271261367
0.25402540254025	-12.385113153494	-27.114057970751
0.25602560256026	-12.330830127159	-27.068508251172
0.25802580258026	-12.277524451731	-27.023357882162
0.26002600260026	-12.224923405802	-26.978517381352
0.26202620262026	-12.172790310515	-26.934117407062
0.26402640264026	-12.121075113586	-26.890405771179
0.26602660266027	-12.069937082051	-26.847569456075
0.26802680268027	-12.019629049535	-26.805601113101
0.27002700270027	-11.970323436211	-26.764295855602
0.27202720272027	-11.921995097973	-26.723376055535
0.27402740274027	-11.874434717759	-26.682658847159
0.27602760276028	-11.827378983020	-26.642156795461
0.27802780278028	-11.780668888488	-26.602049944792
0.28002800280028	-11.734333196093	-26.562553204231
0.28202820282028	-11.688547062653	-26.523769550935
0.28402840284028	-11.643498882831	-26.485624541443
0.28602860286029	-11.599256354267	-26.447920509786
0.28802880288029	-11.555719127838	-26.410469317637
0.29002900290029	-11.512685151409	-26.373213179285
0.29202920292029	-11.469982480194	-26.336254692373
0.29402940294029	-11.427577502636	-26.299779682250
0.29602960296030	-11.385589345205	-26.263927106933
0.29802980298030	-11.344204028155	-26.228692808748
0.30003000300030	-11.303547463961	-26.193928705042
0.30203020302030	-11.263600969834	-26.159434749660
0.30403040304030	-11.224212260489	-26.125080963596
0.30603060306031	-11.185191034993	-26.090879841567
0.30803080308031	-11.146424049903	-26.056964795401
0.31003100310031	-11.107934783559	-26.023492929105
0.31203120312031	-11.069851982475	-25.990538578805
0.31403140314031	-11.032312075653	-25.958047022573
0.31603160316032	-10.995362307792	-25.925875497672
0.31803180318032	-10.958928008821	-25.893890512058
0.32003200320032	-10.922862757717	-25.862054925493
0.32203220322032	-10.887045078239	-25.830447657358
0.32403240324032	-10.851456107369	-25.799205277919
0.32603260326033	-10.816187484796	-25.768426442233
0.32803280328033	-10.781376211433	-25.738103153672
0.33003300330033	-10.747111189167	-25.708123196203
0.33203320332033	-10.713373233492	-25.678340116676
0.33403340334033	-10.680046488582	-25.648663192241
0.33603360336034	-10.646991393467	-25.619108426393
0.33803380338034	-10.614129669560	-25.589779061221
0.34003400340034	-10.581485819377	-25.560791093197
0.34203420342034	-10.549160045001	-25.532194481028
0.34403440344034	-10.517253169122	-25.503941591052
0.34603460346035	-10.485794717945	-25.475921600066
0.34803480348035	-10.454721369572	-25.448035691410
0.35003500350035	-10.423918271457	-25.420261994937
0.35203520352035	-10.393294020945	-25.392667637421
0.35403540354035	-10.362838888542	-25.365361330382
0.35603560356036	-10.332628335362	-25.338419138024
0.35803580358036	-10.302770784257	-25.311832706408
0.36003600360036	-10.273335048893	-25.285513158568
0.36203620362036	-10.244305031943	-25.259346621446
0.36403640364036	-10.215590100083	-25.233263928917
0.36603660366037	-10.187082484226	-25.207279101081
0.36803680368037	-10.158722884879	-25.181473054645
0.37003700370037	-10.130531603682	-25.155935397250
0.37203720372037	-10.102586576128	-25.130703878500
0.37403740374037	-10.074964988164	-25.105741030744
0.37603760376038	-10.047688288603	-25.080961698383
0.37803780378038	-10.020706679794	-25.056291299496
0.38003800380038	-9.9939319464180	-25.031715197588
0.38203820382038	-9.9672953766115	-25.007286734088
0.38403840384038	-9.9407917262651	-24.983089702973
0.38603860386039	-9.9144805008392	-24.959181160862
0.38803880388039	-9.8884446860962	-24.935552669838
0.39003900390039	-9.8627349667200	-24.912134930413
0.39203920392039	-9.8373361826809	-24.888841666546
0.39403940394039	-9.8121771762640	-24.865623111229
0.39603960396040	-9.7871762341317	-24.842494093982
0.39803980398040	-9.7622913805961	-24.819519422270
0.40004000400040	-9.7375426537030	-24.796767684937
0.40204020402040	-9.7129929300410	-24.774264845676
0.40404040404040	-9.6887014597178	-24.751978049779
0.40604060406041	-9.6646817040380	-24.729839219941
0.40804080408041	-9.6408912291427	-24.707791542436
0.41004100410041	-9.6172594642336	-24.685827369675
0.41204120412041	-9.5937340141844	-24.663992591072
0.41404140414041	-9.5703144889660	-24.642355253053
0.41604160416042	-9.5470517789873	-24.620959771877
0.41804180418042	-9.5240138990326	-24.599797014975
0.42004200420042	-9.5012413494803	-24.578809396699
0.42204220422042	-9.4787211599542	-24.557926803634
0.42404240424042	-9.4563957808727	-24.537109246239
0.42604260426043	-9.4341998455609	-24.516368542698
0.42804280428043	-9.4120999746888	-24.495755921402
0.43004300430043	-9.3901117375707	-24.475325078672
0.43204320432043	-9.3682837771139	-24.455095874491
0.43404340434043	-9.3466609964836	-24.435042469551
0.43604360436044	-9.3252520490447	-24.415112747837
0.43804380438044	-9.3040226714561	-24.395264954081
0.44004400440044	-9.2829186016121	-24.375496480044
0.44204420442044	-9.2619020554168	-24.355845610959
0.44404440444044	-9.2409770787845	-24.336365455964
0.44604460446045	-9.2201869575827	-24.317087770271
0.44804480448045	-9.1995856599897	-24.298000753731
0.45004500450045	-9.1792023668666	-24.279055279247
0.45204520452045	-9.1590223285879	-24.260195083569
0.45404540454045	-9.1389961385585	-24.241390888770
0.45604560456046	-9.1190707222994	-24.222656335445
0.45804580458046	-9.0992214057747	-24.204036021179
0.46004600460046	-9.0794643359507	-24.185574346640
0.46204620462046	-9.0598419616685	-24.167286075100
