#Parameters = {C_1=27.534904321902; C_2=630.65299298732; Conductivity=10000; Conductivity_MoGr=1000000; Ip=631.25380673694; Pipe_lenght=40; Pipe_r=30; beta=1; cells_wave=30; conductivity_copper=59500000; d=-880.65299298732; half_gap_x=30; half_gap_y=2.4650956780985; half_gap_z=125; mu_copper=0.999994; offset_x=5; offset_y=1; sigma_z=5; teta=2.5; thcoll=27.534904321902; translate_z=-755.65299298732; wakelength=20000}
#"Frequency / GHz"	"Y [Re / Ohm]"	"Y [Im / Ohm]"
#-----------------------------------------------
0.0000000000000	9.1881726524019e-12	-291.53061672778
0.0020002000200020	-30.047098823932	-285.33804095958
0.0040004000400040	-53.960275875724	-268.55457145590
0.0060006000600060	-67.608226483921	-245.92512516646
0.0080008000800080	-70.113075438223	-223.48416663484
0.010001000100010	-63.906175847244	-206.52105792400
0.012001200120012	-53.627728439113	-197.94441659270
0.014001400140014	-44.356440755908	-197.62242379108
0.016001600160016	-39.881739672418	-202.85754001723
0.018001800180018	-41.653717074680	-209.70047326764
0.020002000200020	-48.718287976881	-214.51184912380
0.022002200220022	-58.524704081389	-215.15220721957
0.024002400240024	-68.164790828341	-211.40811123786
0.026002600260026	-75.496351010433	-204.62153229371
0.028002800280028	-79.736385226814	-196.81349472216
0.030003000300030	-81.395405686434	-189.74780752532
0.032003200320032	-81.718205885288	-184.32357349912
0.034003400340034	-81.970190904992	-180.47249501513
0.036003600360036	-82.904687759813	-177.48667270838
0.038003800380038	-84.596815537644	-174.53198151487
0.040004000400040	-86.626413642556	-171.07400422827
0.042004200420042	-88.438521279881	-167.04487637504
0.044004400440044	-89.667158638867	-162.73904170993
0.046004600460046	-90.275484399509	-158.55745619658
0.048004800480048	-90.489054758319	-154.76566384112
0.050005000500050	-90.607476608724	-151.38593125585
0.052005200520052	-90.822350779693	-148.24779032415
0.054005400540054	-91.137601015115	-145.13331009033
0.056005600560056	-91.413048131114	-141.91685525308
0.058005800580058	-91.481107060673	-138.62305332288
0.060006000600060	-91.256520597514	-135.38691760573
0.062006200620062	-90.778481374336	-132.35743704727
0.064006400640064	-90.173706401969	-129.60980927858
0.066006600660066	-89.575648686586	-127.11475933030
0.068006800680068	-89.053656596624	-124.77244332638
0.070007000700070	-88.590891982130	-122.48033085681
0.072007200720072	-88.115273318666	-120.19020406800
0.074007400740074	-87.556438666092	-117.92320123058
0.076007600760076	-86.891084138820	-115.74129064266
0.078007800780078	-86.151915964954	-113.69927446448
0.080008000800080	-85.400786822484	-111.80907225064
0.082008200820082	-84.687739729469	-110.03587397713
0.084008400840084	-84.022871881239	-108.32381395280
0.086008600860086	-83.376384343822	-106.63142589863
0.088008800880088	-82.703074527041	-104.95395756148
0.090009000900090	-81.973249730179	-103.32060807320
0.092009200920092	-81.190473338655	-101.77146433564
0.094009400940094	-80.386989867259	-100.33060214470
0.096009600960096	-79.602321513169	-98.992100863937
0.098009800980098	-78.860045147334	-97.725845709703
0.10001000100010	-78.157028856582	-96.497159569934
0.10201020102010	-77.470104763440	-95.286634128030
0.10401040104010	-76.773935521429	-94.098058508015
0.10601060106011	-76.057739210197	-92.951069908327
0.10801080108011	-75.330695860002	-91.864928827774
0.11001100110011	-74.614016735454	-90.844555782973
0.11201120112011	-73.926148478965	-89.877314371898
0.11401140114011	-73.271152788714	-88.941420487665
0.11601160116012	-72.637273247186	-88.019513116522
0.11801180118012	-72.005631735196	-87.108347284171
