time	wake_y_dipolar
1e-11	7726.581829175707
1.00138264419705e-11	7728.823737920072
1.0027672000990756e-11	7731.068746426551
1.0041536703492846e-11	7733.316858981015
1.0055420575945395e-11	7735.5680798752555
1.0069323644853623e-11	7737.822413407003
1.0083245936759398e-11	7740.079863879925
1.0097187478241287e-11	7742.340435603645
1.0111148295914602e-11	7744.604132893739
1.012512841643146e-11	7746.870960071757
1.0139127866480825e-11	7749.140921465217
1.0153146672788562e-11	7751.414021407625
1.016718486211749e-11	7753.690264238478
1.0181242461267432e-11	7755.969654303274
1.0195319497075263e-11	7758.252195953514
1.0209415996414964e-11	7760.5378935467215
1.0223531986197675e-11	7762.826751446443
1.0237667493371788e-11	7765.118774022264
1.0251822544922826e-11	7767.413965649792
1.026599716787375e-11	7769.712330710705
1.0280191389284843e-11	7772.013873592731
1.02944052362538e-11	7774.318598689669
1.0308638735915787e-11	7776.626510401387
1.0322891915443486e-11	7778.937613133841
1.0337164802047148e-11	7781.251911299076
1.0351457422974647e-11	7783.5694093152415
1.0365769805511533e-11	7785.890111606588
1.038010197698108e-11	7788.214022603492
1.0394453964744339e-11	7790.541146742451
1.0408825796200196e-11	7792.871488466096
1.0423217498785417e-11	7795.205052223201
1.0437629099974703e-11	7797.541842468695
1.0452060627280742e-11	7799.881863663661
1.0466512108254266e-11	7802.225120275353
1.0480983570484097e-11	7804.501432754623
1.0495475041597203e-11	7806.780145114238
1.050998654925875e-11	7809.062008122275
1.0524518121172156e-11	7811.347026134958
1.0539069785079143e-11	7813.6352035145355
1.0553641568759786e-11	7815.926544629289
1.0568233500032578e-11	7818.22105385354
1.0582845606754468e-11	7820.518735567653
1.0597477916820922e-11	7822.819594158054
1.061213045816598e-11	7825.123634017236
1.0626803258762301e-11	7827.430859543758
1.064149634662122e-11	7829.741275142265
1.0656209749792804e-11	7832.054885223492
1.0670943496365902e-11	7834.371694204273
1.06856976144682e-11	7836.691706507546
1.0700472132266276e-11	7839.014926562367
1.0715267077965693e-11	7841.341358803923
1.0730082479810882e-11	7843.671007673511
1.0744918366085461e-11	7846.003877618588
1.0759774765112105e-11	7848.339973092758
1.0774651705252652e-11	7850.6792985557795
1.0789549214908154e-11	7853.021858473578
1.0804467322518932e-11	7855.367657318251
1.0819406056564629e-11	7857.7166995680855
1.0834365445564264e-11	7860.0689897075545
1.0849345518076294e-11	7862.424532227336
1.0864346302698651e-11	7864.783331624312
1.0879367828068819e-11	7867.145392401588
1.089441012286387e-11	7869.510719068489
1.0909473215800532e-11	7871.879316140581
1.092455713563523e-11	7874.2511881396695
1.0939661911164156e-11	7876.623137990954
1.0954787571223317e-11	7878.924613973727
1.0969934144688584e-11	7881.229272078912
1.0985101660475758e-11	7883.537116706251
1.100029014754062e-11	7885.848152261575
1.1015499634878981e-11	7888.162383156796
1.1030730151526754e-11	7890.479813809935
1.1045981726559986e-11	7892.800448645119
1.1061254389094934e-11	7895.124292092592
1.107654816828811e-11	7897.451348588721
1.1091863093336338e-11	7899.7816225760125
1.1107199193476811e-11	7902.115118503109
1.1122556497987152e-11	7904.451840824809
1.1137935036185454e-11	7906.791794002064
1.1153334837430355e-11	7909.134982502004
1.1168755931121083e-11	7911.481410797926
1.1184198346697516e-11	7913.831083369314
1.1199662113640232e-11	7916.184004701849
1.1215147261470578e-11	7918.54017928741
1.1230653819750757e-11	7920.899611624095
1.1246181818083712e-11	7923.262306216202
1.1261731286113455e-11	7925.628267574277
1.1277302253524935e-11	7927.997500215094
1.129289475004415e-11	7930.370008661672
1.1308508805438195e-11	7932.745797443288
1.1324144449515323e-11	7935.124871095475
1.1339801712125e-11	7937.507234160043
1.1355480623157968e-11	7939.892891185076
1.1371181212546291e-11	7942.281846724951
1.1386903510263421e-11	7944.67410534034
1.1402647546324256e-11	7947.069671598221
1.1418413350785186e-11	7949.431581573801
1.1434200953744168e-11	7951.75054672795
1.1450010385340766e-11	7954.072718185809
1.1465841675756219e-11	7956.398100380562
1.1481694855213498e-11	7958.72669775151
1.1497569953977356e-11	7961.058514744101
1.1513467002354399e-11	7963.393555809926
1.1529386030693132e-11	7965.73182540673
1.1545327069384018e-11	7968.073327998423
1.1561290148859546e-11	7970.418068055088
1.1577275299594277e-11	7972.766050052984
1.1593282552104912e-11	7975.117278474566
1.160931193695034e-11	7977.471757808479
1.1625363484731708e-11	7979.829492549583
1.1641437226092468e-11	7982.190487198943
1.1657533191718446e-11	7984.554746263854
1.1673651412337894e-11	7986.922274257842
1.1689791918721546e-11	7989.2930757006725
1.170595474168269e-11	7991.66715511836
1.1722139912077206e-11	7994.044517043177
1.1738347460803648e-11	7996.425166013664
1.1754577418803333e-11	7998.809106574644
1.1770829817060215e-11	8001.196343277197
1.1787104686601236e-11	8003.586880678725
1.1803402058496187e-11	8005.980723342919
1.1819721963857814e-11	8008.377875839782
1.1836064433841886e-11	8010.778342745634
1.1852429499647248e-11	8013.182128643123
1.1868817192515879e-11	8015.589238121235
1.1885227543732957e-11	8017.991722061689
1.1901660584626919e-11	8020.315867203192
1.1918116346569512e-11	8022.643225810488
1.1934594860975862e-11	8024.9738023266555
1.1951096159304532e-11	8027.30760120092
1.1967620273057582e-11	8029.644626888655
1.1984167233780622e-11	8031.984883851394
1.2000737073062886e-11	8034.328376556844
1.2017329822537278e-11	8036.675109478883
1.2033945513880445e-11	8039.02508709758
1.2050584178812828e-11	8041.378313899193
1.2067245849098725e-11	8043.734794376188
1.2083930556546357e-11	8046.09453302724
1.2100638333007921e-11	8048.457534357244
1.2117369210379654e-11	8050.823802877327
1.2134123220601897e-11	8053.193343104846
1.2150900395659153e-11	8055.56615956341
1.2167700767580143e-11	8057.942256782881
1.2184524368437878e-11	8060.321639299385
1.2201371230349713e-11	8062.704311655318
1.2218241385477408e-11	8065.090278399357
1.2235134866027195e-11	8067.479544086469
1.2252051704249831e-11	8069.872113277918
1.2268991932440668e-11	8072.267990541277
1.228595558293971e-11	8074.66718045043
1.2302942688131725e-11	8077.069687585596
1.2319953280446109e-11	8079.475516533303
1.2336987392357246e-11	8081.884671886444
1.2354045056384366e-11	8084.297158244254
1.237112630509167e-11	8086.628530862331
1.2388231171088377e-11	8088.95132160237
1.2405359687028797e-11	8091.277323935549
1.2422511885612384e-11	8093.606542302355
1.243968779958381e-11	8095.938981149418
1.2456887461733019e-11	8098.27464492952
1.2474110904895289e-11	8100.613538101594
1.24913581619513e-11	8102.955665130739
1.2508629265827194e-11	8105.301030488229
1.252592424949464e-11	8107.649638651523
1.2543243145970891e-11	8110.001494104262
1.2560585988318855e-11	8112.356601336296
1.2577952809647152e-11	8114.71496484368
1.259534364311018e-11	8117.076589128679
1.2612758521908176e-11	8119.441478699793
1.2630197479287285e-11	8121.809638071749
1.2647660548539616e-11	8124.181071765518
1.2665147763003312e-11	8126.5557843083225
1.2682659156062609e-11	8128.933780233643
1.2700194761147902e-11	8131.315064081232
1.2717754611735808e-11	8133.699640397113
1.2735338741349229e-11	8136.0875137336
1.2752947183557421e-11	8138.478688649299
1.2770579971976052e-11	8140.87316970912
1.2788237140267267e-11	8143.270961484282
1.2805918722139757e-11	8145.672068552329
1.2823624751348818e-11	8148.07649549713
1.2841355261696416e-11	8150.409575595025
1.2859110287031257e-11	8152.717477737298
1.2876889861248847e-11	8155.028570887075
1.2894694018291607e-11	8157.342859456393
1.2912522792148734e-11	8159.660347863363
1.2930376216856574e-11	8161.981040532232
1.2948254326498484e-11	8164.304941893353
1.2966157155204943e-11	8166.632056383204
1.2984084737153626e-11	8168.962388444401
1.3002037106569456e-11	8171.295942525699
1.3020014297724682e-11	8173.632723082007
1.303801634493894e-11	8175.97273457439
1.3056043282579311e-11	8178.315981470085
1.3074095145060404e-11	8180.662468242502
1.3092171966844401e-11	8183.012199371238
1.3110273782441138e-11	8185.365179342084
1.3128400626408168e-11	8187.721412647033
1.3146552533350817e-11	8190.080903784288
1.3164729537922268e-11	8192.443657258273
1.3182931674823609e-11	8194.809677579635
1.320115897880391e-11	8197.178969265266
1.3219411484660288e-11	8199.551536838297
1.3237689227237969e-11	8201.927384828114
1.325599224143036e-11	8204.306517770368
1.3274320562179113e-11	8206.68894020698
1.3292674224474191e-11	8209.074656686149
1.3311053263353937e-11	8211.402768972699
1.3329457713905135e-11	8213.684972670979
1.334788761126309e-11	8215.97033184496
1.3366342990611678e-11	8218.25885085754
1.3384823887183427e-11	8220.550534077653
1.3403330336259577e-11	8222.84538588027
1.342186237317015e-11	8225.143410646417
1.3440420033294017e-11	8227.44461276317
1.3459003352058965e-11	8229.748996623677
1.3477612364941765e-11	8232.056566627158
1.3496247107468297e-11	8234.367327178918
1.351490761521339e-11	8236.681282690339
1.3533593923801231e-11	8238.99843757892
1.3552306068905206e-11	8241.318796268264
1.3571044086248024e-11	8243.642363188083
1.3589808011601784e-11	8245.96914277422
1.3608597880788047e-11	8248.29913946865
1.3627413729677906e-11	8250.632357719487
1.3646255594192045e-11	8252.968801981002
1.3665123510300815e-11	8255.308476713615
1.3684017514024303e-11	8257.65138638392
1.3702937641432399e-11	8259.997535464687
1.3721883928644863e-11	8262.346928434863
1.3740856411831398e-11	8264.699569779597
1.3759855127211714e-11	8267.055463990235
1.3778880111055601e-11	8269.37995977701
1.3797931399682999e-11	8271.625264526505
1.3817009029464065e-11	8273.873673733582
1.383611303681924e-11	8276.125191690602
1.3855243458219326e-11	8278.37982269586
1.3874400330185548e-11	8280.637571053596
1.3893583689289627e-11	8282.898441073994
1.391279357215385e-11	8285.162437073206
1.3932030015451144e-11	8287.42956337335
1.3951293055905134e-11	8289.699824302517
1.3970582730290225e-11	8291.973224194784
1.3989899075431666e-11	8294.249767390218
1.4009242128205627e-11	8296.529458234892
1.4028611925539259e-11	8298.812301080881
1.4048008504410771e-11	8301.098300286287
1.4067431901849503e-11	8303.387460215226
1.4086882154935992e-11	8305.679785237859
1.4106359300802041e-11	8307.97527973038
1.4125863376630854e-11	8310.27394807505
1.4145394419656874e-11	8312.575794660159
1.4164952467166195e-11	8314.880823880092
1.4184537556496412e-11	8317.189040135301
1.4204149725036739e-11	8319.500447832319
1.422378901022809e-11	8321.815051383777
1.4243455449563145e-11	8324.132855208403
1.4263149080586423e-11	8326.343341843029
1.4282869940894354e-11	8328.543285196221
1.4302618068135352e-11	8330.746270288326
1.4322393500009882e-11	8332.952301324984
1.4342196274270536e-11	8335.161382517652
1.4362026428722108e-11	8337.373518083614
1.438188400122166e-11	8339.588712245977
1.4401769029678594e-11	8341.806969233696
1.4421681552054733e-11	8344.028293281566
1.4441621606364386e-11	8346.25268863024
1.4461589230674415e-11	8348.480159526234
1.4481584463104328e-11	8350.71071022194
1.4501607341826328e-11	8352.944344975618
1.4521657905065403e-11	8355.18106805143
1.4541736191099386e-11	8357.42088371942
1.4561842238259042e-11	8359.663796255545
1.4581976084928126e-11	8361.909809941677
1.4602137769543475e-11	8364.158929065596
1.4622327330595058e-11	8366.411157921018
1.464254480662607e-11	8368.666500807602
1.4662790236232995e-11	8370.924962030937
1.4683063658065684e-11	8373.186545902578
1.4703365110827425e-11	8375.451256740034
1.4723694633275016e-11	8377.682254558247
1.474405226421885e-11	8379.82200601276
1.4764438042522976e-11	8381.964715982209
1.4784852007105174e-11	8384.11038855716
1.48052941969371e-11	8386.259027833852
1.4825764651044113e-11	8388.410637914167
1.4846263408505708e-11	8390.565222905672
1.4866790508455354e-11	8392.722786921613
1.4887345990080627e-11	8394.88333408092
1.4907929892623288e-11	8397.04686850822
1.492854225537935e-11	8399.21339433384
1.4949183117699165e-11	8401.38291569382
1.496985251898749e-11	8403.555436729921
1.4990550498703562e-11	8405.730961589625
1.501127709636118e-11	8407.90949442615
1.5032032351528773e-11	8410.091039398461
1.505281630382948e-11	8412.27560067127
1.507362899294123e-11	8414.463182415044
1.5094470458596804e-11	8416.653788806021
1.5115340740583927e-11	8418.847424026215
1.513623987874533e-11	8421.044092263413
1.515716791297883e-11	8423.243797711206
1.5178124883237424e-11	8425.44654456897
1.519911082952933e-11	8427.594672274776
1.5220125791918098e-11	8429.665237376206
1.5241169810522665e-11	8431.73866533246
1.526224292551744e-11	8433.814960101843
