Frequency [GHz]	Zx imag [Ohm/m]	Zy imag [Ohm/m]
5.019965133110081441e-10	1.183728948141124845e+07	2.889711604155961052e+07
5.184593543892912175e-10	1.183709451253741048e+07	2.889685647717984021e+07
5.354620899273606527e-10	1.183689314971162565e+07	2.889658840045582876e+07
5.530224256192902378e-10	1.183668518324594758e+07	2.889631153222751245e+07
5.711586478126431938e-10	1.183647039657578245e+07	2.889602558417987451e+07
5.898896425508497150e-10	1.183624856603434496e+07	2.889573025854267180e+07
6.092349152400710261e-10	1.183601946061977372e+07	2.889542524778036773e+07
6.292146109610343618e-10	1.183578284175454825e+07	2.889511023427188024e+07
6.498495354469890483e-10	1.183553846303707175e+07	2.889478488997983187e+07
6.711611767496282870e-10	1.183528606998506933e+07	2.889444887610894814e+07
6.931717276155404727e-10	1.183502539977058582e+07	2.889410184275324270e+07
7.159041085964887260e-10	1.183475618094630167e+07	2.889374342853167281e+07
7.393819919175865964e-10	1.183447813316284679e+07	2.889337326021178812e+07
7.636298261282244400e-10	1.183419096687687188e+07	2.889299095232108980e+07
7.886728615614152294e-10	1.183389438304953463e+07	2.889259610674560443e+07
8.145371766280743462e-10	1.183358807283508591e+07	2.889218831231532246e+07
8.412497049736117954e-10	1.183327171725927107e+07	2.889176714437602088e+07
8.688382635251186617e-10	1.183294498688715696e+07	2.889133216434705630e+07
8.973315814583522479e-10	1.183260754148007929e+07	2.889088291926465556e+07
9.267593301146878953e-10	1.183225902964133769e+07	2.889041894131020829e+07
9.571521538991863169e-10	1.183189908845027722e+07	2.888993974732312933e+07
9.885417021919573871e-10	1.183152734308434650e+07	2.888944483829770237e+07
1.020960662306046580e-09	1.183118178683961369e+07	2.888894399121325836e+07
1.054442793526168950e-09	1.183084656716388464e+07	2.888843252988634631e+07
1.089022962263730067e-09	1.183050035404875316e+07	2.888790429532232881e+07
1.124737178364752061e-09	1.183014278696732596e+07	2.888735873744739965e+07
1.161622632608501755e-09	1.182977349356931821e+07	2.888679528814821318e+07
1.199717735435884489e-09	1.182939208929332532e+07	2.888621336068030819e+07
1.239062156947916503e-09	1.182899817696634494e+07	2.888561234905710071e+07
1.279696868215940940e-09	1.182859134639020637e+07	2.888499162741882727e+07
1.321664183946605026e-09	1.182817117391438410e+07	2.888435054938083142e+07
1.365007806546013663e-09	1.182773722199485824e+07	2.888368844736044109e+07
1.409772871628966933e-09	1.182728903873846494e+07	2.888300463188178837e+07
1.456005995020649598e-09	1.182682615743232891e+07	2.888229839085783064e+07
1.503755321299737753e-09	1.182634809605784900e+07	2.888156898884882033e+07
1.553070573933460069e-09	1.182585435678875074e+07	2.888081566629646346e+07
1.604003107056820079e-09	1.182534442547268420e+07	2.888003763873295859e+07
1.656605958949914401e-09	1.182481777109580860e+07	2.887923409596407786e+07
1.710933907269014249e-09	1.182427384522983246e+07	2.887840420122550800e+07
1.767043526088946692e-09	1.182371208146089688e+07	2.887754709031146765e+07
1.824993244816152494e-09	1.182313189479975589e+07	2.887666187067477033e+07
1.884843409033795523e-09	1.182253268107260205e+07	2.887574762049740180e+07
1.946656343342262358e-09	1.182191381629190221e+07	2.887480338773056492e+07
2.010496416260498236e-09	1.182127465600662678e+07	2.887382818910326436e+07
2.076430107255774870e-09	1.182061453463114239e+07	2.887282100909841433e+07
2.144526075971667793e-09	1.181993276475211233e+07	2.887178079889531434e+07
2.214855233726359314e-09	1.181922863641267270e+07	2.887070647527746111e+07
2.287490817355702788e-09	1.181850141637310199e+07	2.886959691950456798e+07
2.362508465477946229e-09	1.181775034734728932e+07	2.886845097614755109e+07
2.439986297259550245e-09	1.181697464721412212e+07	2.886726745188534632e+07
2.520004993764092080e-09	1.181617350820303708e+07	2.886604511426224932e+07
2.602647881969005809e-09	1.181534609605285525e+07	2.886478269040448219e+07
2.688001021537606561e-09	1.181449154914302006e+07	2.886347886569473520e+07
2.776153294436799262e-09	1.181360897759636492e+07	2.886213228240315989e+07
2.867196497493770032e-09	1.181269746235243976e+07	2.886074153827353194e+07
2.961225437988034610e-09	1.181175605421044864e+07	2.885930518506300449e+07
3.058338032378433485e-09	1.181078377284081466e+07	2.885782172703399882e+07
3.158635408267817403e-09	1.180977960576431267e+07	2.885628961939661577e+07
3.262222009711669644e-09	1.180874250729773752e+07	2.885470726669999212e+07
