# Time (s)	Wake dip x [V/C/m]
1000.0	0.0
1018.6101701559753	0.0
1037.566678745186	0.0
1056.875971184804	0.0
1076.544612842316	0.0
1096.5792912678098	0.0
1116.9868184678226	0.0
1137.7741332214914	0.0
1158.9483034398106	0.0
1180.5165285688056	0.0
1202.4861420374123	0.0
1224.8646137509306	0.0
1247.6595526308697	0.0
1270.8787092020582	0.0
1294.529978227916	0.0
1318.6214013947485	0.0
1343.1611700460153	0.0
1368.1576279674719	0.0
1393.6192742241421	0.0
1419.5547660501015	0.0
1445.9729217920196	0.0
1472.8827239075017	0.0
1500.2933220192183	0.0
1528.2140360258693	0.0
1556.654359271062	0.0
1585.6239617711371	0.0
1615.1326935030913	0.0
1645.1905877536624	0.0
1675.8078645307671	0.0
1706.994934038408	0.0
1738.7624002162504	0.0
1771.1210643450886	0.0
1804.0819287193829	0.0
1837.6562003881704	0.0
1871.8552949655793	0.0
1906.690840512252	0.0
1942.1746814890264	0.0
1978.3188827841643	0.0
2015.1357338155585	0.0
2052.6377527092523	0.0
2090.83769055575	0.0
2129.748535745521	0.0
2169.3835183851843	0.0
2209.756114795903	0.0
2250.880052095462	0.0
2292.7693128656488	0.0
2335.438139906479	0.0
2378.9010410788933	0.0
2423.1727942376006	0.0
2468.2684522556924	0.0
2514.2033481427966	0.0
2560.9931002584594	0.0
2608.6536176225477	0.0
2657.201105324507	0.0
2706.652070033241	0.0
2757.0233256095826	0.0
2808.3319988231724	0.0
2860.595535175742	0.0
2913.8317048327885	0.0
2968.058608665602	0.0
3023.2946844057765	0.0
3079.5587129142264	0.0
3136.8698245668766	0.0
3195.2475057592137	0.0
3254.711605531848	0.0
3315.282342319423	0.0
3376.9803108250912	0.0
3439.8264890229248	0.0
3503.8422452906757	0.0
3569.0493456752297	0.0
3635.4699612933177	0.0
3703.126675869927	0.0
3772.0424934169973	0.0
3842.240846055061	0.0
3913.745601980384	0.0
3986.581073580439	0.0
4060.7720257003652	0.0
4136.343684063274	0.0
4213.321743847289	0.0
4291.732378422157	0.0
4371.602248248502	0.0
4452.958509942656	0.0
4535.828825510186	0.0
4620.241371751313	0.0
4706.224849841282	0.0
4793.808495089107	0.0
4883.02208687788	0.0
4973.895958790063	0.0
5066.461008921268	0.0
5160.7487103859075	0.0
5256.791122018419	0.0
5354.620899273607	0.0
5454.271305329837	0.0
5555.7762223988775	0.0
5659.170163246243	0.0
5764.488282925873	0.0
5871.766390733255	0.0
5981.040962380944	0.0
6092.349152400711	0.0
6205.7288067765	0.0
6321.218475812449	0.0
6438.857427240419	0.0
6558.685659571435	0.0
6680.743915695614	0.0
6805.073696735207	0.0
6931.7172761554075	0.0
7060.717714137772	0.0
7192.118872221193	0.0
7325.9654282152305	0.0
7462.302891391108	0.0
7601.17761795533	0.0
7742.63682681127	0.0
7886.728615614156	0.0
8033.501977124734	0.0
8183.006815867389	0.0
8335.293965098195	0.0
8490.415204088747	0.0
8648.423275731726	0.0
8809.37190447399	0.0
8973.31581458352	0.0
9140.310748756232	0.0
9310.413487069076	0.0
9483.681866285928	0.0
9660.174799522645	0.0
9839.952296278227	0.0
10023.075482838643	0.0
10209.606623060476	0.0
10399.609139541202	0.0
10593.147635183701	0.0
10790.287915161836	0.0
10991.097009294961	0.0
11195.643194838794	0.0
11403.996019700331	0.0
11616.226326085018	0.0
11832.40627458378	0.0
12052.609368708414	0.0
12276.910479883603	0.0
12505.385872903913	0.0
12738.113231864785	0.0
12975.171686575868	0.0
13216.641839466038	0.0
13462.60579298911	0.0
13713.147177539457	0.0
13968.351179887397	0.0
14228.30457214352	0.0
14493.095741262152	0.0
14762.81471909391	0.0
15037.553212997384	0.0
15317.404637020798	0.0
15602.46414366368	0.0
15892.828656229764	0.0
16188.596901781992	0.0
16489.86944471065	0.0
16796.74872092653	0.0
17109.339072690134	0.0
17427.746784089173	0.0
17752.08011717636	0.0
18082.44934877952	0.0
18418.96680799711	0.0
18761.746914391195	0.0
19110.90621689136	0.0
19466.563433422634	0.0
19828.839491270715	0.0
20197.857568198782	0.0
20573.743134329117	0.0
20956.623994804308	0.0
