#Parameters = {C_1=25.815589753809; C_2=96.34509258857; Conductivity_MoGr=1000000; Ip=99.743779456351; Pipe_lenght=40; Pipe_r=30; beta=1; cells_wave=20; d=-346.34509258857; half_gap_x=4.1844102461909; half_gap_y=30; half_gap_z=125; offset=1.6737640984764; offset_x=1; offset_y=5; sigma_z=5; teta=15; thcoll=25.815589753809; translate_z=-221.34509258857; wakelength=20000}
#"s / mm"	"Z [Real Part / V/pC]"
#-------------------------------
-24.239117389126	-0.00089228589408461
-23.992377552023	-0.0010312580810239
-23.745637714920	-0.0011905024411512
-23.498897877817	-0.0013727452111142
-23.252158040715	-0.0015810425995880
-23.005418203612	-0.0018188138113047
-22.758678366509	-0.0020898784890814
-22.511938529407	-0.0023984965262268
-22.265198692304	-0.0027494086588349
-22.018458855201	-0.0031478826126844
-21.771719018099	-0.0035997616682537
-21.524979180996	-0.0041115159099809
-21.278239343893	-0.0046902938461693
-21.031499506790	-0.0053439750555371
-20.784759669688	-0.0060812402593522
-20.538019832585	-0.0069116230648753
-20.291279995482	-0.0078455772836320
-20.044540158380	-0.0088945280498611
-19.797800321277	-0.010070963195260
-19.551060484174	-0.011388476045477
-19.304320647071	-0.012861848342398
-19.057580809969	-0.014507104837019
-18.810840972866	-0.016341588651210
-18.564101135763	-0.018384018799527
-18.317361298661	-0.020654535464182
-18.070621461558	-0.023174795351779
-17.823881624455	-0.025967965763173
-17.577141787353	-0.029058795215197
-17.330401950250	-0.032473645691943
-17.083662113147	-0.036240520358691
-16.836922276044	-0.040389110216989
-16.590182438942	-0.044950737531446
-16.343442601839	-0.049958272934124
-16.096702764736	-0.055446244730009
-15.849962927634	-0.061450663550213
-15.603223090531	-0.068009109779198
-15.356483253428	-0.075160523354482
-15.109743416325	-0.082945019335159
-14.863003579223	-0.091403648734046
-14.616263742120	-0.10057845442934
-14.369523905017	-0.11051226747165
-14.122784067915	-0.12124833942912
-13.876044230812	-0.13282990895942
-13.629304393709	-0.14530005440248
-13.382564556607	-0.15870137606576
-13.135824719504	-0.17307566402466
-12.889084882401	-0.18846323897609
-12.642345045298	-0.20490219143440
-12.395605208196	-0.22242822510420
-12.148865371093	-0.24107467217308
-11.902125533990	-0.26087153743570
-11.655385696888	-0.28184454419937
-11.408645859785	-0.30401431556917
-11.161906022682	-0.32739543774552
-10.915166185579	-0.35199683191408
-10.668426348477	-0.37782098005932
-10.421686511374	-0.40486294315386
-10.174946674271	-0.43310953688482
-9.9282068371687	-0.46253726039873
-9.6814670000660	-0.49311331195982
-9.4347271629633	-0.52479483036544
-9.1879873258606	-0.55752848556190
-8.9412474887579	-0.59124964965026
-8.6945076516552	-0.62587902822546
-8.4477678145525	-0.66132463646273
-8.2010279774497	-0.69748156732326
-7.9542881403470	-0.73423293414471
-7.7075483032443	-0.77144726807251
-7.4608084661416	-0.80897968619210
-7.2140686290389	-0.84666872788464
-6.9673287919362	-0.88433934159959
-6.7205889548335	-0.92180434485178
-6.4738491177308	-0.95886245657962
-6.2271092806281	-0.99529903746109
-5.9803694435254	-1.0308835221406
-5.7336296064227	-1.0653763234437
-5.4868897693200	-1.0985309640252
-5.2401499322173	-1.1300921952742
-4.9934100951146	-1.1597917498291
-4.7466702580119	-1.1873527781113
-4.4999304209092	-1.2124951020884
-4.2531905838065	-1.2349395877787
-4.0064507467038	-1.2544072871312
-3.7597109096011	-1.2706171883410
-3.5129710724984	-1.2832918232817
-3.2662312353957	-1.2921588188322
-3.0194913982929	-1.2969539754959
-2.7727515611902	-1.2974249736653
-2.5260117240875	-1.2933400846446
-2.2792718869848	-1.2844803048952
-2.0325320498821	-1.2706466153583
-1.7857922127794	-1.2516534802981
-1.5390523756767	-1.2273460893350
-1.2923125385740	-1.1976020435807
-1.0455727014713	-1.1623285320467
-0.79883286436860	-1.1214666351856
-0.55209302726590	-1.0749866101685
-0.30535319016319	-1.0228966974585
-0.058613353060489	-0.96524608736030
0.18812648404222	-0.90212908346964
0.43486632114492	-0.83367897645591
0.68160615824762	-0.76007001624704
0.92834599535033	-0.68151537367316
1.1750858324530	-0.59827445595103
1.4218256695557	-0.51065553437764
1.6685655066584	-0.41901295063847
1.9153053437611	-0.32373391162885
2.1620451808639	-0.22523931016207
2.4087850179666	-0.12399113655729
2.6555248550693	-0.020496658341648
2.9022646921720	0.084708940541349
3.1490045292747	0.19106658035999
3.3957443663774	0.29799760708818
3.6424842034801	0.40490115200225
3.8892240405828	0.51115452657206
4.1359638776855	0.61613161946015
4.3827037147882	0.71920064992354
4.6294435518909	0.81972997423230
4.8761833889936	0.91710006699751
5.1229232260963	1.0107038220161
5.3696630631990	1.0999547010244
5.6164029003017	1.1842884743881
5.8631427374044	1.2631708054049
6.1098825745071	1.3361087204581
6.3566224116098	1.4026540916977
6.6033622487125	1.4624033899099
6.8501020858152	1.5150069176910
7.0968419229179	1.5601712974106
7.3435817600207	1.5976644577314
7.5903215971234	1.6273166930997
7.8370614342261	1.6490218356223
8.0838012713288	1.6627433745497
8.3305411084315	1.6685115788361
8.5772809455342	1.6664260207178
8.8240207826369	1.6566511683307
9.0707606197396	1.6394153746125
9.3175004568423	1.6150093101926
9.5642402939450	1.5837828121975
