    Name            Type       Plane      s [m]  Material      Length [m]    nsigma    Half-gap x [mm]    Half-gap y [mm]       alfx      alfy    betx [m]    bety [m]        dx [m]
 0  tct.h.2.b1      Tertiary   H        21959.3  MoGr                0.25      10.5            2.42906                 30   0.823576  -14.6677     72.3212      2424.5   0.000807787
 1  tct.v.2.b1      Tertiary   V        22208.5  MoGr                0.25        65                 30            7.30374   -1.32125   88.2174     9.00825     6645.23      -0.21312
 2  tcr.h.wl.2.b1   SR         H        22579.4  Inermet180           0.1      11.5            20.4038                 30    7.42721   -54.635     4253.95     5717.45    0.00619424
 3  tcr.v.c0.2.b1   SR         V          22591  Inermet180           0.1      81.5                 30            7.13443    28.3737  -9.64158      6449.8      4033.2    0.00762205
 4  tcr.h.c0.2.b1   SR         H          22592  Inermet180           0.1      11.5            25.0134                 30    28.2487  -9.66488     6393.17     4052.51    0.00758816
 5  tcr.h2.c0.2.b1  SR         H        22625.4  Inermet180           0.1      11.5            21.3156                 30     24.067  -10.4444     4642.69     4725.36    0.00645421
 6  tcr.v.c2.2.b1   SR         V        22654.1  Inermet180           0.1      81.5                 30            8.21248    20.4796  -11.1131     3363.98     5344.17    0.00548141
 7  tcr.h.c2.2.b1   SR         H        22655.1  Inermet180           0.1      11.5            18.0339                 30    20.3547  -11.1364     3323.15     5366.42    0.00544752
 8  tcp.h.b1        Primary    H        33538.9  MoGr                0.25       9.5            5.84707                 30    6.54541  -1.06886     511.916     54.4954   -0.00133233
 9  tcp.v.b1        Primary    V        33615.6  MoGr                0.25        50                 30            1.43269  -0.192808   2.22276     12.1579     432.129  -0.000318249
10  tcs.h2.b1       Secondary  H        33692.7  Mo                   0.3      10.5             6.4753                 30    2.50582  -1.96307     513.936     182.991   0.000329521
11  tcs.v1.b1       Secondary  V        33768.6  Mo                   0.3        65                 30            2.23218  -0.451296   1.42198     219.739     620.696   0.000554132
12  tcs.h1.b1       Secondary  H        33914.4  Mo                   0.3      10.5            6.17719                 30   -1.24978  0.712258     467.705     309.589    0.00166209
13  tcp.hp.b1       Primary    H        34316.2  MoGr                0.25        18            12.5224                 30    2.26539  -1.91037     654.026     413.613       1.16572
14  tcs.v2.b1       Secondary  V        34512.6  Mo                   0.3        65                 30            3.55654  -0.312824    5.0733     127.587     1575.71     0.0499742
15  tcs.hp1.b1      Secondary  H        34580.5  Mo                   0.3        28            11.0296                 30  -0.896831    3.9216     209.686     965.223     -0.313479
16  tcs.hp2.b1      Secondary  H        34915.9  Mo                   0.3        28            8.28584                 30    1.89787  -2.54873     118.338      390.65     -0.624361
