# time [s]	wake_longitudinal [V/C]
1e-100	-11530367126851.432
1.021411915940785e-100	-11530367126851.432
1.0432823020257912e-100	-11530367126851.432
1.065620974979276e-100	-11530367126851.432
1.0884379617202697e-100	-11530367126851.432
1.1117435038633835e-100	-11530367126851.432
1.1355480623157828e-100	-11530367126851.432
1.1598623219728098e-100	-11530367126851.432
1.1846971965137752e-100	-11530367126851.432
1.2100638333008117e-100	-11530367126851.432
1.2359736183823924e-100	-11530367126851.432
1.2624381816042242e-100	-11530367126851.432
1.2894694018291713e-100	-11530367126851.432
1.3170794122693087e-100	-11530367126851.432
1.3452806059321578e-100	-11530367126851.432
1.3740856411831455e-100	-11530367126851.432
1.4035074474275986e-100	-11530367126851.432
1.4335592309141373e-100	-11530367126851.432
1.464254480662607e-100	-11530367126851.432
1.4956069745184727e-100	-11530367126851.432
1.527630785337264e-100	-11530367126851.432
1.5603402873014608e-100	-11530367126851.432
1.5937501623721802e-100	-11530367126851.432
1.6278754068795055e-100	-11530367126851.432
1.6627313382536263e-100	-11530367126851.432
1.698333601900422e-100	-11530367126851.432
1.7346981782237246e-100	-11530367126851.432
1.7718413897984837e-100	-11530367126851.432
1.8097799086971934e-100	-11530367126851.432
1.8485307639735391e-100	-11530367126851.432
1.888111349305696e-100	-11530367126851.432
1.9285394308038084e-100	-11530367126851.432
1.969833154984669e-100	-11530367126851.432
2.0120110569165719e-100	-11530367126851.432
2.0550920685391996e-100	-11530367126851.432
2.0990955271612663e-100	-11530367126851.432
2.144041184140521e-100	-11530367126851.432
2.1899492137489191e-100	-11530367126851.432
2.2368402222282992e-100	-11530367126851.432
2.2847352570395436e-100	-11530367126851.432
2.3336558163102224e-100	-11530367126851.432
2.3836238584837806e-100	-11530367126851.432
2.4346618121760055e-100	-11530367126851.432
2.4867925862425574e-100	-11530367126851.432
2.5400395800613504e-100	-11530367126851.432
2.594426694035891e-100	-11530367126851.432
2.6499783403230293e-100	-11530367126851.432
2.706719453790927e-100	-11530367126851.432
2.7646755032107856e-100	-11530367126851.432
