Frequency [GHz]	Zx imag [Ohm/m]	Zy imag [Ohm/m]
1.000000000000000166e-10	7.964622989865472540e+06	2.248514520666395873e+07
1.032794731918951654e-10	7.964621817143549211e+06	2.248514351818058640e+07
1.066664958279539403e-10	7.964620605962524191e+06	2.248514177432385460e+07
1.101645949633656381e-10	7.964619355061143637e+06	2.248513997327780724e+07
1.137774133221491146e-10	7.964618063136786222e+06	2.248513811316693574e+07
1.175087130904807540e-10	7.964616728844117373e+06	2.248513619205422699e+07
1.213623798344240958e-10	7.964615350793677382e+06	2.248513420793914422e+07
1.253424265461399975e-10	7.964613927550441585e+06	2.248513215875553712e+07
1.294529978227915867e-10	7.964612457632326521e+06	2.248513004236950725e+07
1.336983741824946476e-10	7.964610939508641139e+06	2.248512785657716170e+07
1.380829765218092491e-10	7.964609371598495170e+06	2.248512559910234064e+07
1.426113707194128486e-10	7.964607752269158140e+06	2.248512326759424061e+07
1.472882723907502473e-10	7.964606079834347591e+06	2.248512085962495580e+07
1.521185517986104510e-10	7.964604352552487515e+06	2.248511837268696353e+07
1.571072389247450498e-10	7.964602568624882028e+06	2.248511580419050902e+07
1.622595287078087593e-10	7.964600726193847135e+06	2.248511315146090090e+07
1.675807864530767868e-10	7.964598823340781033e+06	2.248511041173573583e+07
1.730765534195724819e-10	7.964596858084158972e+06	2.248510758216201887e+07
1.787525525904235329e-10	7.964594828377474099e+06	2.248510465979319066e+07
1.846146946324547531e-10	7.964592732107101008e+06	2.248510164158605784e+07
1.906690840512252406e-10	7.964590567090103403e+06	2.248509852439763770e+07
1.969220255479172543e-10	7.964588331071954221e+06	2.248509530498185009e+07
2.033800305846981002e-10	7.964586021724188700e+06	2.248509197998619080e+07
2.100498241653915480e-10	7.964583636641982943e+06	2.248508854594818875e+07
2.169383518385184289e-10	7.964581173341644928e+06	2.248508499929182976e+07
2.240527869300018610e-10	7.964578629258032888e+06	2.248508133632382751e+07
2.314005380130653023e-10	7.964576001741880551e+06	2.248507755322977528e+07
2.389892566231049743e-10	7.964573288057041354e+06	2.248507364607015997e+07
2.468268452255692806e-10	7.964570485377634875e+06	2.248506961077629775e+07
2.549214654451423314e-10	7.964567590785108507e+06	2.248506544314605370e+07
2.632815465648021228e-10	7.964564601265195757e+06	2.248506113883949444e+07
2.719157943036017723e-10	7.964561513704779558e+06	2.248505669337435439e+07
2.808331998823172083e-10	7.964558324888646603e+06	2.248505210212137550e+07
2.900430493863991314e-10	7.964555031496143900e+06	2.248504736029948667e+07
2.995549334359813486e-10	7.964551630097717047e+06	2.248504246297081932e+07
3.093787571730138678e-10	7.964548117151340470e+06	2.248503740503557399e+07
3.195247505759212065e-10	7.964544488998829387e+06	2.248503218122670054e+07
3.300034791125284578e-10	7.964540741862028837e+06	2.248502678610440716e+07
3.408258547423451742e-10	7.964536871838881634e+06	2.248502121405053139e+07
3.520031472796679687e-10	7.964532874899363145e+06	2.248501545926263928e+07
3.635469961293320139e-10	7.964528746881284751e+06	2.248500951574802399e+07
3.754694224073336536e-10	7.964524483485959470e+06	2.248500337731743604e+07
3.877828414589456106e-10	7.964520080273727886e+06	2.248499703757866472e+07
4.005000757873611052e-10	7.964515532659331337e+06	2.248499048992986232e+07
4.136343684063274911e-10	7.964510835907140747e+06	2.248498372755266726e+07
4.271993966306778827e-10	7.964505985126219690e+06	2.248497674340512976e+07
4.412092863191189219e-10	7.964500975265239365e+06	2.248496953021434322e+07
4.556786265841064474e-10	7.964495801107211038e+06	2.248496208046890050e+07
4.706224849841281415e-10	7.964490457264057361e+06	2.248495438641105220e+07
4.860564232142136024e-10	7.964484938171000220e+06	2.248494644002863765e+07
5.019965133110081441e-10	7.964479238080766052e+06	2.248493823304674774e+07
5.184593543892912175e-10	7.964473351057601161e+06	2.248492975691908225e+07
5.354620899273606527e-10	7.964467270971088670e+06	2.248492100281907991e+07
5.530224256192902378e-10	7.964460991489769891e+06	2.248491196163072065e+07
5.711586478126431938e-10	7.964454506074543111e+06	2.248490262393900752e+07
5.898896425508497150e-10	7.964447807971864007e+06	2.248489298002020270e+07
6.092349152400710261e-10	7.964440890206702985e+06	2.248488301983166486e+07
6.292146109610343618e-10	7.964433745575288311e+06	2.248487273300141469e+07
6.498495354469890483e-10	7.964426366637600586e+06	2.248486210881732032e+07
6.711611767496282870e-10	7.964418745709630661e+06	2.248485113621595874e+07
6.931717276155404727e-10	7.964410874855371192e+06	2.248483980377107859e+07
7.159041085964887260e-10	7.964402745878554881e+06	2.248482809968170524e+07
7.393819919175865964e-10	7.964394350314123556e+06	2.248481601175985858e+07
7.636298261282244400e-10	7.964385679419408552e+06	2.248480352741785347e+07
7.886728615614152294e-10	7.964376724165025167e+06	2.248479063365520164e+07
8.145371766280743462e-10	7.964367475225474685e+06	2.248477731704506278e+07
8.412497049736117954e-10	7.964357922969430685e+06	2.248476356372025982e+07
8.688382635251186617e-10	7.964348057449711487e+06	2.248474935935885832e+07
8.973315814583522479e-10	7.964337868392917328e+06	2.248473468916923180e+07
9.267593301146878953e-10	7.964327345188737847e+06	2.248471953787466884e+07
9.571521538991863169e-10	7.964316476878897287e+06	2.248470388969746605e+07
9.885417021919573871e-10	7.964305252145749517e+06	2.248468772834248468e+07
1.020960662306046580e-09	7.964293962299037725e+06	2.248467105969454348e+07
1.054442793526168950e-09	7.964282473273180425e+06	2.248465385722693428e+07
1.089022962263730067e-09	7.964270607467800379e+06	2.248463609060901031e+07
1.124737178364752061e-09	7.964258352526512928e+06	2.248461774133961648e+07
1.161622632608501755e-09	7.964245695687712170e+06	2.248459879031085223e+07
1.199717735435884489e-09	7.964232623771275394e+06	2.248457921778817475e+07
1.239062156947916503e-09	7.964219123164843768e+06	2.248455900338986889e+07
1.279696868215940940e-09	7.964205179809642956e+06	2.248453812606578693e+07
1.321664183946605026e-09	7.964190779185846448e+06	2.248451656407546252e+07
1.365007806546013663e-09	7.964175906297452748e+06	2.248449429496544227e+07
1.409772871628966933e-09	7.964160545656671748e+06	2.248447129554592818e+07
1.456005995020649598e-09	7.964144681267795153e+06	2.248444754186661541e+07
1.503755321299737753e-09	7.964128296610536985e+06	2.248442300919175893e+07
1.553070573933460069e-09	7.964111374622837640e+06	2.248439767197440937e+07
1.604003107056820079e-09	7.964093897683086805e+06	2.248437150382981077e+07
1.656605958949914401e-09	7.964075847591783851e+06	2.248434447750791907e+07
1.710933907269014249e-09	7.964057205552573316e+06	2.248431656486505270e+07
1.767043526088946692e-09	7.964037952152686194e+06	2.248428773683454096e+07
1.824993244816152494e-09	7.964018067342709750e+06	2.248425796339649707e+07
1.884843409033795523e-09	7.963997530415722169e+06	2.248422721354654059e+07
1.946656343342262358e-09	7.963976319985719398e+06	2.248419545526349172e+07
2.010496416260498236e-09	7.963954413965350017e+06	2.248416265547606722e+07
2.076430107255774870e-09	7.963931789542916231e+06	2.248412878002840281e+07
2.144526075971667793e-09	7.963908423158613034e+06	2.248409379364452139e+07
2.214855233726359314e-09	7.963884290480000898e+06	2.248405765989155322e+07
