#Parameters = {C_1=25.412767459909; C_2=94.841739321315; Conductivity=10000000; Conductivity_Mo=17900000; Conductivity_MoGr=1000000; Ip=98.18739362802; Pipe_lenght=40; Pipe_r=30; beta=1; cells_wave=20; conductivity_copper=59500000; d=-394.84173932132; half_gap_x=4.5872325400905; half_gap_y=30; half_gap_z=150; mu_copper=0.999994; offset=1.8348930160362; offset_x=1; offset_y=5; sigma_z=5; teta=15; thcoll=25.412767459909; translate_z=-244.84173932132; wakelength=20000}
#"s / mm"	"X [Real Part / V/pC]"
#-------------------------------
-4.1019088911523	0.11271596002914
-3.8745989130307	0.11813705148398
-3.6472889349091	0.12369300693006
-3.4199789567875	0.12937882785347
-3.1926689786658	0.13518823798706
-2.9653590005442	0.14111451169918
-2.7380490224226	0.14715110715850
-2.5107390443010	0.15329117349319
-2.2834290661793	0.15952663962673
-2.0561190880577	0.16584819278201
-1.8288091099361	0.17224604171774
-1.6014991318145	0.17871039746950
-1.3741891536928	0.18523101657364
-1.1468791755712	0.19179658061218
-0.91956919744959	0.19839475453296
-0.69225921932797	0.20501286098399
-0.46494924120634	0.21163826411197
-0.23763926308471	0.21825787047122
-0.010329284963096	0.22485766677676
0.21698069315853	0.23142279518354
0.44429067128016	0.23793803506926
0.67160064940178	0.24438810314283
0.89891062752340	0.25075751507842
1.1262206056450	0.25703043139861
1.3535305837667	0.26319076185545
1.5808405618883	0.26922248335182
1.8081505400099	0.27510963063597
2.0354605181315	0.28083589691162
2.2627704962531	0.28638460927214
2.4900804743748	0.29173934607065
2.7173904524964	0.29688469492180
2.9447004306180	0.30180620986028
3.1720104087396	0.30648954549150
3.3993203868613	0.31091990440135
3.6266303649829	0.31508244104909
3.8539403431045	0.31896350711045
4.0812503212261	0.32255124686891
4.3085602993478	0.32583501766365
4.5358702774694	0.32880459509327
4.7631802555910	0.33145019556718
4.9904902337126	0.33376334767566
5.2178002118343	0.33573725374122
5.4451101899559	0.33736630615626
5.6724201680775	0.33864564390550
5.8997301461991	0.33957152694444
6.1270401243208	0.34014218920735
6.3543501024424	0.34035801741631
6.5816600805640	0.34022067862517
6.8089700586856	0.33973230387765
7.0362800368073	0.33889582708690
7.2635900149289	0.33771605308121
7.4908999930505	0.33620018130692
7.7182099711721	0.33435711933627
7.9455199492938	0.33219640132419
8.1728299274154	0.32972801679003
8.4001399055370	0.32696315030905
8.6274498836586	0.32391474438472
8.8547598617802	0.32059702122656
9.0820698399019	0.31702453130490
9.3093798180235	0.31321191925886
9.5366897961451	0.30917459161855
9.7639997742667	0.30492926223483
9.9913097523884	0.30049348924881
10.218619730510	0.29588462255188
10.445929708632	0.29111928640554
10.673239686753	0.28621389217567
10.900549664875	0.28118536827605
11.127859642996	0.27605109374749
11.355169621118	0.27082804811297
11.582479599240	0.26553213264099
11.809789577361	0.26017833415367
12.037099555483	0.25478127527719
12.264409533605	0.24935532657471
12.491719511726	0.24391411000807
12.719029489848	0.23847003860579
12.946339467969	0.23303445075796
13.173649446091	0.22761803670114
13.400959424213	0.22223090586462
13.628269402334	0.21688217371904
13.855579380456	0.21157962482050
14.082889358578	0.20632991893337
14.310199336699	0.20113907878111
14.537509314821	0.19601263629178
14.764819292942	0.19095529353951
14.992129271064	0.18597061619806
15.219439249186	0.18106123311720
15.446749227307	0.17622934343516
15.674059205429	0.17147693691177
15.901369183551	0.16680553195947
16.128679161672	0.16221586454308
16.355989139794	0.15770800249793
16.583299117915	0.15328179044165
16.810609096037	0.14893712146640
17.037919074159	0.14467380790636
17.265229052280	0.14049136119448
17.492539030402	0.13638906911636
17.719849008524	0.13236630591847
17.947158986645	0.12842268228299
18.174468964767	0.12455787805346
18.401778942888	0.12077145110466
18.629088921010	0.11706294320841
18.856398899132	0.11343217515594
19.083708877253	0.10987934867770
19.311018855375	0.10640483702307
19.538328833497	0.10300898283330
19.765638811618	0.099692209614974
19.992948789740	0.096455298040429
20.220258767861	0.093299411258288
20.447568745983	0.090225768106988
20.674878724105	0.087235346950715
20.902188702226	0.084328997032855
21.129498680348	0.081507817778706
21.356808658470	0.078773309692766
21.584118636591	0.076127084370640
21.811428614713	0.073570473093006
22.038738592834	0.071104484403473
