#Parameters = {offset=1.5024408476923; Conductivity_Mo=17900000; C_1=26.243897880769; C_2=97.94356027968; Conductivity=10000000; Conductivity_MoGr=1000000; Ip=101.39863498211; Pipe_lenght=40; Pipe_r=30; beta=1; cells_wave=20; conductivity_copper=59500000; d=-397.94356027968; half_gap_x=3.7561021192308; half_gap_y=30; half_gap_z=150; mu_copper=0.999994; offset_x=1; offset_y=5; sigma_z=5; teta=15; thcoll=26.243897880769; translate_z=-247.94356027968; wakelength=20000}
#"Frequency / GHz"	"X [Re / Ohm]"	"X [Im / Ohm]"
#-----------------------------------------------
0.0000000000000	7.5485417440151e-13	6.7948526800132
0.0020478289222872	22.359080593854	-0.72348824484122
0.0040956578445743	35.287908431554	-19.764733187911
0.0061434867668615	34.035358328517	-41.626453778111
0.0081913156891487	20.681807131545	-56.909692877772
0.010239144611436	2.6730212158305	-60.184543293311
0.012286973533723	-11.328878999147	-52.322331208626
0.014334802456010	-15.900849217909	-39.375863574460
0.016382631378297	-11.200690678936	-28.853611687936
0.018430460300585	-2.1007414362096	-25.623101090558
0.020478289222872	5.1128507239390	-29.720071258891
0.022526118145159	6.3988607688754	-37.082250091457
0.024573947067446	1.8845824357552	-42.478068230726
0.026621775989733	-4.8458723824969	-42.713016860197
0.028669604912020	-9.3825829764409	-38.225575378343
0.030717433834308	-9.2712462806990	-32.320843273250
0.032765262756595	-5.2681889353987	-28.769519253903
0.034813091678882	-0.48060835021929	-29.407530420936
0.036860920601169	1.8520315309250	-33.206159077558
0.038908749523456	0.42000133074254	-37.234408002131
0.040956578445743	-3.5238061306809	-38.722008204005
0.043004407368031	-7.2205866428798	-36.817471773236
0.045052236290318	-8.3249436608771	-32.954623998471
0.047100065212605	-6.3852638767440	-29.717996858294
0.049147894134892	-2.9733035801406	-29.063846320887
0.051195723057179	-0.49127434084844	-31.096695978016
0.053243551979466	-0.53410536546715	-34.148991989051
0.055291380901754	-2.9052979949551	-36.011783875252
0.057339209824041	-5.8794884216280	-35.428397710697
0.059387038746328	-7.4503920618656	-32.855188942763
0.061434867668615	-6.6770092643193	-30.041288353949
0.063482696590902	-4.2360927391296	-28.783234064923
0.065530525513189	-1.8684361975666	-29.729342278722
0.067578354435477	-1.1548248498080	-32.020636165455
0.069626183357764	-2.4732070685202	-33.954668021153
0.071674012280051	-4.8179673765493	-34.170884835121
0.073721841202338	-6.5513596127639	-32.539676302177
0.075769670124625	-6.5343917835101	-30.180170713543
0.077817499046912	-4.8625701741918	-28.642813161489
0.079865327969200	-2.7366108648785	-28.847034578368
0.081913156891487	-1.5996978701810	-30.496759168314
0.083960985813774	-2.1559350262458	-32.340500798853
0.086008814736061	-3.9334306054777	-33.059806909082
0.088056643658348	-5.6585613419791	-32.159721502293
0.090104472580635	-6.1516643385155	-30.263400904804
0.092152301502923	-5.1180937438216	-28.640569395498
0.094200130425210	-3.3073532210555	-28.321743515455
0.096247959347497	-1.9612585799975	-29.412889843517
0.098295788269784	-1.9538296533747	-31.063517628610
0.10034361719207	-3.2159549287406	-32.081884094680
0.10239144611436	-4.8211388587763	-31.755205887969
0.10443927503665	-5.6473882906250	-30.312680047502
0.10648710395893	-5.1449172046896	-28.732803305379
0.10853493288122	-3.6864724847092	-28.051065518384
0.11058276180351	-2.2794090450162	-28.655657060374
0.11263059072579	-1.8586093491013	-30.048371314877
0.11467841964808	-2.6547360454889	-31.215310928953
0.11672624857037	-4.0631491079577	-31.333890672832
0.11877407749266	-5.0843601623817	-30.324721573903
0.12082190641494	-5.0170685770640	-28.879513850801
0.12286973533723	-3.9246967766128	-27.964267275503
0.12491756425952	-2.5664218896022	-28.152973914331
0.12696539318180	-1.8575488263608	-29.250091307318
0.12901322210409	-2.2414691576674	-30.448763509992
0.13106105102638	-3.4030078404456	-30.899793188882
0.13310887994867	-4.5071472267004	-30.291279962842
0.13515670887095	-4.7841434757923	-29.044271957301
0.13720453779324	-4.0520791101568	-28.003227019867
0.13925236671553	-2.8230392226846	-27.847483587879
0.14130019563781	-1.9331821973044	-28.632942698110
0.14334802456010	-1.9628734999157	-29.772289486394
0.14539585348239	-2.8481701304185	-30.454359035651
0.14744368240468	-3.9429334978887	-30.204090100416
0.14949151132696	-4.4763552528301	-29.197271289032
0.15153934024925	-4.0827256549025	-28.122330195235
0.15358716917154	-3.0400372994761	-27.696040936394
0.15563499809382	-2.0625979039838	-28.173106949539
0.15768282701611	-1.8012792050872	-29.184511501103
0.15973065593840	-2.4004006211272	-30.006203359894
0.16177848486069	-3.4123407544483	-30.063278222430
0.16382631378297	-4.1188689828994	-29.319146228204
0.16587414270526	-4.0291914460194	-28.286778568458
0.16792197162755	-3.2098844164753	-27.663968840839
0.16996980054984	-2.2254434560183	-27.851356707582
0.17201762947212	-1.7397709633064	-28.685615377283
0.17406545839441	-2.0594194779071	-29.564949492916
0.17611328731670	-2.9323770661850	-29.871545561082
0.17816111623898	-3.7338915859260	-29.394876795861
0.18020894516127	-3.9030090251415	-28.466238409853
0.18225677408356	-3.3252246889792	-27.719237981146
0.18430460300585	-2.4006149756334	-27.648851214118
0.18635243192813	-1.7580423332945	-28.275505085742
0.18840026085042	-1.8191455885929	-29.141777568208
0.19044808977271	-2.5140488869257	-29.636488492152
0.19249591869499	-3.3401064007188	-29.416937181033
0.19454374761728	-3.7158835822672	-28.637909935673
0.19659157653957	-3.3814349033137	-27.834790578833
0.19863940546186	-2.5696240419951	-27.548334700156
0.20068723438414	-1.8359858042336	-27.953760221056
0.20273506330643	-1.6709680962010	-28.748267358523
