# Frequency (Hz)	Real Part (Ohm)
1000.0	4.12655781346833
1001.6827065769118	4.128023199904008
1003.3682446552465	4.129491052155077
1005.0566189995923	4.130961374370784
1006.7478343825505	4.132434170707353
1008.4418955847577	4.133909445328005
1010.1388073948916	4.135387202402963
1011.8385746096877	4.13686744610947
1013.5412020339566	4.138350180631799
1015.2466944805891	4.1398354101612584
1016.9550567705795	4.141323138896216
1018.666293733031	4.142813371042101
1020.3804102051729	4.144306110811419
1022.0974110323771	4.145801362423764
1023.8173010681647	4.147299130105831
1025.5400851742281	4.148799418091428
1027.2657682204374	4.150302230621485
1028.9943550848573	4.151807571944071
1030.7258506537637	4.153315446314401
1032.4602598216507	4.15482585799485
1034.1975874912525	4.156338811254968
1035.9378385735504	4.157854310371488
1037.681017987789	4.159372359628338
1039.4271306614933	4.160892963316656
1041.176181530477	4.1624161257348025
1042.9281755388622	4.163941851188367
1044.6831176390879	4.165470143990188
1046.4410127919268	4.167001008460356
1048.201865966502	4.168534448926238
1049.9656821402941	4.170070469722476
1051.7324662991632	4.171609075191011
1053.5022234373564	4.173150269681088
1055.2749585575245	4.174694057549267
1057.0506766707394	4.176240443159448
1058.8293827965012	4.177789430882863
1060.6110819627604	4.179341025098109
1062.3957792059248	4.1808952301911475
1064.1834795708767	4.182452050555315
1065.9741881109915	4.184011490591351
1067.7679098881429	4.185573554707389
1069.564649972727	4.187138247318991
1071.3644134436674	4.18870557284914
1073.1672053884383	4.190275535728268
1074.9730309030715	4.191848140394257
1076.7818950921737	4.193423391292461
1078.593803068945	4.195001292875712
1080.4087599551851	4.1965818496043354
1082.2267708813138	4.198165065946159
1084.0478409863858	4.199750946376536
1085.8719754180995	4.201339495378341
1087.6991793328195	4.202930717442001
1089.5294578955834	4.204524617065492
1091.3628162801233	4.206121198754363
1093.199259668875	4.207720467021743
1095.0387932529936	4.209322426388352
1096.881422232374	4.210927081382526
1098.7271518156556	4.212534436540211
1100.5759872202475	4.214144496404993
1102.4279336723341	4.215757265528097
1104.2829964068947	4.217372748468411
1106.1411806677204	4.218990949792495
1108.0024917074218	4.220611874074589
1109.8669347874525	4.222235525896633
1111.7345151781162	4.223861909848277
1113.605238158585	4.225491030526893
1115.4791090169178	4.227122892537589
1117.3561330500672	4.228757500493224
1119.2363155639032	4.230394859014416
1121.119661873221	4.2320349727295605
1123.0061773017592	4.23367784627484
1124.8958671822174	4.2353234842942395
1126.7887368562647	4.236971891439557
1128.6847916745628	4.23862307237042
1130.5840369967739	4.240277031754296
1132.4864781915785	4.241933774266502
1134.3921206366952	4.243593304590233
1136.3009697188863	4.245255627416552
1138.2130308339836	4.246920747444425
1140.1283093868944	4.24858866938072
1142.046810791622	4.250259397940226
1143.968540471282	4.251932937845669
1145.8935038581121	4.253609293827716
1147.8217063934947	4.2552884706250005
1149.753153527965	4.256970472984126
1151.6878507212305	4.258655305659682
1153.6258034421885	4.260342973414263
1155.5670171689346	4.262033481018474
1157.5114973887871	4.263726833250949
1159.459249598294	4.265423034898363
1161.4102793032532	4.267122090755445
1163.3645920187298	4.2688240056249915
1165.3221932690647	4.270528784317881
1167.2830885878998	4.272236431653091
1169.2472835181845	4.273946952457704
1171.2147836121956	4.275660351566923
1173.1855944315562	4.277376633824093
1175.159721547243	4.279095804080704
1177.1371705396125	4.280817867196414
1179.1179469984068	4.2825428280390545
1181.1020565227745	4.2842706914846485
1183.0895047212894	4.286001462417428
1185.080297211958	4.287735145729838
1187.074439622245	4.28947174632256
1189.0719375890812	4.291211269104521
1191.0727967588823	4.292953718992908
1193.0770227875691	4.294699100913182
1195.084621340575	4.296447419799093
1197.095598092871	4.298198680592692
1199.1099587289739	4.299952888244347
1201.1277089429664	4.301710047712753
1203.1488544385156	4.3034701639649535
1205.1734009288818	4.305233241976347
1207.201354136944	4.306999286730707
1209.232719795207	4.308768303220191
1211.2675036458222	4.310540296445355
1213.3057114406065	4.312315271415175
1215.347348941051	4.314093233147048
1217.3924219183464	4.315874186666822
1219.4409361533908	4.317658137008799
1221.4928974368104	4.319445089215747
1223.5483115689783	4.321235048338926
1225.6071843600234	4.323028019438095
1227.6695216298565	4.324912965722903
1229.735329208177	4.3268542107599135
1231.8046129344953	4.328798722342714
1233.8773786581503	4.330746505967944
1235.9536322383199	4.332697567141492
1238.0333795440451	4.334651911378508
1240.116626454239	4.336609544203424
1242.2033788577112	4.33857047114997
1244.2936426531771	4.340534697761187
1246.3874237492778	4.34250222958944
1248.4847280646009	4.344473072196442
1250.585561527689	4.3464472311532605
1252.6899300770613	4.348424712040339
1254.797839661233	4.350405520447512
1256.9092962387244	4.352389661974019
1259.024305778087	4.354377142228524
1261.14287425791	4.356367966829122
1263.2650076668492	4.35836214140337
1265.3907120036329	4.3603596715882915
1267.5199932770831	4.36236056303039
1269.6528575061377	4.364364821385679
1271.7893107198568	4.366372452319684
1273.929358957451	4.368383461507466
1276.0730082682899	4.370397854633635
1278.2202647119211	4.372415637392364
1280.3711343580937	4.374436815487414
1282.5256232867648	4.376461394632136
1284.6837375881273	4.378489380549501
1286.8454833626186	4.380520778972108
1289.0108667209406	4.3825555956421995
1291.1798937840827	4.384593836311686
1293.3525706833282	4.386635506742151
1295.5289035602827	4.388680612704879
1297.708898566883	4.39072915998086
1299.8925618654168	4.392781154360814
1302.0798996285466	4.394836601645208
1304.2709180393147	4.396895507644266
1306.4656232911743	4.39895787817799
1308.6640215879954	4.401023719076176
1310.866119144088	4.403093036178427
1313.0719221842226	4.405165835334176
1315.281436943639	4.407242122402696
1317.4946696680738	4.409321903253124
1319.7116266137705	4.411405183764466
1321.9323140474992	4.413491969825626
1324.156738246579	4.415582267335417
1326.3849054988873	4.417676082202573
1328.6168221028868	4.419773420345779
1330.8524943676348	4.421874287693672
1333.0919286128053	4.4239786901848674
1335.33513116871	4.4260866337679765
1337.5821083763076	4.428198124401615
1339.832866587232	4.4303131680544325
1342.0874121638008	4.432431770705114
1344.345751479038	4.434553938342408
1346.6078909166952	4.436679676965144
1348.8738368712607	4.438808992582241
1351.143595747988	4.440941891212732
1353.4171739629055	4.443078378885776
1355.6945779428368	4.445218461640678
1357.9758141254247	4.447362145526908
1360.2608889591393	4.449509436604111
1362.5498089033067	4.451660340942134
1364.8425804281183	4.453814864621032
1367.1392100146525	4.455973013731093
1369.439704154898	4.4581347943728575
1371.7440693517622	4.460300212657124
1374.0523121191002	4.462469274704981
1376.3644389817237	4.464641986647812
1378.6804564754243	4.466818354627316
1381.0003711469953	4.468998384795535
1383.3241895542405	4.471182083314855
1385.6519182660045	4.4733694563580375
1387.9835638621812	4.475560510108225
1390.319132933736	4.477755250758967
1392.65863208273	4.479953684514237
1395.0020679223271	4.4821558175884455
1397.3494470768255	4.484361656206463
1399.7007761816658	4.486571206603631
1402.0560618834536	4.488784475025781
1404.415310839984	4.491001467729264
1406.7785297202486	4.4932221909809495
1409.145725204467	4.4954466510582565
1411.5169039840944	4.497674854249165
1413.8920727618504	4.499906806852238
1416.2712382517302	4.502142515176636
1418.6544071790258	4.504381985542134
1421.0415862803509	4.506625224279146
1423.4327823036501	4.508872237728735
1425.8280020082227	4.511123032242632
1428.227252164747	4.513377614183263
1430.6305395552877	4.5156359899237515
1433.0378709733282	4.517898165847953
1435.4492532237773	4.520164148350459
1437.864693123	4.522433943836627
1440.2841974988273	4.524707558722588
1442.7077731905792	4.526984999435268
1445.1354270490885	4.529266272412417
1447.5671659367124	4.531551384102608
1450.002996727354	4.533840340965267
1452.442926306489	4.536133149470695
1454.8869615711724	4.538429816100073
1457.3351094300715	4.5407303473454945
1459.7873768034724	4.543034749709972
1462.2437706233122	4.545343029707465
1464.7042978331883	4.547655193862892
1467.1689653883818	4.549971248712148
1469.6377802558816	4.552291200802133
1472.1107494143946	4.554615056690756
1474.5878798543768	4.556942822946969
1477.069178578042	4.5592745061507705
1479.5546525993875	4.5616101128932325
1482.044308944217	4.563949649776522
1484.5381546501505	4.566293123413912
