time	wake_x_dipolar
1e-15	1000.5349277567711
1.0002302873239643e-15	1000.5349366193975
1.000460627680176e-15	1000.5349454840648
1.0006910210808561e-15	1000.5349543507737
1.000921467538216e-15	1000.5349632195242
1.0011519670644738e-15	1000.5349720903173
1.0013825196718465e-15	1000.5349809631532
1.0016131253725665e-15	1000.5349898380322
1.001843784178856e-15	1000.534998714955
1.0020744961029407e-15	1000.5350075939222
1.0023052611570611e-15	1000.5350164749341
1.0025360793534483e-15	1000.5350253579911
1.0027669507043403e-15	1000.5350342430938
1.0029978752219737e-15	1000.5350431302427
1.0032288529186005e-15	1000.5350520194381
1.0034598838064629e-15	1000.5350609106806
1.0036909678978062e-15	1000.5350698039706
1.0039221052048904e-15	1000.5350786993085
1.0041532957399667e-15	1000.5350875966951
1.0043845395152926e-15	1000.5350964961306
1.0046158365431246e-15	1000.5351053976154
1.0048471868357342e-15	1000.5351143011503
1.0050785904053836e-15	1000.5351232067353
1.0053100472643378e-15	1000.5351321143715
1.0055415574248769e-15	1000.5351410240588
1.005773120899271e-15	1000.5351499357979
1.006004737699798e-15	1000.5351588495893
1.0062364078387343e-15	1000.5351677654332
1.0064681313283709e-15	1000.5351766833307
1.0066999081809899e-15	1000.5351856032817
1.0069317384088759e-15	1000.5351945252869
1.0071636220243288e-15	1000.5352034493467
1.007395559039639e-15	1000.5352123754615
1.0076275494671038e-15	1000.5352213036319
1.0078595933190191e-15	1000.5352302338586
1.0080916906076963e-15	1000.5352391661415
1.008323841345437e-15	1000.5352481004815
1.0085560455445456e-15	1000.5352570368789
1.0087883032173423e-15	1000.5352659753344
1.0090206143761365e-15	1000.5352749158483
1.009252979033246e-15	1000.5352838584208
1.0094853972009864e-15	1000.5352928030528
1.009717868891689e-15	1000.5353017497448
1.009950394117675e-15	1000.535310698497
1.010182972891269e-15	1000.5353196493102
1.0104156052248103e-15	1000.5353286021843
1.0106482911306292e-15	1000.5353375571203
1.0108810306210629e-15	1000.5353465141185
1.0111138237084466e-15	1000.5353554731794
1.011346670405132e-15	1000.5353644343035
1.0115795707234596e-15	1000.5353733974912
1.0118125246757743e-15	1000.5353823627428
1.0120455322744354e-15	1000.5353913300592
1.012278593531793e-15	1000.5354002994407
1.012511708460204e-15	1000.5354092708876
1.0127448770720235e-15	1000.5354182444005
1.012978099379623e-15	1000.53542721998
1.0132113753953636e-15	1000.5354361976263
1.0134447051316093e-15	1000.5354451773401
1.01367808860074e-15	1000.5354541591221
1.0139115258151251e-15	1000.5354631429722
1.0141450167871415e-15	1000.5354721288911
1.014378561529165e-15	1000.5354811168796
1.0146121600535863e-15	1000.5354901069377
1.0148458123727868e-15	1000.5354990990661
1.0150795184991503e-15	1000.5355080932654
1.0153132784450764e-15	1000.5355170895359
1.015547092222955e-15	1000.5355260878782
1.0157809598451826e-15	1000.5355350882926
1.0160148813241551e-15	1000.5355440907798
1.0162488566722833e-15	1000.5355530953402
1.0164828859019682e-15	1000.5355621019739
1.0167169690256138e-15	1000.535571110682
1.0169511060556397e-15	1000.5355801214646
1.0171852970044558e-15	1000.5355891343222
1.0174195418844788e-15	1000.5355981492556
1.0176538407081243e-15	1000.5356071662649
1.0178881934878229e-15	1000.5356161853505
1.018122600235996e-15	1000.5356252065133
1.018357060965068e-15	1000.5356342297536
1.0185915756874776e-15	1000.5356432550716
1.0188261444156554e-15	1000.5356522824683
1.0190607671620377e-15	1000.5356613119437
1.0192954439390602e-15	1000.5356703434984
1.019530174759174e-15	1000.5356793771332
1.01976495963482e-15	1000.5356884128482
1.0199997985784427e-15	1000.535697450644
1.0202346916025015e-15	1000.5357064905212
1.0204696387194463e-15	1000.53571553248
1.0207046399417337e-15	1000.535724576521
1.0209396952818198e-15	1000.535733622645
1.0211748047521751e-15	1000.5357426708521
1.0214099683652613e-15	1000.5357517211428
1.0216451861335423e-15	1000.5357607735177
1.021880458069498e-15	1000.5357698279772
1.0221157841855982e-15	1000.535778884522
1.02235116449432e-15	1000.5357879431523
1.022586599008139e-15	1000.5357970038688
1.0228220877395464e-15	1000.5358060666717
1.0230576307010235e-15	1000.5358151315617
1.0232932279050548e-15	1000.5358241985391
1.0235288793641397e-15	1000.5358332676046
1.0237645850907688e-15	1000.5358423387587
1.0240003450974387e-15	1000.5358514120016
1.0242361593966456e-15	1000.5358604873343
1.0244720280009005e-15	1000.5358695647567
1.024707950922705e-15	1000.5358786442696
1.0249439281745638e-15	1000.535887725873
1.0251799597689965e-15	1000.5358968095682
1.0254160457185136e-15	1000.5359058953552
1.0256521860356322e-15	1000.5359149832343
1.0258883807328682e-15	1000.5359240732065
1.0261246298227534e-15	1000.5359331652719
1.026360933317809e-15	1000.5359422594312
1.0265972912305602e-15	1000.5359513556846
1.0268337035735465e-15	1000.5359604540329
1.0270701703592988e-15	1000.5359695544763
1.0273066916003546e-15	1000.5359786570154
1.0275432673092496e-15	1000.5359877616506
1.0277798974985358e-15	1000.535996868383
1.028016582180755e-15	1000.536005977212
1.028253321368452e-15	1000.536015088139
1.0284901150741875e-15	1000.5360242011639
1.0287269633105116e-15	1000.5360333162876
1.0289638660899823e-15	1000.5360424335104
1.0292008234251558e-15	1000.5360515528325
1.0294378353286044e-15	1000.5360606742549
1.0296749018128899e-15	1000.5360697977778
1.0299120228905773e-15	1000.5360789234018
1.0301491985742474e-15	1000.5360880511271
1.030386428876471e-15	1000.5360971809548
1.0306237138098261e-15	1000.5361063128846
1.0308610533868893e-15	1000.5361154469176
1.0310984476202528e-15	1000.5361245830538
1.031335896522499e-15	1000.5361337212942
1.0315734001062133e-15	1000.5361428616388
1.0318109583839965e-15	1000.5361520040885
1.0320485713684397e-15	1000.5361611486436
1.0322862390721414e-15	1000.5361702953044
1.0325239615076983e-15	1000.5361794440715
1.032761738687723e-15	1000.5361885949458
1.032999570624818e-15	1000.5361977479271
1.0332374573315893e-15	1000.5362069030164
1.0334753988206579e-15	1000.5362160602137
1.033713395104635e-15	1000.5362252195201
1.0339514461961398e-15	1000.5362343809356
1.0341895521077892e-15	1000.5362435444612
1.0344277128522159e-15	1000.5362527100967
1.0346659284420432e-15	1000.5362618778431
1.034904198889897e-15	1000.5362710477007
1.0351425242084185e-15	1000.53628021967
1.0353809044102402e-15	1000.5362893937513
1.0356193395080006e-15	1000.5362985699453
1.0358578295143374e-15	1000.5363077482526
1.0360963744419037e-15	1000.5363169286736
1.036334974303343e-15	1000.5363261112087
1.0365736291113018e-15	1000.5363352958584
1.0368123388784417e-15	1000.536344482623
1.0370511036174151e-15	1000.5363536715034
1.0372899233408815e-15	1000.5363628624998
1.0375287980614985e-15	1000.5363720556129
1.03776772779194e-15	1000.536381250843
1.0380067125448697e-15	1000.5363904481906
1.0382457523329544e-15	1000.5363996476564
1.0384848471688764e-15	1000.5364088492405
1.0387239970653086e-15	1000.5364180529435
1.03896320203493e-15	1000.5364272587665
1.0392024620904198e-15	1000.5364364667091
1.0394417772444718e-15	1000.536445676772
1.0396811475097702e-15	1000.5364548889563
1.039920572899002e-15	1000.5364641032619
1.0401600534248703e-15	1000.5364733196892
1.040399589100068e-15	1000.5364825382392
1.0406391799372956e-15	1000.536491758912
1.0408788259492514e-15	1000.5365009817084
1.0411185271486503e-15	1000.5365102066285
1.041358283548197e-15	1000.536519433673
1.0415980951605992e-15	1000.5365286628423
1.04183796199858e-15	1000.536537894137
1.0420778840748533e-15	1000.5365471275577
1.042317861402139e-15	1000.5365563631045
1.0425578939931574e-15	1000.5365656007782
