Frequency [GHz]	Zx real [Ohm/m]	Zy real [Ohm/m]
2.719157943036017723e-10	5.690011737154842422e+02	9.798486028203579963e+02
2.808331998823172083e-10	5.857259081446266009e+02	1.009231026030489602e+03
2.900430493863991314e-10	6.029991257557883273e+02	1.039577037932926487e+03
2.995549334359813486e-10	6.208388139078856511e+02	1.070918239160513167e+03
3.093787571730138678e-10	6.392635498504490670e+02	1.103287266680377115e+03
3.195247505759212065e-10	6.582925200689259100e+02	1.136717827780231346e+03
3.300034791125284578e-10	6.779455402644116475e+02	1.171244735169255591e+03
3.408258547423451742e-10	6.982430759886061651e+02	1.206903943230093546e+03
3.520031472796679687e-10	7.192062639554908401e+02	1.243732585459729080e+03
3.635469961293320139e-10	7.408569340519162552e+02	1.281769013138223954e+03
3.754694224073336536e-10	7.632176320700195902e+02	1.321052835265589920e+03
3.877828414589456106e-10	7.863116431851468633e+02	1.361624959808374342e+03
4.005000757873611052e-10	8.101630162037281480e+02	1.403527636298921607e+03
4.136343684063274911e-10	8.347965886063529979e+02	1.446804499831663406e+03
4.271993966306778827e-10	8.602380124121281142e+02	1.491500616502254843e+03
4.412092863191189219e-10	8.865137808912497803e+02	1.537662530336875989e+03
4.556786265841064474e-10	9.136512561536089834e+02	1.585338311760569468e+03
4.706224849841281415e-10	9.416786976421537929e+02	1.634577607655078737e+03
4.860564232142136024e-10	9.706252915606901297e+02	1.685431693058327255e+03
5.019965133110081441e-10	1.000521181266751455e+03	1.737953524559358584e+03
5.184593543892912175e-10	1.031397498661201553e+03	1.792197795444358690e+03
5.354620899273606527e-10	1.063286396607247070e+03	1.848220992651170945e+03
5.530224256192902378e-10	1.096221082412624355e+03	1.906081455591623580e+03
5.711586478126431938e-10	1.130235852409823565e+03	1.965839436902914713e+03
5.898896425508497150e-10	1.165366127670365586e+03	2.027557165191327158e+03
6.092349152400710261e-10	1.201648490890316225e+03	2.091298909833605194e+03
6.292146109610343618e-10	1.239120724485451092e+03	2.157131047903472790e+03
6.498495354469890483e-10	1.277821849935742875e+03	2.225122133292992658e+03
6.711611767496282870e-10	1.317792168420138523e+03	2.295342968100741018e+03
6.931717276155404727e-10	1.359073302783945337e+03	2.367866676361134523e+03
7.159041085964887260e-10	1.401708240882522887e+03	2.442768780191695441e+03
7.393819919175865964e-10	1.445741380346424876e+03	2.520127278437545101e+03
7.636298261282244400e-10	1.491218574814595286e+03	2.600022727895020580e+03
7.886728615614152294e-10	1.538187181683775179e+03	2.682538327198997649e+03
8.145371766280743462e-10	1.586696111423837010e+03	2.767760003461280576e+03
8.412497049736117954e-10	1.636795878510398779e+03	2.855776501750268835e+03
8.688382635251186617e-10	1.688538654027766370e+03	2.946679477505089380e+03
8.973315814583522479e-10	1.741978319996968594e+03	3.040563591980424007e+03
9.267593301146878953e-10	1.797170525485468943e+03	3.137526610821425038e+03
9.571521538991863169e-10	1.854172744556980888e+03	3.237669505871368983e+03
9.885417021919573871e-10	1.913044336121728293e+03	3.341096560318064348e+03
1.020960662306046580e-09	1.962897689563418453e+03	3.432091324314662870e+03
1.054442793526168950e-09	2.008204379611394643e+03	3.517136162261441768e+03
1.089022962263730067e-09	2.054996890413628535e+03	3.604970022869774766e+03
1.124737178364752061e-09	2.103323949063437794e+03	3.695684371390165779e+03
1.161622632608501755e-09	2.153235880646097030e+03	3.789373672651483957e+03
1.199717735435884489e-09	2.204784660644567339e+03	3.886135489431341284e+03
1.239062156947916503e-09	2.258023969063837285e+03	3.986070584052485628e+03
1.279696868215940940e-09	2.313009246330266706e+03	4.089283023311024408e+03
1.321664183946605026e-09	2.369797751024138506e+03	4.195880286845749652e+03
1.365007806546013663e-09	2.428448619505522856e+03	4.305973379061388187e+03
1.409772871628966933e-09	2.489022927495569093e+03	4.419676944722368717e+03
1.456005995020649598e-09	2.551583753677324694e+03	4.537109388337428754e+03
1.503755321299737753e-09	2.616196245382338475e+03	4.658392997459431172e+03
1.553070573933460069e-09	2.682927686431434267e+03	4.783654070028755086e+03
1.604003107056820079e-09	2.751847567200300091e+03	4.913023045892868140e+03
1.656605958949914401e-09	2.823027656982867484e+03	5.046634642639076446e+03
1.710933907269014249e-09	2.896542078727820353e+03	5.184627995881836796e+03
1.767043526088946692e-09	2.972467386226076997e+03	5.327146804150794196e+03
1.824993244816152494e-09	3.050882643829601875e+03	5.474339478530337146e+03
1.884843409033795523e-09	3.131869508784589016e+03	5.626359297206591691e+03
1.946656343342262358e-09	3.215512316264733727e+03	5.783364565082703848e+03
2.010496416260498236e-09	3.301898167193136032e+03	5.945518778628673317e+03
2.076430107255774870e-09	3.391117018944327810e+03	6.112990796137412872e+03
2.144526075971667793e-09	3.483261779020814629e+03	6.285955013564277579e+03
2.214855233726359314e-09	3.578428401801746077e+03	6.464591546133225165e+03
2.287490817355702788e-09	3.676715988464412021e+03	6.649086415898706036e+03
2.362508465477946229e-09	3.778226890182638726e+03	6.839631745458563273e+03
2.439986297259550245e-09	3.883066814709568007e+03	7.036425958019751306e+03
2.520004993764092080e-09	3.991344936455759125e+03	7.239673984025079335e+03
2.602647881969005809e-09	4.103174010177305718e+03	7.449587474556310553e+03
2.688001021537606561e-09	4.218670488392293919e+03	7.666385021735683949e+03
2.776153294436799262e-09	4.337954642647924629e+03	7.890292386355486997e+03
2.867196497493770032e-09	4.461150688764551887e+03	8.121542732972683552e+03
2.961225437988034610e-09	4.588386916187043425e+03	8.360376872713350167e+03
3.058338032378433485e-09	4.719795821578238247e+03	8.607043514039909496e+03
3.158635408267817403e-09	4.855514246793498387e+03	8.861799521742115758e+03
3.262222009711669644e-09	4.995683521380155980e+03	9.124910184421663871e+03
3.369205705980266915e-09	5.140449609750155105e+03	9.396649490748799508e+03
3.479697903887691433e-09	5.289963263179204660e+03	9.677300414778777849e+03
3.593813663804627762e-09	5.444380176790686164e+03	9.967155210625131076e+03
3.711671819475765297e-09	5.603861151687803613e+03	1.026651571679668086e+04
3.833395101766601886e-09	5.768572262402848537e+03	1.057569367051525478e+04
3.959110266468459240e-09	5.938685029837863112e+03	1.089501103234127368e+04
4.088948226294862618e-09	6.114376599876902219e+03	1.122480032144544748e+04
4.223044187206674123e-09	6.295829927855788810e+03	1.156540496187552890e+04
4.361537789208003199e-09	6.483233969081545183e+03	1.191717964017886879e+04
4.504573251759458750e-09	6.676783875599830935e+03	1.228049067475304582e+04
4.652299523960189308e-09	6.876681199415319497e+03	1.265571639730927382e+04
4.804870439655131104e-09	7.083134102376655392e+03	1.304324754684583604e+04
4.962444877628916452e-09	7.296357572944494677e+03	1.344348767654168478e+04
5.125186927053329472e-09	7.516573650068434290e+03	1.385685357399411623e+04
5.293266058360561204e-09	7.744011654405901027e+03	1.428377569523794227e+04
5.466857299720180771e-09	7.978908427123791625e+03	1.472469861299822333e+04
5.646141419303669251e-09	8.221508576531598010e+03	1.518008147964338241e+04
5.831305113526221869e-09	8.472064732802726212e+03	1.565039850532065066e+04
6.022541201461928965e-09	8.730837811049414086e+03	1.613613945177192545e+04
6.220048825634711276e-09	8.998097283025037541e+03	1.663781014234411850e+04
6.424033659394191079e-09	9.274121457736902812e+03	1.715593298872522428e+04
6.634708121092347870e-09	9.559197771261598973e+03	1.769104753495449404e+04
6.852291595284060743e-09	9.853623086064773815e+03	1.824371101927326890e+04
7.077010661181889919e-09	1.015770400013707876e+04	1.881449895440168621e+04
7.309099328602911004e-09	1.047175716626805115e+04	1.940400572684520375e+04
7.548799281653435948e-09	1.079610962179058879e+04	2.001284521585541734e+04
7.796360130405233414e-09	1.113109912913923654e+04	2.064165143268938846e+04
8.052039670825474778e-09	1.147707452757704596e+04	2.129107918083339609e+04
8.316104153230961616e-09	1.183439609645718156e+04	2.196180473787852316e+04
8.588828559546249041e-09	1.220343593039759253e+04	2.265452655975812377e+04
