Frequency [GHz]	Zx imag [Ohm/m]	Zy imag [Ohm/m]
3.520031472796679687e-10	1.574159659713103436e+07	4.384191265282446891e+07
3.635469961293320139e-10	1.574144463600395806e+07	4.384168340485447645e+07
3.754694224073336536e-10	1.574128769135245681e+07	4.384144663875875622e+07
3.877828414589456106e-10	1.574112559974318370e+07	4.384120210798241198e+07
4.005000757873611052e-10	1.574095819238303974e+07	4.384094955788480490e+07
4.136343684063274911e-10	1.574078529494339600e+07	4.384068872547444701e+07
4.271993966306778827e-10	1.574060672737857141e+07	4.384041933913511783e+07
4.412092863191189219e-10	1.574042230373832770e+07	4.384014111834301054e+07
4.556786265841064474e-10	1.574023183197424188e+07	4.383985377337460965e+07
4.706224849841281415e-10	1.574003511373971775e+07	4.383955700500500202e+07
4.860564232142136024e-10	1.573983194418342598e+07	4.383925050419627875e+07
5.019965133110081441e-10	1.573962211173600517e+07	4.383893395177569240e+07
5.184593543892912175e-10	1.573940539788972028e+07	4.383860701810333133e+07
5.354620899273606527e-10	1.573918157697094418e+07	4.383826936272884160e+07
5.530224256192902378e-10	1.573895041590513848e+07	4.383792063403685391e+07
5.711586478126431938e-10	1.573871167397414893e+07	4.383756046888090670e+07
5.898896425508497150e-10	1.573846510256553628e+07	4.383718849220521748e+07
6.092349152400710261e-10	1.573821044491367973e+07	4.383680431665417552e+07
6.292146109610343618e-10	1.573794743583239801e+07	4.383640754216892272e+07
6.498495354469890483e-10	1.573767580143880285e+07	4.383599775557079166e+07
6.711611767496282870e-10	1.573739525886809267e+07	4.383557453013103455e+07
6.931717276155404727e-10	1.573710551597898081e+07	4.383513742512644082e+07
7.159041085964887260e-10	1.573680627104949765e+07	4.383468598538040370e+07
7.393819919175865964e-10	1.573649721246277355e+07	4.383421974078890681e+07
7.636298261282244400e-10	1.573617801838254929e+07	4.383373820583103597e+07
7.886728615614152294e-10	1.573584835641803592e+07	4.383324087906330079e+07
8.145371766280743462e-10	1.573550788327777013e+07	4.383272724259755015e+07
8.412497049736117954e-10	1.573515624441214465e+07	4.383219676156159490e+07
8.688382635251186617e-10	1.573479307364418916e+07	4.383164888354227692e+07
8.973315814583522479e-10	1.573441799278825708e+07	4.383108303801020235e+07
9.267593301146878953e-10	1.573403061125620641e+07	4.383049863572558761e+07
9.571521538991863169e-10	1.573363052565066330e+07	4.382989506812471151e+07
9.885417021919573871e-10	1.573321731934493966e+07	4.382927170668617636e+07
1.020960662306046580e-09	1.573283026169990189e+07	4.382863911124793440e+07
1.054442793526168950e-09	1.573245292441924661e+07	4.382799209842593223e+07
1.089022962263730067e-09	1.573206321246363036e+07	4.382732386699188501e+07
1.124737178364752061e-09	1.573166072000890225e+07	4.382663372108709067e+07
1.161622632608501755e-09	1.573124502792202495e+07	4.382592094203236699e+07
1.199717735435884489e-09	1.573081570332459547e+07	4.382518478757963330e+07
1.239062156947916503e-09	1.573037229914208874e+07	4.382442449113896489e+07
1.279696868215940940e-09	1.572991435363828205e+07	4.382363926098034531e+07
1.321664183946605026e-09	1.572944138993444853e+07	4.382282827940917760e+07
1.365007806546013663e-09	1.572895291551273689e+07	4.382199070191479474e+07
1.409772871628966933e-09	1.572844842170331813e+07	4.382112565629102290e+07
1.456005995020649598e-09	1.572792738315466419e+07	4.382023224172792584e+07
1.503755321299737753e-09	1.572738925728648715e+07	4.381930952787373215e+07
1.553070573933460069e-09	1.572683348372472636e+07	4.381835655386605859e+07
1.604003107056820079e-09	1.572625948371799663e+07	4.381737232733127475e+07
1.656605958949914401e-09	1.572566665953492746e+07	4.381635582335112989e+07
1.710933907269014249e-09	1.572505439384169877e+07	4.381530598339547217e+07
1.767043526088946692e-09	1.572442204905919731e+07	4.381422171421990544e+07
1.824993244816152494e-09	1.572376896669907309e+07	4.381310188672739267e+07
1.884843409033795523e-09	1.572309446667802706e+07	4.381194533479247987e+07
1.946656343342262358e-09	1.572239784660961293e+07	4.381075085404689610e+07
2.010496416260498236e-09	1.572167838107280619e+07	4.380951720062548667e+07
2.076430107255774870e-09	1.572093532085659169e+07	4.380824308987084776e+07
2.144526075971667793e-09	1.572016789217979088e+07	4.380692719499556720e+07
2.214855233726359314e-09	1.571937529588526487e+07	4.380556814570061862e+07
2.287490817355702788e-09	1.571855670660774037e+07	4.380416452674838156e+07
2.362508465477946229e-09	1.571771127191430889e+07	4.380271487648888677e+07
2.439986297259550245e-09	1.571683811141674966e+07	4.380121768533775210e+07
2.520004993764092080e-09	1.571593631585475244e+07	4.379967139420419186e+07
2.602647881969005809e-09	1.571500494614905305e+07	4.379807439286743104e+07
2.688001021537606561e-09	1.571404303242353909e+07	4.379642501829995960e+07
2.776153294436799262e-09	1.571304957299526408e+07	4.379472155293571204e+07
2.867196497493770032e-09	1.571202353333136998e+07	4.379296222288151830e+07
2.961225437988034610e-09	1.571096384497175738e+07	4.379114519606983662e+07
3.058338032378433485e-09	1.570986940441647545e+07	4.378926858035097271e+07
3.158635408267817403e-09	1.570873907197658345e+07	4.378733042152269930e+07
3.262222009711669644e-09	1.570757167058734410e+07	4.378532870129522681e+07
3.369205705980266915e-09	1.570636598458250239e+07	4.378326133518952131e+07
3.479697903887691433e-09	1.570512075842835568e+07	4.378112617036660761e+07
3.593813663804627762e-09	1.570383469541630335e+07	4.377892098338571936e+07
3.711671819475765297e-09	1.570250645631253906e+07	4.377664347788896412e+07
3.833395101766601886e-09	1.570113465796344355e+07	4.377429128220999241e+07
3.959110266468459240e-09	1.569971787185524218e+07	4.377186194690430909e+07
4.088948226294862618e-09	1.569825462262643501e+07	4.376935294219853729e+07
4.223044187206674123e-09	1.569674338653144054e+07	4.376676165535605699e+07
4.361537789208003199e-09	1.569518258985384367e+07	4.376408538795625418e+07
4.504573251759458750e-09	1.569357060726762563e+07	4.376132135308452696e+07
4.652299523960189308e-09	1.569190576014463417e+07	4.375846667243017256e+07
4.804870439655131104e-09	1.569018631480655819e+07	4.375551837328904122e+07
4.962444877628916452e-09	1.568841048071957007e+07	4.375247338546796143e+07
5.125186927053329472e-09	1.568657640862976760e+07	4.374932853808759153e+07
5.293266058360561204e-09	1.568468218863745965e+07	4.374608055628045648e+07
5.466857299720180771e-09	1.568272584820830822e+07	4.374272605778067559e+07
5.646141419303669251e-09	1.568070535011923872e+07	4.373926154940187186e+07
5.831305113526221869e-09	1.567861859033699892e+07	4.373568342339955270e+07
6.022541201461928965e-09	1.567646339582712017e+07	4.373198795371422172e+07
6.220048825634711276e-09	1.567423752229105495e+07	4.372817129209124297e+07
6.424033659394191079e-09	1.567193865182909183e+07	4.372422946407350898e+07
6.634708121092347870e-09	1.566956439052660950e+07	4.372015836486267298e+07
6.852291595284060743e-09	1.566711226596120745e+07	4.371595375504459441e+07
7.077010661181889919e-09	1.566457972462805174e+07	4.371161125617471337e+07
7.309099328602911004e-09	1.566196412928080186e+07	4.370712634621852636e+07
7.548799281653435948e-09	1.565926275618533045e+07	4.370249435484265536e+07
7.796360130405233414e-09	1.565647279228337854e+07	4.369771045855135471e+07
8.052039670825474778e-09	1.565359133226319961e+07	4.369276967566366494e+07
8.316104153230961616e-09	1.565061537553412467e+07	4.368766686112569273e+07
8.588828559546249041e-09	1.564754182310191728e+07	4.368239670115292072e+07
8.870496889654407999e-09	1.564436747434165515e+07	4.367695370769666135e+07
9.161402457138517586e-09	1.564108902366478369e+07	4.367133221272917837e+07
9.461848194721997291e-09	1.563770305707685463e+07	4.366552636234125495e+07
9.772146969725725887e-09	1.563420604862238839e+07	4.365953011064629257e+07
1.009262190987047331e-08	1.563069526740057766e+07	4.365338351253071427e+07
1.042360673976401127e-08	1.562732573583884723e+07	4.364715297082586586e+07
1.076544612842315905e-08	1.562384570139285922e+07	4.364071810017608851e+07
1.111849604819270880e-08	1.562025154015014693e+07	4.363407219966842234e+07
1.148312414543511117e-08	1.561653950935300440e+07	4.362720834863524884e+07
1.185971012337669343e-08	1.561270574350099638e+07	4.362011939944750071e+07
1.224864613750930795e-08	1.560874625032563135e+07	4.361279797007156909e+07
1.265033720395903769e-08	1.560467841010119207e+07	4.360524955085428059e+07
