Frequency [GHz]	Zx imag [Ohm/m]	Zy imag [Ohm/m]
2.520004993764092080e-09	1.184323154706439935e+07	2.890493856160031632e+07
2.602647881969005809e-09	1.184322890460425802e+07	2.890493528607970104e+07
2.688001021537606561e-09	1.184322617548534460e+07	2.890493190313926712e+07
2.776153294436799262e-09	1.184322335686570778e+07	2.890492840925620869e+07
2.867196497493770032e-09	1.184322044581019692e+07	2.890492480079218745e+07
2.961225437988034610e-09	1.184321743928739987e+07	2.890492107398955896e+07
3.058338032378433485e-09	1.184321433416649513e+07	2.890491722496743873e+07
3.158635408267817403e-09	1.184321112721398100e+07	2.890491324971767142e+07
3.262222009711669644e-09	1.184320781509032100e+07	2.890490914410065114e+07
3.369205705980266915e-09	1.184320439434645139e+07	2.890490490384102240e+07
3.479697903887691433e-09	1.184320086142020486e+07	2.890490052452321723e+07
3.593813663804627762e-09	1.184319721263258718e+07	2.890489600158685446e+07
3.711671819475765297e-09	1.184319344418396056e+07	2.890489133032201231e+07
3.833395101766601886e-09	1.184318955215006880e+07	2.890488650586428493e+07
3.959110266468459240e-09	1.184318553247797303e+07	2.890488152318976447e+07
4.088948226294862618e-09	1.184318138098180294e+07	2.890487637710976601e+07
4.223044187206674123e-09	1.184317709333843365e+07	2.890487106226545572e+07
4.361537789208003199e-09	1.184317266508294642e+07	2.890486557312224805e+07
4.504573251759458750e-09	1.184316809160400927e+07	2.890485990396406129e+07
4.652299523960189308e-09	1.184316336813905463e+07	2.890485404888735712e+07
4.804870439655131104e-09	1.184315848976933584e+07	2.890484800179497898e+07
4.962444877628916452e-09	1.184315345141478814e+07	2.890484175638982281e+07
5.125186927053329472e-09	1.184314824782875367e+07	2.890483530616828427e+07
5.293266058360561204e-09	1.184314287359251082e+07	2.890482864441346005e+07
5.466857299720180771e-09	1.184313732310963050e+07	2.890482176418816671e+07
5.646141419303669251e-09	1.184313159060015343e+07	2.890481465832773224e+07
5.831305113526221869e-09	1.184312567009456269e+07	2.890480731943251193e+07
6.022541201461928965e-09	1.184311955542758107e+07	2.890479973986018822e+07
6.220048825634711276e-09	1.184311324023173377e+07	2.890479191171782091e+07
6.424033659394191079e-09	1.184310671793073043e+07	2.890478382685362548e+07
6.634708121092347870e-09	1.184309998173261620e+07	2.890477547684847564e+07
6.852291595284060743e-09	1.184309302462268807e+07	2.890476685300714150e+07
7.077010661181889919e-09	1.184308583935620636e+07	2.890475794634924829e+07
7.309099328602911004e-09	1.184307841845083795e+07	2.890474874759989604e+07
7.548799281653435948e-09	1.184307075417886488e+07	2.890473924718002230e+07
7.796360130405233414e-09	1.184306283855914883e+07	2.890472943519642949e+07
8.052039670825474778e-09	1.184305466334880516e+07	2.890471930143145844e+07
8.316104153230961616e-09	1.184304622003462911e+07	2.890470883533238992e+07
8.588828559546249041e-09	1.184303749982422963e+07	2.890469802600040287e+07
8.870496889654407999e-09	1.184302849363686889e+07	2.890468686217927188e+07
9.161402457138517586e-09	1.184301919209400564e+07	2.890467533224362507e+07
9.461848194721997291e-09	1.184300958550953865e+07	2.890466342418682203e+07
9.772146969725725887e-09	1.184299966387971118e+07	2.890465112560848892e+07
1.009262190987047331e-08	1.184298944118934497e+07	2.890463842500647902e+07
1.042360673976401127e-08	1.184297894503015466e+07	2.890462531120698527e+07
1.076544612842315905e-08	1.184296810465223342e+07	2.890461176734394953e+07
1.111849604819270880e-08	1.184295690876702778e+07	2.890459777931355685e+07
1.148312414543511117e-08	1.184294534571576864e+07	2.890458333254946396e+07
1.185971012337669343e-08	1.184293340345734172e+07	2.890456841200761124e+07
1.224864613750930795e-08	1.184292106955575198e+07	2.890455300215058774e+07
1.265033720395903769e-08	1.184290833540649712e+07	2.890453708771010488e+07
1.306520162124721228e-08	1.184289520805857703e+07	2.890452065584416687e+07
1.349367140588306343e-08	1.184288165020279773e+07	2.890450368509959430e+07
1.393619274224142065e-08	1.184286764772077650e+07	2.890448615780400112e+07
1.439322644719406651e-08	1.184285318603110872e+07	2.890446805570544675e+07
1.486524844997857277e-08	1.184283825007420778e+07	2.890444935995342582e+07
1.535275028780422776e-08	1.184282282429660298e+07	2.890443005107922480e+07
1.585623961771137302e-08	1.184280689327860437e+07	2.890441010882580280e+07
1.637624074521687477e-08	1.184279048495708406e+07	2.890438950206164643e+07
1.691329517029648562e-08	1.184277353852905892e+07	2.890436821950418130e+07
1.746796215127245689e-08	1.184275603634746931e+07	2.890434623899094760e+07
1.804081928719382751e-08	1.184273796018652618e+07	2.890432353763267770e+07
1.863246311931559514e-08	1.184271929122272879e+07	2.890430009178944677e+07
1.924350975230330612e-08	1.184270001001527160e+07	2.890427587704607472e+07
1.987459549580983990e-08	1.184268009648578428e+07	2.890425086818668619e+07
2.052637752709252173e-08	1.184265959810632095e+07	2.890422504646836594e+07
2.119953457536071000e-08	1.184263843706825748e+07	2.890419837895902619e+07
2.189476762856620985e-08	1.184261658205962367e+07	2.890417083689586446e+07
2.261280066337277307e-08	1.184259401032184064e+07	2.890414239159812033e+07
2.335438139906479724e-08	1.184257069834996946e+07	2.890411301344446838e+07
2.412028207618007283e-08	1.184254662186822668e+07	2.890408267184214294e+07
2.491130026067788373e-08	1.184252175580472313e+07	2.890405133519510180e+07
2.572825967447932303e-08	1.184249614460409991e+07	2.890401898222489655e+07
2.657201105324503850e-08	1.184246971823455393e+07	2.890398557224169001e+07
2.744343303228365032e-08	1.184244242521930486e+07	2.890395106658704951e+07
2.834343306151309448e-08	1.184241423713693582e+07	2.890391542932871357e+07
2.927294835042816131e-08	1.184238512463396229e+07	2.890387862335604429e+07
3.023294684405776334e-08	1.184235505739425682e+07	2.890384061034136266e+07
3.122442823092858392e-08	1.184232400410748646e+07	2.890380135070006177e+07
3.224842498408442807e-08	1.184229201663029008e+07	2.890376080325454473e+07
