Frequency [GHz]	Zx imag [Ohm/m]	Zy imag [Ohm/m]
1.089022962263730067e-09	1.008834275921912119e+07	2.462223809325924143e+07
1.124737178364752061e-09	1.008833174799121171e+07	2.462222396479392424e+07
1.161622632608501755e-09	1.008832037565303594e+07	2.462220937298936769e+07
1.199717735435884489e-09	1.008830863036207855e+07	2.462219430265049636e+07
1.239062156947916503e-09	1.008829649988745153e+07	2.462217873808389902e+07
1.279696868215940940e-09	1.008828397159716301e+07	2.462216266308151558e+07
1.321664183946605026e-09	1.008827103244495206e+07	2.462214606090373918e+07
1.365007806546013663e-09	1.008825766895671375e+07	2.462212891426198930e+07
1.409772871628966933e-09	1.008824386721646041e+07	2.462211120530072227e+07
1.456005995020649598e-09	1.008822961285183579e+07	2.462209291557881609e+07
1.503755321299737753e-09	1.008821489101914503e+07	2.462207402605038509e+07
1.553070573933460069e-09	1.008819968638789840e+07	2.462205451704493165e+07
1.604003107056820079e-09	1.008818398312484287e+07	2.462203436824687570e+07
1.656605958949914401e-09	1.008816776487749070e+07	2.462201355867439136e+07
1.710933907269014249e-09	1.008815101475705951e+07	2.462199206665755063e+07
1.767043526088946692e-09	1.008813371532092057e+07	2.462196986981578544e+07
1.824993244816152494e-09	1.008811584855441004e+07	2.462194694503453746e+07
1.884843409033795523e-09	1.008809739585208520e+07	2.462192326844124123e+07
1.946656343342262358e-09	1.008807833799833246e+07	2.462189881538040936e+07
2.010496416260498236e-09	1.008805865514737368e+07	2.462187356038800627e+07
2.076430107255774870e-09	1.008803832680259459e+07	2.462184747716489807e+07
2.144526075971667793e-09	1.008801733179520071e+07	2.462182053854947910e+07
2.214855233726359314e-09	1.008799564826216362e+07	2.462179271648938954e+07
2.287490817355702788e-09	1.008797325362347625e+07	2.462176398201229796e+07
2.362508465477946229e-09	1.008795012455861643e+07	2.462173430519573390e+07
2.439986297259550245e-09	1.008792623698227480e+07	2.462170365513592586e+07
2.520004993764092080e-09	1.008790156601927057e+07	2.462167199991562217e+07
2.602647881969005809e-09	1.008787608597864956e+07	2.462163930657085776e+07
2.688001021537606561e-09	1.008784977032692544e+07	2.462160554105661437e+07
2.776153294436799262e-09	1.008782259166045859e+07	2.462157066821138188e+07
2.867196497493770032e-09	1.008779452167691104e+07	2.462153465172054246e+07
2.961225437988034610e-09	1.008776553114577755e+07	2.462149745407853648e+07
3.058338032378433485e-09	1.008773558987794630e+07	2.462145903654983267e+07
3.158635408267817403e-09	1.008770466669426486e+07	2.462141935912857950e+07
3.262222009711669644e-09	1.008767272939306498e+07	2.462137838049692661e+07
3.369205705980266915e-09	1.008763974471663311e+07	2.462133605798204243e+07
3.479697903887691433e-09	1.008760567831658013e+07	2.462129234751161933e+07
3.593813663804627762e-09	1.008757049471807107e+07	2.462124720356804505e+07
3.711671819475765297e-09	1.008753415728287958e+07	2.462120057914093882e+07
3.833395101766601886e-09	1.008749662817124277e+07	2.462115242567824572e+07
3.959110266468459240e-09	1.008745786830245145e+07	2.462110269303565100e+07
4.088948226294862618e-09	1.008741783731415309e+07	2.462105132942437753e+07
4.223044187206674123e-09	1.008737649352032691e+07	2.462099828135723993e+07
4.361537789208003199e-09	1.008733379386786371e+07	2.462094349359296262e+07
4.504573251759458750e-09	1.008728969389174506e+07	2.462088690907864273e+07
4.652299523960189308e-09	1.008724414766873047e+07	2.462082846889034659e+07
4.804870439655131104e-09	1.008719710776954517e+07	2.462076811217174307e+07
4.962444877628916452e-09	1.008714852520947531e+07	2.462070577607072517e+07
5.125186927053329472e-09	1.008709834939737245e+07	2.462064139567399397e+07
5.293266058360561204e-09	1.008704652808296308e+07	2.462057490393940732e+07
5.466857299720180771e-09	1.008699300730243698e+07	2.462050623162621260e+07
5.646141419303669251e-09	1.008693773132226616e+07	2.462043530722291768e+07
5.831305113526221869e-09	1.008688064258114062e+07	2.462036205687282607e+07
6.022541201461928965e-09	1.008682168163005635e+07	2.462028640429714322e+07
6.220048825634711276e-09	1.008676078707038611e+07	2.462020827071551979e+07
6.424033659394191079e-09	1.008669789548995718e+07	2.462012757476403564e+07
6.634708121092347870e-09	1.008663294139700755e+07	2.462004423241045326e+07
6.852291595284060743e-09	1.008656585715199262e+07	2.461995815686672553e+07
7.077010661181889919e-09	1.008649657289714552e+07	2.461986925849862024e+07
7.309099328602911004e-09	1.008642501648373716e+07	2.461977744473236427e+07
7.548799281653435948e-09	1.008635111339692958e+07	2.461968261995825917e+07
7.796360130405233414e-09	1.008627478667820804e+07	2.461958468543110415e+07
8.052039670825474778e-09	1.008619595684520341e+07	2.461948353916738927e+07
8.316104153230961616e-09	1.008611454180895910e+07	2.461937907583906874e+07
8.588828559546249041e-09	1.008603045678842627e+07	2.461927118666390330e+07
8.870496889654407999e-09	1.008594361422218941e+07	2.461915975929215923e+07
9.161402457138517586e-09	1.008585392367727123e+07	2.461904467768962681e+07
9.461848194721997291e-09	1.008576129175497778e+07	2.461892582201679796e+07
9.772146969725725887e-09	1.008566562199362554e+07	2.461880306850403920e+07
1.009262190987047331e-08	1.008556748417635076e+07	2.461867635505993292e+07
1.042360673976401127e-08	1.008546782872788794e+07	2.461854565310155228e+07
1.076544612842315905e-08	1.008536490510571189e+07	2.461841066480748728e+07
1.111849604819270880e-08	1.008525860613093525e+07	2.461827124960850552e+07
1.148312414543511117e-08	1.008514882110977918e+07	2.461812726232544705e+07
1.185971012337669343e-08	1.008503543571828678e+07	2.461797855301804096e+07
1.224864613750930795e-08	1.008491833188327402e+07	2.461782496682876348e+07
1.265033720395903769e-08	1.008479754685788788e+07	2.461766636062574014e+07
1.306520162124721228e-08	1.008467371754548699e+07	2.461750264975006133e+07
1.349367140588306343e-08	1.008454582728398219e+07	2.461733357002010569e+07
1.393619274224142065e-08	1.008441374289563298e+07	2.461715894536573067e+07
1.439322644719406651e-08	1.008427732683517970e+07	2.461697859394263104e+07
1.486524844997857277e-08	1.008413643704659492e+07	2.461679232794295996e+07
1.535275028780422776e-08	1.008399092681516334e+07	2.461659995339976251e+07
1.585623961771137302e-08	1.008384066539877094e+07	2.461640127281422913e+07
1.637624074521687477e-08	1.008368693368268013e+07	2.461619627495221421e+07
1.691329517029648562e-08	1.008352816037617251e+07	2.461598455424027890e+07
1.746796215127245689e-08	1.008336418014163896e+07	2.461576589020434767e+07
1.804081928719382751e-08	1.008319482221927680e+07	2.461554005513997748e+07
1.863246311931559514e-08	1.008301991024925373e+07	2.461530681387521699e+07
1.924350975230330612e-08	1.008283926208806224e+07	2.461506592352570221e+07
1.987459549580983990e-08	1.008265268961885385e+07	2.461481713324175775e+07
2.052637752709252173e-08	1.008246178514196165e+07	2.461456045930028334e+07
2.119953457536071000e-08	1.008226487093836442e+07	2.461429540648034215e+07
2.189476762856620985e-08	1.008206149898625165e+07	2.461402166132422909e+07
2.261280066337277307e-08	1.008185145750548691e+07	2.461373893876910955e+07
2.335438139906479724e-08	1.008163452777067013e+07	2.461344694440358877e+07
2.412028207618007283e-08	1.008141048388335295e+07	2.461314537416112423e+07
2.491130026067788373e-08	1.008117909253681637e+07	2.461283391400340572e+07
2.572825967447932303e-08	1.008094219177948311e+07	2.461251257043779269e+07
2.657201105324503850e-08	1.008069825327116624e+07	2.461218080487944931e+07
2.744343303228365032e-08	1.008044631486486271e+07	2.461183815915856138e+07
2.834343306151309448e-08	1.008018611420606636e+07	2.461148427646311000e+07
2.927294835042816131e-08	1.007991738033641875e+07	2.461111878827952966e+07
3.023294684405776334e-08	1.007963983341155760e+07	2.461074131400895491e+07
3.122442823092858392e-08	1.007935318440970220e+07	2.461035146057086438e+07
3.224842498408442807e-08	1.007905947448965162e+07	2.460994925149545446e+07
3.330600343624588813e-08	1.007875767093785107e+07	2.460953413451173529e+07
3.439826489022924478e-08	1.007844596981947683e+07	2.460910540387782082e+07
3.552634676578139226e-08	1.007812404654648900e+07	2.460866261313769966e+07
3.669142378402493899e-08	1.007779156588606164e+07	2.460820530119396001e+07
3.789470919074667737e-08	1.007744818161150999e+07	2.460773299182762206e+07
3.913745601980383687e-08	1.007709353614172712e+07	2.460724519320223480e+07
4.042095839796305955e-08	1.007672973694708943e+07	2.460674189401943982e+07
4.174655289253134782e-08	1.007635682922462747e+07	2.460622265520379692e+07
4.311561990318228626e-08	1.007597169209337980e+07	2.460568638809038699e+07
4.452958509942655287e-08	1.007557392449316010e+07	2.460513253424075618e+07
4.598992090522439315e-08	1.007516311221112497e+07	2.460456051690260321e+07
4.749814803228499868e-08	1.007473882745043002e+07	2.460396974040919542e+07
4.905583706365045989e-08	1.007430062838475406e+07	2.460335958955905959e+07
5.066461008921269181e-08	1.007385047318615019e+07	2.460272996203559265e+07
5.232614239486661694e-08	1.007339041065019555e+07	2.460208075799648836e+07
5.404216420705915059e-08	1.007291526048670709e+07	2.460141026348495856e+07
5.581446249454960394e-08	1.007242452790098824e+07	2.460071778028567508e+07
5.764488282925879445e-08	1.007191770187167451e+07	2.460000258728550747e+07
5.953533130814369715e-08	1.007139425461860001e+07	2.459926393972263113e+07
6.148777653810024108e-08	1.007085364105318859e+07	2.459850106841094792e+07
6.350425168595962148e-08	1.007029725650989078e+07	2.459771365967829153e+07
6.558685659571428548e-08	1.006973058629459888e+07	2.459690238237170875e+07
6.773775997517751128e-08	1.006914533228151128e+07	2.459606449944334850e+07
6.995920165435375620e-08	1.006854088501995988e+07	2.459519913836897165e+07
7.225349491787214948e-08	1.006791661507250555e+07	2.459430539801014960e+07
7.462302891391107044e-08	1.006727187235948071e+07	2.459338234767585248e+07
7.707027114212294845e-08	1.006660598548202403e+07	2.459242902615329251e+07
7.959777002314985573e-08	1.006591911611847766e+07	2.459144467415502295e+07
8.220815755240541849e-08	1.006522237037113123e+07	2.459043149396234378e+07
8.490415204088747078e-08	1.006450277503378503e+07	2.458938508679686487e+07
8.768856094587425811e-08	1.006375958076026104e+07	2.458830436298891157e+07
9.056428379445295063e-08	1.006299201362977177e+07	2.458718819713339582e+07
9.353431520292386860e-08	1.006219927434100956e+07	2.458603542691787705e+07
9.660174799522647250e-08	1.006138053737979010e+07	2.458484485191217065e+07
9.976977642363202159e-08	1.006053495015941560e+07	2.458361523231832683e+07
1.030416994950587396e-07	1.005967864490067773e+07	2.458235039940846339e+07
1.064209244064724761e-07	1.005879558725124039e+07	2.458104448623304814e+07
1.099109700929497372e-07	1.005788356996292062e+07	2.457969574598513916e+07
1.135154708920999096e-07	1.005694164331212267e+07	2.457830277416236699e+07
1.172381803286598596e-07	1.005596882642932609e+07	2.457686412020210177e+07
1.210829750232039531e-07	1.005496410627765208e+07	2.457537828597088158e+07
1.250538587290391570e-07	1.005392643659794889e+07	2.457384372420437634e+07
1.291549665014884007e-07	1.005287435114179365e+07	2.457226540914698690e+07
1.333905690039058854e-07	1.005179297050389089e+07	2.457063707862851769e+07
1.377650769549053468e-07	1.005067612627786584e+07	2.456895534744722396e+07
1.422830457214352017e-07	1.004952265544485487e+07	2.456721846434267983e+07
1.469491800624817218e-07	1.004833135684509762e+07	2.456542462062234432e+07
1.517683390283405561e-07	1.004710098992712609e+07	2.456357194827809557e+07
1.567455410205594968e-07	1.004583027345591970e+07	2.456165851804098487e+07
1.618859690178197646e-07	1.004453976936742850e+07	2.455969044991413131e+07
1.671949759731990056e-07	1.004321854746258631e+07	2.455766214093577489e+07
1.726780903884356132e-07	1.004185399643957056e+07	2.455556731410822645e+07
1.783410220710008120e-07	1.004044469533156604e+07	2.455340378799644858e+07
1.841896680799711039e-07	1.003898917657152936e+07	2.455116930962583795e+07
1.902301188668944219e-07	1.003748592446395569e+07	2.454886155213608593e+07
1.964686646180446931e-07	1.003593337360650860e+07	2.454647811235811934e+07
2.029118018046678038e-07	1.003435319456111826e+07	2.454402609071772546e+07
2.095662399480432992e-07	1.003274291483515874e+07	2.454150259352508932e+07
2.164389086064020114e-07	1.003107982641727477e+07	2.453889633891852945e+07
2.235369645909794139e-07	1.002936219746056572e+07	2.453620461289082840e+07
2.308677994187169850e-07	1.002758823932268657e+07	2.453342461242965236e+07
2.384390470093720426e-07	1.002575610470324010e+07	2.453055344259861484e+07
2.462585916350547006e-07	1.002386388572010770e+07	2.452758811352267489e+07
2.543345761304648365e-07	1.002193264495879039e+07	2.452453605770510435e+07
2.626754103723835758e-07	1.001997534892381541e+07	2.452140093797999993e+07
2.712897800372467241e-07	1.001795386389008723e+07	2.451816300284397602e+07
2.801866556459195443e-07	1.001586608479660004e+07	2.451481888049319386e+07
2.893753019050950594e-07	1.001370983754743822e+07	2.451136508854641765e+07
2.988652873550382326e-07	1.001148287674778514e+07	2.450779803041863814e+07
3.086664943337274455e-07	1.000918288336571679e+07	2.450411399157582223e+07
3.187891292677645596e-07	1.000682733244513534e+07	2.450031920716303214e+07
3.292437333007768907e-07	1.000445511312904768e+07	2.449643068040867522e+07
3.400411932703706463e-07	1.000200509751643613e+07	2.449241463046185300e+07
3.511927530450727317e-07	9.999474734298611060e+06	2.448826687523365021e+07
3.627100252330649086e-07	9.996861388497399166e+06	2.448398309548467398e+07
3.746050032748993774e-07	9.994162338721225038e+06	2.447955883032722771e+07
3.868900739327976195e-07	9.991374774331204593e+06	2.447498947258000821e+07
3.995780301895269929e-07	9.988507833423541859e+06	2.447027703465779498e+07
4.126820845702951630e-07	9.985641710020657629e+06	2.446546338170269132e+07
4.262158829015325345e-07	9.982681592869129032e+06	2.446049186628936976e+07
4.401935185208874400e-07	9.979624399469166994e+06	2.445535731136084348e+07
4.546295469532399562e-07	9.976466946231227368e+06	2.445005437007991225e+07
4.695390010680058238e-07	9.973205945160806179e+06	2.444457752026128769e+07
4.849374067335232931e-07	9.969838000434489921e+06	2.443892105862110108e+07
5.008407989848212921e-07	9.966359604863757268e+06	2.443307909483781457e+07
5.172657387216018967e-07	9.962905435360284522e+06	2.442713183767354861e+07
5.342293299538352136e-07	9.959341064875327051e+06	2.442099146207342669e+07
5.517492376129122323e-07	9.955659801815856248e+06	2.441464971450161934e+07
5.698437059469141914e-07	9.951857812721222639e+06	2.440809999101828784e+07
5.885315775191450570e-07	9.947931138413475826e+06	2.440133547110918537e+07
6.078323128297229089e-07	9.943875689874473959e+06	2.439434911058309674e+07
6.277660105806500796e-07	9.939687243987822905e+06	2.438713363423646986e+07
6.483534286054720147e-07	9.935517918705828488e+06	2.437978974378921464e+07
6.696160054853222944e-07	9.931241509307999164e+06	2.437222551574401557e+07
6.915758828738524922e-07	9.926824856210391968e+06	2.436441322086789832e+07
7.142559285543126448e-07	9.922263360158469528e+06	2.435634472387564555e+07
7.376797602527731619e-07	9.917552271066375077e+06	2.434801162268754467e+07
7.618717702322991504e-07	9.912686683070460334e+06	2.433940523967992887e+07
7.868571506936852863e-07	9.907661529420588166e+06	2.433051661264878511e+07
8.126619200091945450e-07	9.902643165579266846e+06	2.432146806186563522e+07
8.393129498166364485e-07	9.897532442226625979e+06	2.431217814282923564e+07
8.668379930019773693e-07	9.892254114071723074e+06	2.430258356338848919e+07
8.952657125996391396e-07	9.886802684559999034e+06	2.429267433228710294e+07
9.246257116405743783e-07	9.881172476878860965e+06	2.428244013060823083e+07
9.549485639791965964e-07	9.875357628046173602e+06	2.427187030102889240e+07
9.862658461312820294e-07	9.869352082804869860e+06	2.426095383672206849e+07
1.018610170155975315e-06	9.863329893512368202e+06	2.424983221193091944e+07
1.052015217616159169e-06	9.857247636453233659e+06	2.423846235173333064e+07
1.086515774652537176e-06	9.850965913404382765e+06	2.422671962001860887e+07
1.122147768207980340e-06	9.844478182932155207e+06	2.421459178856530413e+07
1.158948303439811928e-06	9.837777689078329131e+06	2.420206622813072801e+07
1.196955702359042833e-06	9.830857454324839637e+06	2.418912989529957250e+07
1.236209543736769070e-06	9.823710272327795625e+06	2.417576931890119985e+07
1.276750704319264407e-06	9.816506467152955011e+06	2.416213760927980021e+07
1.318621401394748678e-06	9.809300383470257744e+06	2.414827867972712591e+07
1.361865236756082925e-06	9.801857978205000982e+06	2.413396525029509142e+07
1.406527242105236574e-06	9.794171501254238188e+06	2.411918241578198969e+07
1.452653925946781372e-06	9.786232948352472857e+06	2.410391478217403218e+07
1.500293322019216825e-06	9.778034052736472338e+06	2.408814645061486214e+07
1.549495039314631713e-06	9.769566276536710560e+06	2.407186100084940344e+07
1.600310313738701654e-06	9.760978178767468780e+06	2.405520420064790174e+07
1.652792061464893799e-06	9.752481628494976088e+06	2.403838702275474742e+07
1.706994934038407828e-06	9.743706436134064570e+06	2.402101833002094924e+07
1.762975375287203917e-06	9.734643463692137972e+06	2.400308003566516936e+07
1.820791680099462520e-06	9.725283273498589173e+06	2.398455345975491032e+07
1.880504055128583443e-06	9.715616118376933038e+06	2.396541930975429341e+07
1.942174681489024486e-06	9.705631931494643912e+06	2.394565766043391079e+07
2.005867779508234000e-06	9.695430430205078796e+06	2.392537334229682013e+07
2.071649675602067297e-06	9.685463647299338132e+06	2.390507215125714615e+07
2.139588871343421664e-06	9.675170006420107558e+06	2.388410518809968233e+07
2.209756114795903333e-06	9.664538788347773254e+06	2.386245061900632456e+07
2.282224474186896537e-06	9.653558922328783199e+06	2.384008589412472025e+07
2.357069413996727979e-06	9.642218974547196180e+06	2.381698772408619151e+07
2.434368873543112862e-06	9.630507136218136176e+06	2.379313205575342476e+07
2.514203348142796913e-06	9.618435524854572490e+06	2.376852443469448388e+07
2.596655972934872394e-06	9.606808168921085075e+06	2.374415983597473800e+07
2.681812609453013329e-06	9.594799496966831386e+06	2.371899620677166805e+07
2.769761935036891063e-06	9.582397003835134208e+06	2.369300734309477359e+07
2.860595535175745131e-06	9.569587774266058579e+06	2.366616618160071969e+07
2.954407998880380251e-06	9.556358469447175041e+06	2.363844477141107246e+07
3.051297017182871440e-06	9.542695313123283908e+06	2.360981424500584230e+07
3.151363484866476280e-06	9.528584077250583097e+06	2.358024478816245496e+07
3.254711605531848180e-06	9.514983800158491358e+06	2.355103664663799852e+07
3.361449000108768764e-06	9.501056250075059012e+06	2.352103294886758924e+07
3.471686818926559579e-06	9.486671949720352888e+06	2.349004528787222132e+07
3.585539857459816780e-06	9.471815920091671869e+06	2.345804139484171569e+07
3.703126675869923221e-06	9.456472690953938290e+06	2.342498794271890819e+07
3.824569722466998750e-06	9.440626284729862586e+06	2.339085051149474084e+07
3.949995461220647668e-06	9.424260199861787260e+06	2.335559355236517265e+07
4.079534503452449404e-06	9.408391244543133304e+06	2.332071974803364649e+07
4.213321743847289341e-06	9.392338869898926467e+06	2.328520405568481237e+07
4.351496500925044872e-06	9.375760061931604519e+06	2.324852363572648168e+07
4.494202662119142613e-06	9.358637556401455775e+06	2.321064029122894257e+07
4.641588833612781958e-06	9.340953522892665118e+06	2.317151457260441780e+07
4.793808495089106764e-06	9.322689546245709062e+06	2.313110573652646318e+07
4.951020159556351225e-06	9.303826607380840927e+06	2.308937170350217074e+07
5.113387538414320594e-06	9.285399528113402426e+06	2.304797146262926236e+07
5.281079711934330620e-06	9.267020954192491248e+06	2.300626749371091649e+07
5.454271305329836335e-06	9.248039659866791219e+06	2.296319585431193188e+07
5.633142670601352205e-06	9.228435879082206637e+06	2.291871169204555452e+07
5.817880074344935696e-06	9.208189197562191635e+06	2.287276868360300735e+07
6.008675891719681185e-06	9.187278531549481675e+06	2.282531898651504144e+07
6.205728806776500758e-06	9.165682105850636959e+06	2.277631318933143467e+07
6.409244019356456972e-06	9.144393584997056052e+06	2.272746987872482836e+07
6.619433458774388568e-06	9.123500341711292043e+06	2.267892895691078529e+07
6.836516004510238809e-06	9.101921910113055259e+06	2.262879614857875556e+07
7.060717714137765353e-06	9.079635819635320455e+06	2.257701924823712930e+07
7.292272058728313350e-06	9.056618862794848159e+06	2.252354433832920343e+07
7.531420165974376510e-06	9.032847071025202051e+06	2.246831573308645561e+07
7.778411071286482598e-06	9.008295689717238769e+06	2.241127592054051906e+07
8.033501977124735881e-06	8.983834457812847570e+06	2.235403762832522392e+07
8.296958520834915102e-06	8.960260802541578189e+06	2.229807814839411899e+07
8.569055051268345481e-06	8.935914055565338582e+06	2.224028349232035503e+07
8.850074914473438512e-06	8.910768863548913971e+06	2.218059347599430010e+07
9.140310748756224233e-06	8.884799041701260954e+06	2.211894594158459827e+07
9.440064789417603028e-06	8.857977546508129686e+06	2.205527669281046093e+07
9.749649183484097127e-06	8.830276447570474818e+06	2.198951942809129506e+07
1.006938631476026946e-05	8.802331263556974009e+06	2.192292804927098751e+07
1.039960913954120295e-05	8.775945313080331311e+06	2.185908052951702476e+07
1.074066153333432437e-05	8.748694042431382462e+06	2.179313914746904373e+07
1.109289864895222712e-05	8.720549073667047545e+06	2.172503523547443748e+07
1.145668728634872662e-05	8.691481098197219893e+06	2.165469787394332886e+07
1.183240627458378028e-05	8.661459846264434978e+06	2.158205381749692559e+07
