time	wake_x_dipolar
1e-11	608.8000864310427
1.00138264419705e-11	608.9653348584927
1.0027672000990756e-11	609.1308117657222
1.0041536703492846e-11	609.2965174686371
1.0055420575945395e-11	609.4624522835807
1.0069323644853623e-11	609.6286165273332
1.0083245936759398e-11	609.7950105171129
1.0097187478241287e-11	609.9616345705772
1.0111148295914602e-11	610.1284890058221
1.012512841643146e-11	610.2955741413834
1.0139127866480825e-11	610.4628902962381
1.0153146672788562e-11	610.6304377898033
1.016718486211749e-11	610.7982169419381
1.0181242461267432e-11	610.9662280729441
1.0195319497075263e-11	611.1344715035655
1.0209415996414964e-11	611.3029475549897
1.0223531986197675e-11	611.4716565488488
1.0237667493371788e-11	611.6405988072199
1.0251822544922826e-11	611.8097746526236
1.026599716787375e-11	611.9791844080282
1.0280191389284843e-11	612.1488283968481
1.02944052362538e-11	612.3187069429447
1.0308638735915787e-11	612.4888203706271
1.0322891915443486e-11	612.6591690046533
1.0337164802047148e-11	612.8297531702298
1.0351457422974647e-11	613.0005731930129
1.0365769805511533e-11	613.1716293991093
1.038010197698108e-11	613.3429221150764
1.0394453964744339e-11	613.5144516679231
1.0408825796200196e-11	613.6862183851108
1.0423217498785417e-11	613.8564635729603
1.0437629099974703e-11	614.0261545075412
1.0452060627280742e-11	614.196080064308
1.0466512108254266e-11	614.3662405676599
1.0480983570484097e-11	614.5366363424444
1.0495475041597203e-11	614.7072677139579
1.050998654925875e-11	614.8781350079471
1.0524518121172156e-11	615.0474049675854
1.0539069785079143e-11	615.2119947914076
1.0553641568759786e-11	615.3768121843946
1.0568233500032578e-11	615.5418574611936
1.0582845606754468e-11	615.7071309368868
1.0597477916820922e-11	615.8726329269919
1.061213045816598e-11	616.0383637474633
1.0626803258762301e-11	616.204323714692
1.064149634662122e-11	616.3705131455065
1.0656209749792804e-11	616.5369323571729
1.0670943496365902e-11	616.7035816673966
1.06856976144682e-11	616.870461394322
1.0700472132266276e-11	617.0375718565335
1.0715267077965693e-11	617.2049133730563
1.0730082479810882e-11	617.3724862633554
1.0744918366085461e-11	617.5402908473388
1.0759774765112105e-11	617.7083274453566
1.0774651705252652e-11	617.8765963782015
1.0789549214908154e-11	618.0450979671098
1.0804467322518932e-11	618.2138325337623
1.0819406056564629e-11	618.3828004002843
1.0834365445564264e-11	618.5520018892463
1.0849345518076294e-11	618.7214373236652
1.0864346302698651e-11	618.8911070270042
1.0879367828068819e-11	619.0598603617508
1.089441012286387e-11	619.2273945783206
1.0909473215800532e-11	619.3951604351028
1.092455713563523e-11	619.5631582523733
1.0939661911164156e-11	619.7313883508509
1.0954787571223317e-11	619.8998510516981
1.0969934144688584e-11	620.0685466765209
1.0985101660475758e-11	620.2374755473705
1.100029014754062e-11	620.4066379867431
1.1015499634878981e-11	620.5760343175809
1.1030730151526754e-11	620.7456648632725
1.1045981726559986e-11	620.9155299476537
1.1061254389094934e-11	621.0856298950081
1.107654816828811e-11	621.2559650300677
1.1091863093336338e-11	621.4265356780134
1.1107199193476811e-11	621.5973421644754
1.1122556497987152e-11	621.768384815535
1.1137935036185454e-11	621.9396639577234
1.1153334837430355e-11	622.1111799180237
1.1168755931121083e-11	622.2829330238715
1.1184198346697516e-11	622.4549236031542
1.1199662113640232e-11	622.6271519842135
1.1215147261470578e-11	622.7996184958442
1.1230653819750757e-11	622.9723234672971
1.1246181818083712e-11	623.145267228276
1.1261731286113455e-11	623.3184501089423
1.1277302253524935e-11	623.4918724399138
1.129289475004415e-11	623.6655345522647
1.1308508805438195e-11	623.8394367775277
1.1324144449515323e-11	624.013579447693
1.1339801712125e-11	624.1866928530314
1.1355480623157968e-11	624.3529419970463
1.1371181212546291e-11	624.5175158284012
1.1386903510263421e-11	624.6823172068091
1.1402647546324256e-11	624.8473464468864
1.1418413350785186e-11	625.0126038636848
1.1434200953744168e-11	625.1780897726917
1.1450010385340766e-11	625.3438044898304
1.1465841675756219e-11	625.509748331461
1.1481694855213498e-11	625.6759216143813
1.1497569953977356e-11	625.8423246558269
1.1513467002354399e-11	626.0089577734722
1.1529386030693132e-11	626.1758212854306
1.1545327069384018e-11	626.3429155102556
1.1561290148859546e-11	626.5102407669408
1.1577275299594277e-11	626.6777973749212
1.1593282552104912e-11	626.8455856540734
1.160931193695034e-11	627.0136059247159
1.1625363484731708e-11	627.1818585076107
1.1641437226092468e-11	627.350343723963
1.1657533191718446e-11	627.5190618954218
1.1673651412337894e-11	627.6880133440814
1.1689791918721546e-11	627.857198392481
1.170595474168269e-11	628.0266173636061
1.1722139912077206e-11	628.1962705808885
1.1738347460803648e-11	628.3661583682072
1.1754577418803333e-11	628.5362810498896
1.1770829817060215e-11	628.7066389507103
1.1787104686601236e-11	628.8772323958939
1.1803402058496187e-11	629.0461604190477
1.1819721963857814e-11	629.2145958816184
1.1836064433841886e-11	629.3832642305041
1.1852429499647248e-11	629.5521657877036
1.1868817192515879e-11	629.721300875661
1.1885227543732957e-11	629.8906698172664
1.1901660584626919e-11	630.0602729358559
1.1918116346569512e-11	630.2301105552133
1.1934594860975862e-11	630.4001829995693
1.1951096159304532e-11	630.5704905936038
1.1967620273057582e-11	630.7410336624448
1.1984167233780622e-11	630.9118125316703
1.2000737073062886e-11	631.0828275273083
1.2017329822537278e-11	631.2540789758376
1.2033945513880445e-11	631.4255672041885
1.2050584178812828e-11	631.5972925397432
1.2067245849098725e-11	631.7692553103365
1.2083930556546357e-11	631.9414558442568
1.2100638333007921e-11	632.1138944702459
1.2117369210379654e-11	632.2865715175008
1.2134123220601897e-11	632.4594873156727
