Frequency [GHz]	Zx real [Ohm/m]	Zy real [Ohm/m]
1.841896680799711039e-07	1.261942040863519069e+05	2.765707345237429836e+05
1.902301188668944219e-07	1.292149373580787942e+05	2.837571864580719266e+05
1.964686646180446931e-07	1.323347347676506906e+05	2.911793161570358207e+05
2.029118018046678038e-07	1.354225648429989815e+05	2.985964756977426587e+05
2.095662399480432992e-07	1.384864116619035194e+05	3.060252092999615124e+05
2.164389086064020114e-07	1.416507365158747707e+05	3.136975662291624467e+05
2.235369645909794139e-07	1.449188345551364764e+05	3.216215360470430460e+05
2.308677994187169850e-07	1.482941089934807678e+05	3.298053703308352269e+05
2.384390470093720426e-07	1.517800746521833062e+05	3.382575912660331815e+05
2.462585916350547006e-07	1.553803616201416880e+05	3.469870005209206720e+05
2.543345761304648365e-07	1.589780536745614954e+05	3.557735253039834206e+05
2.626754103723835758e-07	1.624984327218381222e+05	3.644772985308836214e+05
2.712897800372467241e-07	1.661342616562233598e+05	3.734665096674436354e+05
2.801866556459195443e-07	1.698893266258148651e+05	3.827505195733896689e+05
2.893753019050950594e-07	1.737675379444223072e+05	3.923389960953341797e+05
2.988652873550382326e-07	1.777729341635485471e+05	4.022419241343268659e+05
3.086664943337274455e-07	1.819096862779103394e+05	4.124696160435713828e+05
3.187891292677645596e-07	1.860874251131574856e+05	4.228477727113437140e+05
3.292437333007768907e-07	1.901135148597994994e+05	4.330023923823480727e+05
3.400411932703706463e-07	1.942716391403643065e+05	4.434900300832020002e+05
3.511927530450727317e-07	1.985661279919959197e+05	4.543216070509183919e+05
3.627100252330649086e-07	2.030014534542459005e+05	4.655084026815511170e+05
3.746050032748993774e-07	2.075822342260034638e+05	4.770620662759219995e+05
3.868900739327976195e-07	2.123132404751502909e+05	4.889946291705520707e+05
3.995780301895269929e-07	2.171472034550041717e+05	5.012134538070913986e+05
4.126820845702951630e-07	2.217285876290924498e+05	5.130054780169336591e+05
4.262158829015325345e-07	2.264602170689878403e+05	5.251842184995198622e+05
4.401935185208874400e-07	2.313470190279042872e+05	5.377623575113427360e+05
4.546295469532399562e-07	2.363940823470043833e+05	5.507529932200973853e+05
4.695390010680058238e-07	2.416066627546323580e+05	5.641696533443776425e+05
4.849374067335232931e-07	2.469901883393344178e+05	5.780263092406812357e+05
5.008407989848212921e-07	2.525502652023658447e+05	5.923373904523978708e+05
5.172657387216018967e-07	2.577471853009782499e+05	6.059844955142477993e+05
5.342293299538352136e-07	2.631023979902854771e+05	6.200539342180840904e+05
5.517492376129122323e-07	2.686332334441074054e+05	6.345847763924626634e+05
5.698437059469141914e-07	2.743454511639255215e+05	6.495921536405071383e+05
5.885315775191450570e-07	2.802449995325275813e+05	6.650916938022072427e+05
6.078323128297229089e-07	2.863380220083207823e+05	6.810995372283774195e+05
6.277660105806500796e-07	2.926308635227837949e+05	6.976323535883093718e+05
