# Frequency (Hz)	Imaginary Part (Ohm)
1000.0	0.0021887545155999995
1018.6101701559753	0.0022117311233915355
1037.566678745186	0.00223513532976368
1056.875971184804	0.0022589750923987743
1076.5446128423157	0.002283258517072986
1096.5792912678098	0.002307993860412354
1116.9868184678226	0.0023331895327001347
1137.7741332214914	0.0023588541007363863
1158.9483034398106	0.00238499629075077
1180.5165285688054	0.0024116249913695748
1202.4861420374123	0.0024387492566379245
1224.8646137509306	0.0024663783090982747
1247.6595526308697	0.002494521542926163
1270.8787092020582	0.00252168315736935
1294.529978227916	0.002547905055079207
1318.6214013947485	0.002574614946767256
1343.1611700460153	0.0026018219140844677
1368.1576279674719	0.0026295352076928817
1393.619274224142	0.0026577642504109294
1419.5547660501015	0.0026865186404173022
1445.9729217920194	0.002715808154514423
1472.882723907502	0.002745642751452678
1500.2933220192183	0.002776032575316489
1528.2140360258693	0.002806987958973415
1556.654359271062	0.0028385194275874406
1585.6239617711371	0.0028705539953079945
1615.132693503091	0.0028998898930704766
1645.1905877536624	0.0029297717368819962
1675.807864530767	0.0029602096868914228
1706.9949340384078	0.002991214092329726
1738.7624002162504	0.0030227954950288183
1771.1210643450886	0.003054964633005908
1804.0819287193826	0.003087732444114519
1837.6562003881704	0.003121110069763501
1871.8552949655793	0.0031551088587052135
1906.690840512252	0.003189740370894229
1942.1746814890264	0.0032250163814178416
1978.3188827841643	0.0032609488844997196
2015.1357338155585	0.0032954850801422326
2052.6377527092523	0.0033288706699138976
2090.8376905557498	0.003362877571191974
2129.748535745521	0.003397517346689315
2169.3835183851843	0.0034328017743028233
2209.756114795903	0.0034687428511180765
2250.880052095462	0.003505352797488449
2292.7693128656488	0.003542644061190177
2335.438139906479	0.0035806293216547247
2378.9010410788933	0.0036193214942799377
2423.1727942376006	0.0036587337348214094
2468.2684522556924	0.003698879443865587
2514.2033481427966	0.0037395544342338927
2560.9931002584594	0.0037768091014712016
2608.6536176225477	0.0038147570844048982
2657.2011053245064	0.0038534112857580693
2706.652070033241	0.0038927848483756634
2757.0233256095826	0.0039328911596932204
2808.3319988231724	0.003973743856288725
2860.5955351757416	0.004015356828519203
2913.831704832789	0.004057744225243586
2968.0586086656026	0.004100920458633478
3023.2946844057765	0.004144900209073448
3079.5587129142264	0.004189698430152526
3136.8698245668766	0.0042353303537485685
3195.2475057592133	0.004279013381682052
3254.711605531848	0.004321312894190359
3315.282342319423	0.004364399607823958
3376.9803108250912	0.004408288172529742
3439.8264890229243	0.004452993510892603
3503.8422452906757	0.0044985308232092765
3569.0493456752292	0.0045449155926566105
3635.4699612933177	0.004592163590556
3703.126675869927	0.004640290881735834
3772.0424934169973	0.004689313829993666
3842.240846055061	0.004739249103660123
3913.745601980384	0.004790113681266301
3986.581073580439	0.004841503745942704
4060.7720257003657	0.004888608308699721
4136.343684063274	0.004936589495384768
4213.321743847289	0.00498546362011831
4291.732378422157	0.005035247300629362
4371.602248248501	0.00508595746390572
4452.958509942655	0.0051376113519492886
4535.828825510186	0.005190226527638567
4620.241371751313	0.0052438208807002095
4706.224849841281	0.005298412633791725
4793.808495089106	0.005354020348697387
4883.02208687788	0.00541066293263943
4973.895958790063	0.005468359644706707
5066.461008921268	0.005523380094315862
5160.7487103859075	0.005576767118394111
5256.791122018419	0.005631147684074574
5354.620899273607	0.005686540281335537
5454.271305329836	0.005742963744256906
5555.7762223988775	0.005800437257424026
5659.170163246242	0.0058589803624506465
5764.488282925873	0.0059186129646232755
5871.766390733255	0.00597935533966918
5981.040962380945	0.006041228140650373
6092.349152400711	0.006104252404985847
6205.7288067765	0.006168449561604557
6321.218475812449	0.006233123872704573
6438.8574272404185	0.006292483807055236
6558.685659571435	0.006352948439884613
6680.743915695614	0.00641453832981936
6805.073696735206	0.006477274418085678
6931.717276155407	0.00654117803562956
7060.717714137772	0.0066062709103695124
7192.118872221193	0.006672575174584314
7325.96542821523	0.006740113372438224
7462.302891391108	0.006808908467646218
7601.17761795533	0.006878983851281934
7742.636826811269	0.0069503633497308565
7886.728615614156	0.007023071232791564
8033.501977124735	0.0070921543814801945
8183.00681586739	0.007159344774284641
8335.293965098195	0.007227785591732031
8490.415204088747	0.007297500104437726
8648.423275731726	0.007368512016087221
8809.37190447399	0.007440845471495606
8973.31581458352	0.007514525064817116
9140.310748756232	0.0075895758479073636
9310.413487069076	0.007666023338841257
9483.681866285926	0.007743893530589429
9660.174799522645	0.007823212899856111
9839.952296278227	0.007904008416081512
10023.075482838643	0.007985169364989827
10209.606623060476	0.008059799553528776
10399.609139541202	0.0081358186225752
10593.1476351837	0.00821325241943168
10790.287915161836	0.008292127272423474
10991.097009294961	0.00837246999985048
11195.643194838794	0.008454307919105706
11403.99601970033	0.008537668855963474
11616.22632608502	0.008622581154040526
11832.40627458378	0.00870907368443313
12052.609368708414	0.008797175855533553
12276.910479883603	0.00888691762302928
12505.385872903913	0.00897832950008819
12738.113231864783	0.009064888058743498
12975.171686575868	0.009149295908208286
13216.641839466038	0.00923527460211412
13462.60579298911	0.009322853374143332
13713.147177539455	0.009412062002022062
13968.351179887397	0.009502930817644977
14228.30457214352	0.009595490717388515
14493.09574126215	0.009689773172615901
14762.81471909391	0.009785810240377803
15037.553212997384	0.009883634574312026
15317.404637020798	0.009983279435746157
15602.46414366368	0.010084778705006747
15892.828656229764	0.010186443592895403
16188.596901781993	0.010280144574812104
16489.86944471065	0.010375589347946036
16796.74872092653	0.010472810364548493
17109.339072690134	0.010571840680812657
17427.746784089173	0.0106727139681131
17752.08011717636	0.010775464524454404
