Frequency [GHz]	Zx imag [Ohm/m]	Zy imag [Ohm/m]
2.900430493863991314e-10	8.882414527286557481e+06	2.167869265650894120e+07
2.995549334359813486e-10	8.882412246627030894e+06	2.167868983013521880e+07
3.093787571730138678e-10	8.882409891173886135e+06	2.167868691107131913e+07
3.195247505759212065e-10	8.882407458474287763e+06	2.167868389627750218e+07
3.300034791125284578e-10	8.882404945994956419e+06	2.167868078261433542e+07
3.408258547423451742e-10	8.882402351119540632e+06	2.167867756683941931e+07
3.520031472796679687e-10	8.882399671145880595e+06	2.167867424560402334e+07
3.635469961293320139e-10	8.882396903283201158e+06	2.167867081544960663e+07
3.754694224073336536e-10	8.882394044649207965e+06	2.167866727280419320e+07
3.877828414589456106e-10	8.882391092267081141e+06	2.167866361397867277e+07
4.005000757873611052e-10	8.882388043062373996e+06	2.167865983516294882e+07
4.136343684063274911e-10	8.882384893859814852e+06	2.167865593242197856e+07
4.271993966306778827e-10	8.882381641380000859e+06	2.167865190169166774e+07
4.412092863191189219e-10	8.882378282235985622e+06	2.167864773877463490e+07
4.556786265841064474e-10	8.882374812929740176e+06	2.167864343933584914e+07
4.706224849841281415e-10	8.882371229848528281e+06	2.167863899889812618e+07
4.860564232142136024e-10	8.882367529261128977e+06	2.167863441283743456e+07
5.019965133110081441e-10	8.882363707313958555e+06	2.167862967637811601e+07
5.184593543892912175e-10	8.882359760027052835e+06	2.167862478458788246e+07
5.354620899273606527e-10	8.882355683289932087e+06	2.167861973237269744e+07
5.530224256192902378e-10	8.882351472857311368e+06	2.167861451447147131e+07
5.711586478126431938e-10	8.882347124344680458e+06	2.167860912545057386e+07
5.898896425508497150e-10	8.882342633223744109e+06	2.167860355969817936e+07
6.092349152400710261e-10	8.882337994817700237e+06	2.167859781141842902e+07
6.292146109610343618e-10	8.882333204296372831e+06	2.167859187462538853e+07
6.498495354469890483e-10	8.882328256671184674e+06	2.167858574313680455e+07
6.711611767496282870e-10	8.882323146789954975e+06	2.167857941056770086e+07
6.931717276155404727e-10	8.882317869331538677e+06	2.167857287032369152e+07
7.159041085964887260e-10	8.882312418800288811e+06	2.167856611559413001e+07
7.393819919175865964e-10	8.882306789520328864e+06	2.167855913934502378e+07
7.636298261282244400e-10	8.882300975629640743e+06	2.167855193431169912e+07
7.886728615614152294e-10	8.882294971073964611e+06	2.167854449299123511e+07
8.145371766280743462e-10	8.882288769600497559e+06	2.167853680763466656e+07
8.412497049736117954e-10	8.882282364751368761e+06	2.167852887023888901e+07
8.688382635251186617e-10	8.882275749856930226e+06	2.167852067253834009e+07
8.973315814583522479e-10	8.882268918028803542e+06	2.167851220599640533e+07
9.267593301146878953e-10	8.882261862152703106e+06	2.167850346179649234e+07
9.571521538991863169e-10	8.882254574881037697e+06	2.167849443083289266e+07
9.885417021919573871e-10	8.882247048625253141e+06	2.167848510370125622e+07
1.020960662306046580e-09	8.882239435856904835e+06	2.167847547843446955e+07
1.054442793526168950e-09	8.882231663937859237e+06	2.167846554188270122e+07
