Frequency [GHz]	Zx real [Ohm/m]	Zy real [Ohm/m]
1.767043526088946692e-09	1.984183969923924224e+03	3.074187690395230220e+03
1.824993244816152494e-09	2.036527789546680424e+03	3.159129578594898248e+03
1.884843409033795523e-09	2.090588210701578646e+03	3.246857113246764584e+03
1.946656343342262358e-09	2.146421528875678632e+03	3.337461648879451332e+03
2.010496416260498236e-09	2.204085885751442220e+03	3.431037535968850079e+03
2.076430107255774870e-09	2.263641329752226738e+03	3.527682219189426633e+03
2.144526075971667793e-09	2.325149878573329715e+03	3.627496338887611273e+03
2.214855233726359314e-09	2.388675583763744726e+03	3.730583835883025131e+03
2.287490817355702788e-09	2.454284597425842549e+03	3.837052059706599721e+03
2.362508465477946229e-09	2.522045241102454838e+03	3.947011880388354257e+03
2.439986297259550245e-09	2.592028076923098979e+03	4.060577803911225146e+03
2.520004993764092080e-09	2.664305981083407005e+03	4.177868091451155124e+03
2.602647881969005809e-09	2.738954219734317576e+03	4.299004882527655354e+03
2.688001021537606561e-09	2.816050527360006072e+03	4.424114322193028784e+03
2.776153294436799262e-09	2.895675187726218610e+03	4.553326692392758559e+03
2.867196497493770032e-09	2.977911117483281942e+03	4.686776547633804512e+03
2.961225437988034610e-09	3.062843952510831059e+03	4.824602855102099966e+03
3.058338032378433485e-09	3.150562137094226728e+03	4.966949139375200502e+03
3.158635408267817403e-09	3.241157016025450503e+03	5.113963631880691537e+03
3.262222009711669644e-09	3.334722929724455753e+03	5.265799425256104769e+03
3.369205705980266915e-09	3.431357312479969551e+03	5.422614632770963908e+03
3.479697903887691433e-09	3.531160793912104054e+03	5.584572552977087980e+03
3.593813663804627762e-09	3.634237303762385636e+03	5.751841839758524657e+03
3.711671819475765297e-09	3.740694180120346118e+03	5.924596677958230430e+03
3.833395101766601886e-09	3.850642281199396166e+03	6.103016964764400655e+03
3.959110266468459240e-09	3.964196100778330219e+03	6.287288497045277836e+03
4.088948226294862618e-09	4.081473887428729995e+03	6.477603164827602996e+03
4.223044187206674123e-09	4.202597767652375296e+03	6.674159151120093156e+03
4.361537789208003199e-09	4.327693873056939992e+03	6.877161138290109193e+03
4.504573251759458750e-09	4.456892471702352850e+03	7.086820521208383980e+03
4.652299523960189308e-09	4.590328103754644872e+03	7.303355627383753017e+03
4.804870439655131104e-09	4.728139721588529937e+03	7.526991944317188427e+03
4.962444877628916452e-09	4.870470834484591251e+03	7.757962354311793206e+03
5.125186927053329472e-09	5.017469658071804588e+03	7.996507376983382528e+03
5.293266058360561204e-09	5.169289268670965612e+03	8.242875419724090534e+03
5.466857299720180771e-09	5.326087762699762607e+03	8.497323036379872065e+03
5.646141419303669251e-09	5.488028421305531992e+03	8.760115194411300763e+03
5.831305113526221869e-09	5.655279880397053603e+03	9.031525550815769748e+03
6.022541201461928965e-09	5.828016306252538016e+03	9.311836737098556114e+03
6.220048825634711276e-09	6.006417576886587085e+03	9.601340653589360954e+03
6.424033659394191079e-09	6.190669469365080658e+03	9.900338773410969225e+03
6.634708121092347870e-09	6.380963853262969678e+03	1.020914245641640446e+04
6.852291595284060743e-09	6.577498890466467856e+03	1.052807327342158169e+04
7.077010661181889919e-09	6.780479241527739759e+03	1.085746334107114308e+04
7.309099328602911004e-09	6.990116278786877956e+03	1.119765566768603094e+04
7.548799281653435948e-09	7.206628306483215965e+03	1.154900451045314367e+04
7.796360130405233414e-09	7.430240788085080567e+03	1.191187574432883230e+04
8.052039670825474778e-09	7.661186581074808601e+03	1.228664724304057199e+04
8.316104153230961616e-09	7.899706179433449506e+03	1.267370927258343363e+04
8.588828559546249041e-09	8.146047964077672987e+03	1.307346489762115198e+04
8.870496889654407999e-09	8.400468461509746703e+03	1.348633040121508384e+04
9.161402457138517586e-09	8.663232610949782611e+03	1.391273571831795380e+04
9.461848194721997291e-09	8.934614040228620070e+03	1.435312488348402803e+04
9.772146969725725887e-09	9.214895350728442281e+03	1.480795649326174134e+04
1.009262190987047331e-08	9.492500835629478388e+03	1.526257442367509066e+04
1.042360673976401127e-08	9.749058249294112102e+03	1.569366109506138127e+04
1.076544612842315905e-08	1.001402939456170316e+04	1.613888513826963026e+04
1.111849604819270880e-08	1.028769019750459483e+04	1.659871018461875065e+04
1.148312414543511117e-08	1.057032563311672493e+04	1.707361507009251363e+04
1.185971012337669343e-08	1.086223002207054742e+04	1.756409433397238536e+04
1.224864613750930795e-08	1.116370733720607859e+04	1.807065873382300560e+04
1.265033720395903769e-08	1.147302203975798511e+04	1.859117715187599970e+04
1.306520162124721228e-08	1.178067766070242760e+04	1.911345478535380971e+04
1.349367140588306343e-08	1.209842276525909983e+04	1.965286037380879134e+04
1.393619274224142065e-08	1.242658823533827126e+04	2.020995562393273940e+04
1.439322644719406651e-08	1.276551580403374282e+04	2.078532066343782208e+04
1.486524844997857277e-08	1.311555841148453510e+04	2.137955464516903157e+04
1.535275028780422776e-08	1.347708057240687776e+04	2.199327637102822700e+04
1.585623961771137302e-08	1.385021537946005810e+04	2.262680696363496463e+04
1.637624074521687477e-08	1.421852028341036930e+04	2.325881618265536599e+04
1.691329517029648562e-08	1.459890364795017740e+04	2.391155197458386829e+04
1.746796215127245689e-08	1.499176158295648565e+04	2.458569406182255261e+04
1.804081928719382751e-08	1.539750318862355743e+04	2.528194445808751334e+04
1.863246311931559514e-08	1.581655098147684839e+04	2.600102819944644216e+04
1.924350975230330612e-08	1.624934133435799049e+04	2.674369409933052157e+04
1.987459549580983990e-08	1.669632493083899317e+04	2.751071552830666405e+04
2.052637752709252173e-08	1.713901671849390914e+04	2.827793529888991543e+04
2.119953457536071000e-08	1.759356477584549793e+04	2.906681066016174736e+04
2.189476762856620985e-08	1.806301961488221059e+04	2.988155697742395569e+04
2.261280066337277307e-08	1.854787009951318396e+04	3.072302268174272467e+04
2.335438139906479724e-08	1.904862112580842950e+04	3.159208402825365920e+04
2.412028207618007283e-08	1.956579414776914200e+04	3.248964600864450767e+04
2.491130026067788373e-08	2.009992772034076916e+04	3.341664329356291273e+04
2.572825967447932303e-08	2.063163580560499031e+04	3.434754739983205945e+04
2.657201105324503850e-08	2.117376589601453088e+04	3.529966035509335779e+04
2.744343303228365032e-08	2.173367499740426865e+04	3.628299759947902203e+04
