Frequency [GHz]	Zx imag [Ohm/m]	Zy imag [Ohm/m]
3.195247505759212065e-10	2.357485394479342550e+07	6.656055629771239311e+07
3.300034791125284578e-10	2.357471145578002930e+07	6.656034111736979336e+07
3.408258547423451742e-10	2.357456429387763515e+07	6.656011888024554402e+07
3.520031472796679687e-10	2.357441230584010854e+07	6.655988935491438210e+07
3.635469961293320139e-10	2.357425533339563012e+07	6.655965230236152560e+07
3.754694224073336536e-10	2.357409321308192238e+07	6.655940747573373467e+07
3.877828414589456106e-10	2.357392577607598156e+07	6.655915462008232623e+07
4.005000757873611052e-10	2.357375284801831841e+07	6.655889347209760547e+07
4.136343684063274911e-10	2.357357424883136898e+07	6.655862375983474404e+07
4.271993966306778827e-10	2.357338979253195599e+07	6.655834520243053138e+07
4.412092863191189219e-10	2.357319928703765944e+07	6.655805750981090963e+07
4.556786265841064474e-10	2.357300253396674246e+07	6.655776038238896430e+07
4.706224849841281415e-10	2.357279932843161374e+07	6.655745351075285673e+07
4.860564232142136024e-10	2.357258945882543921e+07	6.655713657534372807e+07
5.019965133110081441e-10	2.357237270660178363e+07	6.655680924612280726e+07
5.184593543892912175e-10	2.357214884604706615e+07	6.655647118222783506e+07
5.354620899273606527e-10	2.357191764404546842e+07	6.655612203161806613e+07
5.530224256192902378e-10	2.357167885983620957e+07	6.655576143070764840e+07
5.711586478126431938e-10	2.357143224476281926e+07	6.655538900398704410e+07
5.898896425508497150e-10	2.357117754201421142e+07	6.655500436363197118e+07
6.092349152400710261e-10	2.357091448635724559e+07	6.655460710909957439e+07
6.292146109610343618e-10	2.357064280386053026e+07	6.655419682671128213e+07
6.498495354469890483e-10	2.357036221160916239e+07	6.655377308922205865e+07
6.711611767496282870e-10	2.357007241741013899e+07	6.655333545537546277e+07
6.931717276155404727e-10	2.356977311948804185e+07	6.655288346944419295e+07
7.159041085964887260e-10	2.356946400617082790e+07	6.655241666075548530e+07
7.393819919175865964e-10	2.356914475556524470e+07	6.655193454320096225e+07
7.636298261282244400e-10	2.356881503522163630e+07	6.655143661473049968e+07
7.886728615614152294e-10	2.356847450178775191e+07	6.655092235682931542e+07
8.145371766280743462e-10	2.356812280065118894e+07	6.655039123397813737e+07
8.412497049736117954e-10	2.356775956557014212e+07	6.654984269309543073e+07
8.688382635251186617e-10	2.356738441829198226e+07	6.654927616296153516e+07
8.973315814583522479e-10	2.356699696815941110e+07	6.654869105362376571e+07
9.267593301146878953e-10	2.356659681170361117e+07	6.654808675578213483e+07
9.571521538991863169e-10	2.356618353222411498e+07	6.654746264015477896e+07
9.885417021919573871e-10	2.356575669935487956e+07	6.654681805682273954e+07
1.020960662306046580e-09	2.356535110385487229e+07	6.654616087798596919e+07
1.054442793526168950e-09	2.356495210023650154e+07	6.654548697063704580e+07
1.089022962263730067e-09	2.356454001140143350e+07	6.654479096267727762e+07
1.124737178364752061e-09	2.356411440822349116e+07	6.654407212932305783e+07
1.161622632608501755e-09	2.356367484750342369e+07	6.654332972202168405e+07
1.199717735435884489e-09	2.356322087150738016e+07	6.654256296767190099e+07
1.239062156947916503e-09	2.356275200749025121e+07	6.654177106781876087e+07
1.279696868215940940e-09	2.356226776720337197e+07	6.654095319782222807e+07
1.321664183946605026e-09	2.356176764638609812e+07	6.654010850599841774e+07
1.365007806546013663e-09	2.356125112424069643e+07	6.653923611273269355e+07
1.409772871628966933e-09	2.356071766289000958e+07	6.653833510956368595e+07
1.456005995020649598e-09	2.356016670681733266e+07	6.653740455823729187e+07
1.503755321299737753e-09	2.355959768228795752e+07	6.653644348972962052e+07
1.553070573933460069e-09	2.355900999675168097e+07	6.653545090323787928e+07
1.604003107056820079e-09	2.355840303822579235e+07	6.653442576513823867e+07
1.656605958949914401e-09	2.355777617465776205e+07	6.653336700790943205e+07
1.710933907269014249e-09	2.355712875326706469e+07	6.653227352902114391e+07
1.767043526088946692e-09	2.355646009986542538e+07	6.653114418978585303e+07
1.824993244816152494e-09	2.355576951815473288e+07	6.652997781417309493e+07
1.884843409033795523e-09	2.355505628900196776e+07	6.652877318758480996e+07
1.946656343342262358e-09	2.355431966969034076e+07	6.652752905559049547e+07
2.010496416260498236e-09	2.355355889314586297e+07	6.652624412262095511e+07
2.076430107255774870e-09	2.355277316713856161e+07	6.652491705061913282e+07
2.144526075971667793e-09	2.355196167345748469e+07	6.652354645764678717e+07
2.214855233726359314e-09	2.355112356705868244e+07	6.652213091644533724e+07
2.287490817355702788e-09	2.355025797518521547e+07	6.652066895294967294e+07
2.362508465477946229e-09	2.354936399645830691e+07	6.651915904475308210e+07
2.439986297259550245e-09	2.354844069993870705e+07	6.651759961952196807e+07
2.520004993764092080e-09	2.354748712415726483e+07	6.651598905335845798e+07
2.602647881969005809e-09	2.354650227611370385e+07	6.651432566910936683e+07
2.688001021537606561e-09	2.354548513024257869e+07	6.651260773461975157e+07
2.776153294436799262e-09	2.354443462734528258e+07	6.651083346092909575e+07
2.867196497493770032e-09	2.354334967348708957e+07	6.650900100040841103e+07
2.961225437988034610e-09	2.354222913885797933e+07	6.650710844483619183e+07
3.058338032378433485e-09	2.354107185659609362e+07	6.650515382341133058e+07
3.158635408267817403e-09	2.353987662157268077e+07	6.650313510070085526e+07
3.262222009711669644e-09	2.353864218913709000e+07	6.650105017452025414e+07
3.369205705980266915e-09	2.353736727382070199e+07	6.649889687374450266e+07
3.479697903887691433e-09	2.353605054799829796e+07	6.649667295604707301e+07
3.593813663804627762e-09	2.353469064050553739e+07	6.649437610556493700e+07
3.711671819475765297e-09	2.353328613521111384e+07	6.649200393048697710e+07
3.833395101766601886e-09	2.353183556954208016e+07	6.648955396056328714e+07
3.959110266468459240e-09	2.353033743296080083e+07	6.648702364453272521e+07
4.088948226294862618e-09	2.352879016539196298e+07	6.648441034746627510e+07
4.223044187206674123e-09	2.352719215559799597e+07	6.648171134802310914e+07
4.361537789208003199e-09	2.352554173950123042e+07	6.647892383561675251e+07
4.504573251759458750e-09	2.352383719845101982e+07	6.647604490748831630e+07
4.652299523960189308e-09	2.352207675743402168e+07	6.647307156568367779e+07
4.804870439655131104e-09	2.352025858322581276e+07	6.647000071393166482e+07
4.962444877628916452e-09	2.351838078248186409e+07	6.646682915441967547e+07
5.125186927053329472e-09	2.351644139976591989e+07	6.646355358446373045e+07
5.293266058360561204e-09	2.351443841551371664e+07	6.646017059306919575e+07
5.466857299720180771e-09	2.351236974392992631e+07	6.645667665737880021e+07
5.646141419303669251e-09	2.351023323081611469e+07	6.645306813900408894e+07
5.831305113526221869e-09	2.350802665132749453e+07	6.644934128023664653e+07
6.022541201461928965e-09	2.350574770765608922e+07	6.644549220013504475e+07
6.220048825634711276e-09	2.350339402663791925e+07	6.644151689048336446e+07
6.424033659394191079e-09	2.350096315728173777e+07	6.643741121161736548e+07
6.634708121092347870e-09	2.349845256821669266e+07	6.643317088811361045e+07
6.852291595284060743e-09	2.349585964505629614e+07	6.642879150433729589e+07
7.077010661181889919e-09	2.349318168767597154e+07	6.642426849984407425e+07
7.309099328602911004e-09	2.349041590740126371e+07	6.641959716463102400e+07
7.548799281653435948e-09	2.348755942410390452e+07	6.641477263423196226e+07
7.796360130405233414e-09	2.348460926320257783e+07	6.640978988465181738e+07
8.052039670825474778e-09	2.348156235256537050e+07	6.640464372713498026e+07
8.316104153230961616e-09	2.347841551931063831e+07	6.639932880276197195e+07
8.588828559546249041e-09	2.347516548650292307e+07	6.639383957686897367e+07
8.870496889654407999e-09	2.347180886974054947e+07	6.638817033328437060e+07
9.161402457138517586e-09	2.346834217363130301e+07	6.638231516837623715e+07
9.461848194721997291e-09	2.346476178815250844e+07	6.637626798490459472e+07
9.772146969725725887e-09	2.346106398489176482e+07	6.637002248567213118e+07
1.009262190987047331e-08	2.345733666335283965e+07	6.636360811789549887e+07
1.042360673976401127e-08	2.345372021592125669e+07	6.635707473353037238e+07
1.076544612842315905e-08	2.344998516806565970e+07	6.635032708857647330e+07
1.111849604819270880e-08	2.344612763031693175e+07	6.634335815641521662e+07
1.148312414543511117e-08	2.344214358565186709e+07	6.633616067999197543e+07
1.185971012337669343e-08	2.343802888531005383e+07	6.632872716425894201e+07
1.224864613750930795e-08	2.343377924447361007e+07	6.632104986837022752e+07
1.265033720395903769e-08	2.342941014164764062e+07	6.631313113511259109e+07
1.306520162124721228e-08	2.342501238166183978e+07	6.630501224282176793e+07
1.349367140588306343e-08	2.342047039831625670e+07	6.629662709363479912e+07
1.393619274224142065e-08	2.341577946184447780e+07	6.628796695572812855e+07
1.439322644719406651e-08	2.341093468736865744e+07	6.627902281092042476e+07
1.486524844997857277e-08	2.340593102981269360e+07	6.626978534528151900e+07
1.535275028780422776e-08	2.340076327864857391e+07	6.626024493943337351e+07
1.585623961771137302e-08	2.339542857719764486e+07	6.625039311404132843e+07
1.637624074521687477e-08	2.339009597215851396e+07	6.624032026820627600e+07
1.691329517029648562e-08	2.338458848576669767e+07	6.622991708609238267e+07
1.746796215127245689e-08	2.337890038283511251e+07	6.621917273440997303e+07
1.804081928719382751e-08	2.337302574009276181e+07	6.620807602459448576e+07
1.863246311931559514e-08	2.336695844001655281e+07	6.619661540115542710e+07
1.924350975230330612e-08	2.336069216446087137e+07	6.618477892964305729e+07
1.987459549580983990e-08	2.335422038807821274e+07	6.617255428422056884e+07
2.052637752709252173e-08	2.334774573117785901e+07	6.616006265131818503e+07
2.119953457536071000e-08	2.334108814518485963e+07	6.614718016786216199e+07
2.189476762856620985e-08	2.333421222544400021e+07	6.613387520681475848e+07
2.261280066337277307e-08	2.332711081175854057e+07	6.612013391313661635e+07
2.335438139906479724e-08	2.331977650911501423e+07	6.610594197741606832e+07
2.412028207618007283e-08	2.331220167998249084e+07	6.609128462096817046e+07
2.491130026067788373e-08	2.330437843635922670e+07	6.607614658044490963e+07
2.572825967447932303e-08	2.329653240952258930e+07	6.606067801999949664e+07
2.657201105324503850e-08	2.328851131196169928e+07	6.604476054187307507e+07
2.744343303228365032e-08	2.328022716465660930e+07	6.602832105431866646e+07
2.834343306151309448e-08	2.327167134096146375e+07	6.601134243817702681e+07
2.927294835042816131e-08	2.326283493132189661e+07	6.599380701287066191e+07
3.023294684405776334e-08	2.325370873399707302e+07	6.597569651799229532e+07
3.122442823092858392e-08	2.324428324547754228e+07	6.595699209428946674e+07
3.224842498408442807e-08	2.323479984183654934e+07	6.593787199193916470e+07
3.330600343624588813e-08	2.322517061014658213e+07	6.591825487232085317e+07
3.439826489022924478e-08	2.321522559038475528e+07	6.589799441452364624e+07
3.552634676578139226e-08	2.320495442636591569e+07	6.587706952044440806e+07
3.669142378402493899e-08	2.319434642227657884e+07	6.585545840007342398e+07
3.789470919074667737e-08	2.318339053153693303e+07	6.583313854880339652e+07
3.913745601980383687e-08	2.317207534529755265e+07	6.581008672399450094e+07
4.042095839796305955e-08	2.316064423042728752e+07	6.578650151032126695e+07
4.174655289253134782e-08	2.314912896616587788e+07	6.576239645593466610e+07
4.311561990318228626e-08	2.313723606190004200e+07	6.573750088275154680e+07
4.452958509942655287e-08	2.312495313302706927e+07	6.571178886591992527e+07
4.598992090522439315e-08	2.311226738879452646e+07	6.568523363038922101e+07
4.749814803228499868e-08	2.309916561898068711e+07	6.565780752302823961e+07
4.905583706365045989e-08	2.308563418013814092e+07	6.562948198382877558e+07
5.066461008921269181e-08	2.307189544139755517e+07	6.560045588473848999e+07
5.232614239486661694e-08	2.305818165044483170e+07	6.557093711718531698e+07
5.404216420705915059e-08	2.304401811939422041e+07	6.554045028956367075e+07
5.581446249454960394e-08	2.302939009913977608e+07	6.550896365460310876e+07
5.764488282925879445e-08	2.301428235688258335e+07	6.547644442388997972e+07
