# Time (s)	Wake dip x [V/C/m]
1000.0	-14583.86443340987
1018.6101701559753	-14584.042640892872
1037.566678745186	-14584.22416484746
1056.875971184804	-14584.40621936964
1076.544612842316	-14584.567290182524
1096.5792912678098	-14584.731358550638
1116.9868184678226	-14584.898480259002
1137.7741332214914	-14585.068712130795
1158.9483034398106	-14585.242112046688
1180.5165285688056	-14585.41873896452
1202.4861420374123	-14585.598652939349
1224.8646137509306	-14585.78191514386
1247.6595526308697	-14585.968587889183
1270.8787092020582	-14586.158734646058
1294.529978227916	-14586.352420066434
1318.6214013947485	-14586.549710005438
1343.1611700460153	-14586.65416377458
1368.1576279674719	-14586.700351683123
1393.6192742241421	-14586.747399156504
1419.5547660501015	-14586.795322191369
1445.9729217920196	-14586.844137082071
1472.8827239075017	-14586.893860426191
1500.2933220192183	-14586.944509130206
1528.2140360258693	-14586.996100415221
1556.654359271062	-14587.048651822832
1585.6239617711371	-14587.102181221078
1615.1326935030913	-14587.156706810532
1645.1905877536624	-14587.212247130487
1675.8078645307671	-14587.252801806419
1706.994934038408	-14587.186373794393
1738.7624002162504	-14587.118709545763
1771.1210643450886	-14587.049786053953
1804.0819287193829	-14586.97957988423
1837.6562003881704	-14586.908067165745
1871.8552949655793	-14586.835223583399
1906.690840512252	-14586.761024369593
1942.1746814890264	-14586.68544429579
1978.3188827841643	-14586.608457663953
2015.1357338155585	-14586.530038297798
2052.6377527092523	-14586.450159533899
2090.83769055575	-14586.368794212609
2129.748535745521	-14586.359900774883
2169.3835183851843	-14586.392302605998
2209.756114795903	-14586.425307440706
2250.880052095462	-14586.458926501
2292.7693128656488	-14586.49317121773
2335.438139906479	-14586.528053234464
2378.9010410788933	-14586.563584411462
2423.1727942376006	-14586.599776829713
2468.2684522556924	-14586.636642795025
2514.2033481427966	-14586.674194842226
2560.9931002584594	-14586.712445739415
2608.6536176225477	-14586.751408492308
2657.201105324507	-14586.78709597729
2706.652070033241	-14586.801518221122
2757.0233256095826	-14586.816208865368
2808.3319988231724	-14586.831172905
2860.595535175742	-14586.846415427955
2913.8317048327885	-14586.861941616859
2968.058608665602	-14586.87775675078
3023.2946844057765	-14586.893866207032
3079.5587129142264	-14586.91027546301
3136.8698245668766	-14586.92699009803
3195.2475057592137	-14586.944015795254
3254.711605531848	-14586.961358343598
3315.282342319423	-14586.97902363972
3376.9803108250912	-14587.011968965067
3439.8264890229248	-14587.053027570193
3503.8422452906757	-14587.09485028295
3569.0493456752297	-14587.137451323506
3635.4699612933177	-14587.180845176676
3703.126675869927	-14587.225046596835
3772.0424934169973	-14587.270070612945
3842.240846055061	-14587.31593253366
3913.745601980384	-14587.36264795252
3986.581073580439	-14587.410232753273
4060.7720257003652	-14587.458703115266
4136.343684063274	-14587.508075518945
4213.321743847289	-14587.520961300066
4291.732378422157	-14587.36266842532
4371.602248248502	-14587.201429693241
4452.958509942656	-14587.037190280924
4535.828825510186	-14586.869894345198
4620.241371751313	-14586.699485003639
4706.224849841282	-14586.525904315238
4793.808495089107	-14586.349093260691
4883.02208687788	-14586.168991722336
4973.895958790063	-14585.985538463703
5066.461008921268	-14585.798671108712
5160.7487103859075	-14585.608326120448
5256.791122018419	-14585.414438779564
5354.620899273607	-14585.31598140533
5454.271305329837	-14585.259974982559
5555.7762223988775	-14585.20292627073
5659.170163246243	-14585.144815872662
5764.488282925873	-14585.085624030204
5871.766390733255	-14585.025330617482
5981.040962380944	-14584.96391513409
6092.349152400711	-14584.901356698103
6205.7288067765	-14584.837634038977
6321.218475812449	-14584.772725490324
6438.857427240419	-14584.706608982535
6558.685659571435	-14584.639262035284
6680.743915695614	-14584.555740852817
6805.073696735207	-14584.412438456466
6931.7172761554075	-14584.266469178132
7060.717714137772	-14584.117783386693
7192.118872221193	-14583.966330527377
7325.9654282152305	-14583.812059104575
7462.302891391108	-14583.654916664349
7601.17761795533	-14583.494849776569
7742.63682681127	-14583.33180401677
7886.728615614156	-14583.165723947639
8033.501977124734	-14582.996553100162
8183.006815867389	-14582.824233954429
8335.293965098195	-14582.64870792007
8490.415204088747	-14582.350892121625
8648.423275731726	-14582.000350534587
8809.37190447399	-14581.643285308963
8973.31581458352	-14581.279575038734
9140.310748756232	-14580.909096058489
9310.413487069076	-14580.531722401383
9483.681866285928	-14580.147325756307
9660.174799522645	-14579.755775424255
9839.952296278227	-14579.3569382739
10023.075482838643	-14578.950678696314
10209.606623060476	-14578.536858558862
10399.609139541202	-14578.115337158237
10593.147635183701	-14577.691781100402
10790.287915161836	-14577.279919847262
10991.097009294961	-14576.86039378612
11195.643194838794	-14576.433060273599
11403.996019700331	-14575.997774011694
11616.226326085018	-14575.554386998389
11832.40627458378	-14575.102748477319
12052.609368708414	-14574.642704886526
12276.910479883603	-14574.174099806227
12505.385872903913	-14573.69677390565
12738.113231864785	-14573.210564888841
12975.171686575868	-14572.7153074395
13216.641839466038	-14572.210833164752
13462.60579298911	-14571.546194704688
13713.147177539457	-14570.816547839007
13968.351179887397	-14570.073322121001
14228.30457214352	-14569.31626484592
14493.095741262152	-14568.54511860613
14762.81471909391	-14567.759621203602
15037.553212997384	-14566.959505560759
15317.404637020798	-14566.144499629658
15602.46414366368	-14565.314326299498
15892.828656229764	-14564.468703302407
16188.596901781992	-14563.607343117454
16489.86944471065	-14562.729952872889
16796.74872092653	-14561.784428371513
17109.339072690134	-14560.668939579115
17427.746784089173	-14559.532691350483
17752.08011717636	-14558.375297348975
18082.44934877952	-14557.196364048163
18418.96680799711	-14555.99549059802
18761.746914391195	-14554.772268688635
19110.90621689136	-14553.526282411376
19466.563433422634	-14552.257108117485
19828.839491270715	-14550.96431427403
20197.857568198782	-14549.647461317169
20573.743134329117	-14548.30610150271
20956.623994804308	-14546.939778753864
21346.630333242454	-14545.294693603111
21743.8947560008	-14543.541750287579
22148.552337263594	-14541.756184398668
22560.74066496859	-14539.937388824741
22980.599887588487	-14538.084745155702
23408.272761782944	-14536.197623472744
23843.904700937204	-14534.275382134165
24287.643824604504	-14532.31736755719
24739.641008868115	-14530.322913995771
25200.049937640895	-14528.291343314208
25669.02715491952	-14526.221964756574
26146.73211801092	-14524.114074711866
26633.327251749808	-14521.7697299947
27128.978003724646	-14518.871132192471
27633.85290053167	-14515.918590991932
28148.123605075813	-14512.911102497257
28671.9649749377	-14509.847644129954
29205.555121827452	-14506.72717428117
29749.075472144435	-14503.548631957532
30302.71082866393	-14500.310936420403
30866.649433372746	-14497.012986818416
31441.083031472648	-14493.65366181317
32026.206936576502	-14490.231819197968
32622.220097116733	-14486.746295509449
33229.325163989684	-14483.195905632007
33847.72855945983	-14482.452708049643
34477.64054734464	-14482.452708049643
35119.275304507275	-14482.452708049643
35772.850993678774	-14482.452708049643
36438.58983763541	-14482.452708049643
37116.71819475767	-14482.452708049643
37807.46663599349	-14482.452708049643
38511.07002325569	-14482.452708049643
39227.76758927724	-14482.452708049643
39957.803018952654	-14482.452708049643
40701.42453219439	-14482.452708049643
41458.88496832911	-14482.452708049643
42230.44187206672	-14482.452708049643
43016.357581068	-14482.452708049643
43816.89931514195	-14482.452708049643
44632.33926710398	-14482.452708049643
45462.95469532399	-14482.452708049643
46309.02801799737	-14482.452708049643
47170.84690917022	-14482.452708049643
48048.70439655134	-14482.452708049643
48942.898961145314	-14482.452708049643
49853.73463873893	-14482.452708049643
50781.5211232767	-14482.452708049643
51726.57387216025	-14482.452708049643
52689.21421350677	-14482.452708049643
53669.76945540476	-14482.452708049643
54668.57299720181	-14482.452708049643
55685.96444286409	-14482.452708049643
56722.28971644549	-14482.452708049643
57777.90117970507	-14482.452708049643
58853.15775191451	-14482.452708049643
59948.42503189409	-14482.452708049643
61064.07542232036	-14482.452708049643
62200.48825634718	-14482.452708049643
63358.04992658254	-14482.452708049643
64537.15401646702	-14482.452708049643
65738.20143409586	-14482.452708049643
66961.60054853215	-14482.452708049643
68207.76732865692	-14482.452708049643
69477.1254846024	-14482.452708049643
70770.10661181889	-14482.452708049643
72087.15033782135	-14482.452708049643
