# Frequency (Hz)	Real Part (Ohm)
0.1	69068194.1717222
0.10002620760039366	69081851.94566242
0.10005242206917049	69095513.29897745
0.10007864340813055	69109178.23260535
0.10010487161907435	69122846.74748448
0.10013110670380286	69136518.84455334
0.10015734866411753	69150194.52475077
0.10018359750182028	69163873.78901581
0.10020985321871355	69177556.63828778
0.10023611581660018	69191243.0735062
0.10026238529728351	69204933.09561089
0.10028866166256738	69218626.70554185
0.10031494491425605	69232323.90423937
0.10034123505415429	69246024.69264403
0.10036753208406735	69259729.07169653
0.1003938360058009	69273437.04233792
0.10042014682116117	69287148.60550952
0.10044646453195478	69300863.76215278
0.10047278913998887	69314582.51320948
0.10049912064707103	69328304.85962164
0.10052545905500933	69342030.8023315
0.10055180436561235	69355760.3422816
0.10057815658068911	69369493.48041463
0.10060451570204908	69383230.21767366
0.10063088173150224	69396970.55500188
0.10065725467085905	69410714.49334282
0.10068363452193041	69424462.03364019
0.10071002128652773	69438213.17683797
0.10073641496646286	69451967.92388041
0.10076281556354817	69465726.27571201
0.10078922307959647	69479488.23327745
0.10081563751642103	69493253.79752177
0.10084205887583565	69507022.96939014
0.10086848715965456	69520795.74982806
0.10089492236969247	69534572.13978122
0.10092136450776461	69548352.14019562
0.10094781357568662	69562135.75201745
0.10097426957527468	69575922.97619322
0.10100073250834538	69589713.81366958
0.10102720237671582	69603508.26539353
0.1010536791822036	69617306.33231226
0.10108016292662676	69631108.01537323
0.10110665361180383	69644913.31552413
0.10113315123955381	69658722.23371296
0.10115965581169618	69672534.77088784
0.10118616733005091	69686350.9279973
0.10121268579643843	69700170.70599002
0.10123921121267962	69713994.10581489
0.10126574358059592	69727821.12842116
0.10129228290200919	69741651.77475826
0.10131882917874176	69755486.04577589
0.10134538241261645	69769323.942424
0.10137194260545658	69783165.46565276
0.1013985097590859	69797010.61641261
0.10142508387532868	69810859.39565425
0.10145166495600966	69824711.8043286
0.10147825300295404	69838567.84338687
0.10150484801798751	69852427.51378049
0.10153145000293626	69866290.81646113
0.10155805895962691	69880157.75238076
0.10158467488988658	69894028.32249151
0.10161129779554291	69907902.52774587
