#Parameters = {offset=1.6737640984764; C_1=25.815589753809; C_2=96.34509258857; Conductivity_MoGr=1000000; Ip=99.743779456351; Pipe_lenght=40; Pipe_r=30; beta=1; cells_wave=20; d=-346.34509258857; half_gap_x=4.1844102461909; half_gap_y=30; half_gap_z=125; offset_x=1; offset_y=5; sigma_z=5; teta=15; thcoll=25.815589753809; translate_z=-221.34509258857; wakelength=20000}
#"s / mm"	"X [Real Part / V/pC]"
#-------------------------------
-42.744605171828	0.0000000000000
-42.497838551679	3.1597012966137e-12
-42.251071931529	7.2178494739429e-12
-42.004305311379	1.1602695983135e-11
-41.757538691230	1.7085189734241e-11
-41.510772071080	2.3934035992788e-11
-41.264005450930	3.2482114475353e-11
-41.017238830780	4.3141392667867e-11
-40.770472210631	5.6421215801359e-11
-40.523705590481	7.2950896446501e-11
-40.276938970331	9.3507375034791e-11
-40.030172350182	1.1904874531512e-10
-39.783405730032	1.5075486621426e-10
-39.536639109882	1.9007729418700e-10
-39.289872489733	2.3880045375836e-10
-39.043105869583	2.9911637900591e-10
-38.796339249433	3.7371506427088e-10
-38.549572629283	4.6589306794671e-10
-38.302806009134	5.7968669688939e-10
-38.056039388984	7.2003441976815e-10
-37.809272768834	8.9297203631943e-10
-37.562506148685	1.1058684024335e-09
-37.315739528535	1.3677089932371e-09
-37.068972908385	1.6894406862282e-09
-36.822206288235	2.0843880907262e-09
-36.575439668086	2.5687485670918e-09
-36.328673047936	3.1621974347047e-09
-36.081906427786	3.8886160504689e-09
-35.835139807637	4.7769488634030e-09
-35.588373187487	5.8622302330643e-09
-35.341606567337	7.1868115250783e-09
-35.094839947187	8.8018631321991e-09
-34.848073327038	1.0769177987602e-08
-34.601306706888	1.3163279643586e-08
-34.354540086738	1.6073903389454e-08
-34.107773466589	1.9608963044982e-08
-33.861006846439	2.3898154786481e-08
-33.614240226289	2.9097208716812e-08
-33.367473606140	3.5392800176588e-08
-33.120706985990	4.3008415531369e-08
-32.873940365840	5.2211460789617e-08
-32.627173745690	6.3321637906223e-08
-32.380407125541	7.6720638568934e-08
-32.133640505391	9.2863441734637e-08
-31.886873885241	1.1229175106475e-07
-31.640107265092	1.3565008724087e-07
-31.393340644942	1.6370436676227e-07
-31.146574024792	1.9736331378232e-07
-30.899807404642	2.3770409763765e-07
-30.653040784493	2.8600241788733e-07
-30.406274164343	3.4376684083857e-07
-30.159507544193	4.1277872939683e-07
-29.912740924044	4.9513971427081e-07
-29.665974303894	5.9332771874270e-07
-29.419207683744	7.1025952313789e-07
-29.172441063595	8.4936120029617e-07
-28.925674443445	1.0146517525895e-06
-28.678907823295	1.2108437088180e-06
-28.432141203145	1.4434605586266e-06
-28.185374582996	1.7189650883273e-06
-27.938607962846	2.0449018930940e-06
-27.691841342696	2.4300649710193e-06
-27.445074722547	2.8846972404670e-06
-27.198308102397	3.4207206607000e-06
-26.951541482247	4.0519932952073e-06
-26.704774862097	4.7945915346706e-06
-26.458008241948	5.6671368878912e-06
-26.211241621798	6.6911780679348e-06
-25.964475001648	7.8916259063609e-06
-25.717708381499	9.2972331234341e-06
-25.470941761349	1.0941121954432e-05
-25.224175141199	1.2861397342474e-05
-24.977408521049	1.5101844861754e-05
-24.730641900900	1.7712720766536e-05
-24.483875280750	2.0751621122595e-05
-24.237108660600	2.4284440410204e-05
-23.990342040451	2.8386457369051e-05
-23.743575420301	3.3143534567408e-05
-23.496808800151	3.8653464748392e-05
-23.250042180002	4.5027482870313e-05
-23.003275559852	5.2391957691015e-05
-22.756508939702	6.0890182686531e-05
-22.509742319552	7.0684284849258e-05
-22.262975699403	8.1957470724736e-05
-22.016209079253	9.4916595950715e-05
-21.769442459103	0.00010979481696277
-21.522675838954	0.00012685436018010
-21.275909218804	0.00014638980212508
-21.029142598654	0.00016873146327324
-20.782375978504	0.00019424903190864
-20.535609358355	0.00022335540891123
-20.288842738205	0.00025651106856279
-20.042076118055	0.00029422915199564
-19.795309497906	0.00033708048310394
-19.548542877756	0.00038569860699598
-19.301776257606	0.00044078515352771
-19.055009637457	0.00050311538930531
-18.808243017307	0.00057354454591506
-18.561476397157	0.00065301573988609
-18.314709777007	0.00074256768486155
-18.067943156858	0.00084334075992158
-17.821176536708	0.00095658242231743
-17.574409916558	0.0010836556549886
-17.327643296409	0.0012260497106166
-17.080876676259	0.0013853883526410
-16.834110056109	0.0015634351804989
-16.587343435959	0.0017620996028530
-16.340576815810	0.0019834491320728
-16.093810195660	0.0022297223514799
-15.847043575510	0.0025033397341380
-15.600276955361	0.0028069060749084
-15.353510335211	0.0031432065750164
-15.106743715061	0.0035152127142834
-14.859977094911	0.0039260989931197
-14.613210474762	0.0043792637266440
-14.366443854612	0.0048783304123840
-14.119677234462	0.0054271437838345
-13.872910614313	0.0060297731563692
-13.626143994163	0.0066905066955434
-13.379377374013	0.0074138502601624
-13.132610753864	0.0082045411621494
-12.885844133714	0.0090675556134599
-12.639077513564	0.010008095302648
-12.392310893414	0.011031563556125
-12.145544273265	0.012143569824542
-11.898777653115	0.013349944653435
-11.652011032965	0.014656718993768
-11.405244412816	0.016070060360729
-11.158477792666	0.017596246719806
-10.911711172516	0.019241733905565
-10.664944552366	0.021013186318266
-10.418177932217	0.022917362554014
-10.171411312067	0.024960990306051
-9.9246446919174	0.027150787983148
-9.6778780717676	0.029493561955734
-9.4311114516179	0.031996185722984
-9.1843448314682	0.034665414999115
-8.9375782113185	0.037507760455050
-8.6908115911688	0.040529581960336
-8.4440449710191	0.043737222102048
-8.1972783508694	0.047136847979640
-7.9505117307197	0.050734170283810
-7.7037451105700	0.054534484429431
-7.4569784904203	0.058542917993289
-7.2102118702706	0.062764344214825
-6.9634452501209	0.067202925031279
-6.7166786299712	0.071861992333528
-6.4699120098215	0.076744394553924
-6.2231453896717	0.081852654132806
-5.9763787695220	0.087188619558753
-5.7296121493723	0.092753081434043
-5.4828455292226	0.098546023192927
-5.2360789090729	0.10456693437466
-4.9893122889232	0.11081452210626
-4.7425456687735	0.11728611128168
-4.4957790486238	0.12397772308874
-4.2490124284741	0.13088484214374
-4.0022458083244	0.13800248916540
-3.7554791881747	0.14532449128457
-3.5087125680250	0.15284290481410
-3.2619459478753	0.16054831608451
-3.0151793277256	0.16843074012189
-2.7684127075758	0.17647961997829
-2.5216460874261	0.18468309240565
-2.2748794672764	0.19302765115322
-2.0281128471267	0.20149863269480
-1.7813462269770	0.21008078476040
-1.5345796068273	0.21875782427009
-1.2878129866776	0.22751182394506
-1.0410463665279	0.23632358354037
-0.79427974637819	0.24517352557088
-0.54751312622848	0.25404174799603
-0.30074650607877	0.26290725552620
-0.053979885929067	0.27174765519390
0.19278673422064	0.28053982253527
0.43955335437035	0.28926045423579
0.68631997452006	0.29788595089202
0.93308659466976	0.30639223599899
1.1798532148195	0.31475489483173
1.4266198349692	0.32294965386330
1.6733864551189	0.33095252417794
1.9201530752686	0.33873921289920
2.1669196954183	0.34628510121825
2.4136863155680	0.35356632209776
2.6604529357177	0.36056039570633
2.9072195558674	0.36724577293598
3.1539861760171	0.37360117389777
3.4007527961668	0.37960583585331
3.6475194163165	0.38524056938303
3.8942860364663	0.39048800586769
4.1410526566160	0.39533190520982
4.3878192767657	0.39975724286202
4.6345858969154	0.40375118384675
4.8813525170651	0.40730349816548
5.1281191372148	0.41040563092454
5.3748857573645	0.41304968633325
5.6216523775142	0.41522924808056
5.8684189976639	0.41694100549446
6.1151856178136	0.41818502297139
6.3619522379633	0.41896347099293
6.6087188581130	0.41927951588570
6.8554854782627	0.41913774020769
7.1022520984124	0.41854514939154
7.3490187185622	0.41751135818111
7.5957853387119	0.41604793604496
7.8425519588616	0.41416796884680
8.0893185790113	0.41188619219034
8.3360851991610	0.40921895698961
8.5828518193107	0.40618375025153
8.8296184394604	0.40279897356849
9.0763850596101	0.39908426952034
9.3231516797598	0.39506064191214
9.5699182999095	0.39074981175980
9.8166849200592	0.38617340638126
10.063451540209	0.38135297258527
10.310218160359	0.37631059027517
10.556984780508	0.37106889944535
10.803751400658	0.36565011424195
11.050518020808	0.36007517663588
11.297284640957	0.35436414710041
11.544051261107	0.34853715067251
11.790817881257	0.34261432687864
12.037584501407	0.33661462923503
12.284351121556	0.33055497810366
12.531117741706	0.32445077886936
12.777884361856	0.31831688549010
13.024650982005	0.31216758834632
13.271417602155	0.30601571641566
13.518184222305	0.29987219755647
13.764950842455	0.29374664531253
14.011717462604	0.28764803328453
14.258484082754	0.28158449447310
14.505250702904	0.27556263431509
14.752017323053	0.26958741325728
14.998783943203	0.26366277433502
15.245550563353	0.25779218670770
15.492317183502	0.25197855135745
15.739083803652	0.24622385872998
15.985850423802	0.24052917966900
16.232617043952	0.23489494364868
16.479383664101	0.22932112547027
16.726150284251	0.22380730397170
16.972916904401	0.21835280519620
17.219683524550	0.21295686846781
17.466450144700	0.20761858883282
17.713216764850	0.20233675135084
17.959983385000	0.19710996091436
18.206750005149	0.19193706826963
18.453516625299	0.18681734440106
18.700283245449	0.18175013748991
18.947049865598	0.17673455350429
19.193816485748	0.17176976156065
19.440583105898	0.16685561086683
19.687349726048	0.16199268190064
19.934116346197	0.15718163678655
20.180882966347	0.15242277631573
20.427649586497	0.14771649118870
20.674416206646	0.14306404551413
20.921182826796	0.13846762645702
21.167949446946	0.13392957598962
21.414716067095	0.12945180679737
21.661482687245	0.12503610391990
21.908249307395	0.12068482243456
22.155015927545	0.11640106909720
22.401782547694	0.11218824258609
22.648549167844	0.10804959055789
22.895315787994	0.10398822824527
23.142082408143	0.10000738356253
23.388849028293	0.096110478881360
23.635615648443	0.092301028929237
23.882382268593	0.088582535898040
24.129148888742	0.084958410125128
24.375915508892	0.081431882119804
24.622682129042	0.078006007533820
24.869448749191	0.074683811981502
25.116215369341	0.071468344350832
25.362981989491	0.068362419402651
25.609748609640	0.065368286390670
25.856515229790	0.062487688325634
26.103281849940	0.059722282888447
26.350048470090	0.057073817363425
26.596815090239	0.054543724253888
26.843581710389	0.052132643151813
27.090348330539	0.049840543286936
27.337114950688	0.047667280789846
27.583881570838	0.045612778469431
27.830648190988	0.043676549215932
28.077414811138	0.041857244629062
28.324181431287	0.040152883266938
28.570948051437	0.038561423465022
28.817714671587	0.037080863500776
29.064481291736	0.035708771712689
29.311247911886	0.034441981318710
29.558014532036	0.033276905825151
29.804781152186	0.032210002373122
30.051547772335	0.031237736720826
30.298314392485	0.030356183517995
30.545081012635	0.029560911694251
30.791847632784	0.028847318599612
31.038614252934	0.028210913584907
31.285380873084	0.027647208300656
31.532147493233	0.027151512920516
31.778914113383	0.026719030590399
32.025680733533	0.026345102690437
32.272447353683	0.026025219798198
32.519213973832	0.025754830712553
32.765980593982	0.025529325519437
33.012747214132	0.025344256010000
33.259513834281	0.025195444333027
33.506280454431	0.025078842836319
33.753047074581	0.024990479250117
33.999813694731	0.024926708334675
34.246580314880	0.024884408842725
34.493346935030	0.024860716708798
34.740113555180	0.024852586322183
34.986880175329	0.024856861570492
35.233646795479	0.024870888290771
35.480413415629	0.024892870986220
35.727180035778	0.024921452345129
35.973946655928	0.024955062708163
36.220713276078	0.024991918344298
36.467479896228	0.025030628871307
36.714246516377	0.025070531333156
36.961013136527	0.025111306702543
37.207779756677	0.025152469947353
37.454546376826	0.025193442641160
37.701312996976	0.025234014656188
37.948079617126	0.025274468596065
38.194846237276	0.025315210318481
38.441612857425	0.025356480781989
38.688379477575	0.025398528439229
38.935146097725	0.025441892415651
39.181912717874	0.025487330914266
39.428679338024	0.025535529351480
39.675445958174	0.025587038850975
39.922212578324	0.025642475150699
40.168979198473	0.025702592814177
40.415745818623	0.025768107705854
40.662512438773	0.025839590018898
40.909279058922	0.025917618763649
41.156045679072	0.026002910600350
41.402812299222	0.026096142460833
41.649578919371	0.026197700259732
41.896345539521	0.026307756167661
42.143112159671	0.026426577993499
42.389878779821	0.026554586830409
42.636645399970	0.026692057293287
42.883412020120	0.026838920771048
43.130178640270	0.026994984551790
43.376945260419	0.027160222050945
43.623711880569	0.027334660285635
43.870478500719	0.027518019111149
44.117245120869	0.027709657780830
44.364011741018	0.027908926079210
44.610778361168	0.028115395161352
44.857544981318	0.028328630117594
45.104311601467	0.028547869712295
45.351078221617	0.028772101752265
45.597844841767	0.029000391836969
45.844611461916	0.029231929369631
46.091378082066	0.029465714116445
46.338144702216	0.029700385672358
46.584911322366	0.029934487362164
46.831677942515	0.030166790519736
47.078444562665	0.030396210420151
47.325211182815	0.030621449251234
47.571977802964	0.030840870819931
47.818744423114	0.031052726770545
48.065511043264	0.031255365307616
48.312277663414	0.031447183439998
48.559044283563	0.031626517739498
48.805810903713	0.031791676431313
49.052577523863	0.031940967898770
49.299344144012	0.032072563910192
49.546110764162	0.032184407593223
49.792877384312	0.032274434465318
50.039644004462	0.032340890570804
50.286410624611	0.032382257548103
50.533177244761	0.032396799383229
50.779943864911	0.032382351987900
51.026710485060	0.032336713432220
51.273477105210	0.032258138673974
51.520243725360	0.032145250838846
51.767010345509	0.031996496882359
52.013776965659	0.031809933011089
52.260543585809	0.031583650712464
52.507310205959	0.031316231839748
52.754076826108	0.031006599746725
53.000843446258	0.030653520871709
53.247610066408	0.030255491021196
53.494376686557	0.029811146064614
53.741143306707	0.029319596215901
53.987909926857	0.028780258201536
54.234676547007	0.028192507362071
54.481443167156	0.027555658821975
54.728209787306	0.026869230376829
54.974976407456	0.026133056802901
55.221743027605	0.025347143604428
55.468509647755	0.024511569443514
55.715276267905	0.023626603058259
55.962042888054	0.022692805365312
56.208809508204	0.021710924461635
56.455576128354	0.020681773113040
56.702342748504	0.019606320792914
56.949109368653	0.018485853485461
57.195875988803	0.017321906692628
57.442642608953	0.016116049427412
57.689409229102	0.014869880106966
57.936175849252	0.013585278398194
58.182942469402	0.012264514181413
58.429709089552	0.010909988785766
58.676475709701	0.0095239570663681
58.923242329851	0.0081086520390486
59.170008950001	0.0066666403347828
59.416775570150	0.0052008661619020
59.663542190300	0.0037142860666875
59.910308810450	0.0022096047957408
60.157075430599	0.00068947764675446
60.403842050749	-0.00084314684795174
60.650608670899	-0.0023850684473862
60.897375291049	-0.0039332099436463
61.144141911198	-0.0054847962605470
61.390908531348	-0.0070371199034110
61.637675151498	-0.0085872700095350
61.884441771647	-0.010132210486544
62.131208391797	-0.011669074641055
62.377975011947	-0.013195293183543
62.624741632097	-0.014708477627272
62.871508252246	-0.016206291511364
63.118274872396	-0.017686437374558
63.365041492546	-0.019146669488874
63.611808112695	-0.020584808729121
63.858574732845	-0.021998869524897
64.105341352995	-0.023387245548091
64.352107973144	-0.024748679524324
64.598874593294	-0.026081950051449
64.845641213444	-0.027385658958022
65.092407833594	-0.028658464458809
65.339174453743	-0.029899499353848
65.585941073893	-0.031108392622836
65.832707694043	-0.032284833267040
66.079474314192	-0.033428284170558
66.326240934342	-0.034538265368258
66.573007554492	-0.035614800512494
66.819774174642	-0.036658359349516
67.066540794791	-0.037669350156208
67.313307414941	-0.038647878876769
67.560074035091	-0.039594117363157
67.806840655240	-0.040508750575875
68.053607275390	-0.041392866378953
68.300373895540	-0.042247445490808
68.547140515690	-0.043073146917550
68.793907135839	-0.043870629589392
69.040673755989	-0.044640918700359
69.287440376139	-0.045385340343911
69.534206996288	-0.046105183867468
69.780973616438	-0.046801550556247
70.027740236588	-0.047475485214809
70.274506856737	-0.048128114730426
70.521273476887	-0.048760635227404
70.768040097037	-0.049374266031225
71.014806717187	-0.049970254879558
71.261573337336	-0.050549839404044
71.508339957486	-0.051114143689116
71.755106577636	-0.051664181290805
72.001873197785	-0.052201026067377
72.248639817935	-0.052725906387244
72.495406438085	-0.053240015394847
72.742173058235	-0.053744262040062
72.988939678384	-0.054239349247376
73.235706298534	-0.054726121674130
73.482472918684	-0.055205691630674
73.729239538833	-0.055679129039080
73.976006158983	-0.056147138932002
74.222772779133	-0.056610189618274
74.469539399283	-0.057068904314687
74.716306019432	-0.057524141284985
74.963072639582	-0.057976657061474
75.209839259732	-0.058426874672093
75.456605879881	-0.058875116667996
75.703372500031	-0.059321955901209
75.950139120181	-0.059768147693246
76.196905740330	-0.060214220452993
76.443672360480	-0.060660301123504
76.690438980630	-0.061106413021382
76.937205600780	-0.061552831787479
77.183972220929	-0.062000053268248
77.430738841079	-0.062448490405983
77.677505461229	-0.062898323921229
77.924272081378	-0.063349620589786
78.171038701528	-0.063802468342836
78.417805321678	-0.064256968295152
78.664571941828	-0.064713197084136
78.911338561977	-0.065171231720473
79.158105182127	-0.065631136860883
79.404871802277	-0.066092866968450
79.651638422426	-0.066556249784899
79.898405042576	-0.067021153575816
80.145171662726	-0.067487619578978
80.391938282875	-0.067955712935485
80.638704903025	-0.068425251925846
80.885471523175	-0.068895812611156
81.132238143325	-0.069367037077454
81.379004763474	-0.069838805318783
81.625771383624	-0.070311005308650
81.872538003774	-0.070783240145952
82.119304623923	-0.071254928557209
82.366071244073	-0.071725663348815
82.612837864223	-0.072195276210547
82.859604484373	-0.072663478218300
83.106371104522	-0.073129595049493
83.353137724672	-0.073592802170505
83.599904344822	-0.074052531059511
83.846670964971	-0.074508458067616
84.093437585121	-0.074960095647587
84.340204205271	-0.075406579086617
84.586970825421	-0.075846942931920
84.833737445570	-0.076280471723422
85.080504065720	-0.076706635281301
85.327270685870	-0.077124740889948
85.574037306019	-0.077533805654198
85.820803926169	-0.077932776019646
86.067570546319	-0.078320727352158
86.314337166468	-0.078696789647302
86.561103786618	-0.079059997978309
86.807870406768	-0.079409326979057
87.054637026918	-0.079743808214020
87.301403647067	-0.080062487324135
87.548170267217	-0.080364274764490
87.794936887367	-0.080647951839865
88.041703507516	-0.080912351599982
88.288470127666	-0.081156442956744
88.535236747816	-0.081379200738504
88.782003367966	-0.081579491269434
89.028769988115	-0.081756165391494
89.275536608265	-0.081908186030882
89.522303228415	-0.082034541138611
89.769069848564	-0.082134062272605
90.015836468714	-0.082205481546722
90.262603088864	-0.082247716751230
90.509369709013	-0.082259981480470
90.756136329163	-0.082241523940177
91.002902949313	-0.082191344512351
91.249669569463	-0.082108301856375
91.496436189612	-0.081991464299086
91.743202809762	-0.081840211704517
91.989969429912	-0.081653967886816
92.236736050061	-0.081431981145905
92.483502670211	-0.081173474185968
92.730269290361	-0.080877921949147
92.977035910511	-0.080545042605165
93.223802530660	-0.080174537332852
93.470569150810	-0.079765983009775
93.717335770960	-0.079319026593342
93.964102391109	-0.078833577304461
94.210869011259	-0.078309730875213
94.457635631409	-0.077747577669287
94.704402251559	-0.077147183831624
94.951168871708	-0.076508723177330
95.197935491858	-0.075832521621011
95.444702112008	-0.075118977268289
95.691468732157	-0.074368546312739
95.938235352307	-0.073581840575478
96.185001972457	-0.072759633020916
96.431768592606	-0.071902687697795
96.678535212756	-0.071011656736379
96.925301832906	-0.070087251455314
97.172068453056	-0.069130477824419
97.418835073205	-0.068142573855204
97.665601693355	-0.067124697230210
97.912368313505	-0.066077796043046
98.159134933654	-0.065002844326799
98.405901553804	-0.063901085775263
98.652668173954	-0.062773917072059
98.899434794104	-0.061622589634406
99.146201414253	-0.060448183525418
99.392968034403	-0.059251885200014
99.639734654553	-0.058035125088355
99.886501274702	-0.056799334338659
100.13326789485	-0.055545664606181
100.38003451500	-0.054275087517059
100.62680113515	-0.052988735825076
100.87356775530	-0.051687993128104
101.12033437545	-0.050374205006941
101.36710099560	-0.049048416823727
101.61386761575	-0.047711469945666
101.86063423590	-0.046364266567209
102.10740085605	-0.045007826497697
102.35416747620	-0.043643118423489
102.60093409635	-0.042270950685877
102.84770071650	-0.040892035951581
103.09446733665	-0.039507057035835
103.34123395680	-0.038116625235493
103.58800057695	-0.036721258679213
103.83476719710	-0.035321464329436
104.08153381725	-0.033917768941449
104.32830043740	-0.032510577636866
104.57506705755	-0.031100051937650
104.82183367770	-0.029686253752807
105.06860029785	-0.028269412975508
105.31536691800	-0.026849919295728
105.56213353815	-0.025427986098709
105.80890015830	-0.024003436130826
106.05566677845	-0.022575941125566
106.30243339859	-0.021145417573350
106.54920001874	-0.019712045043107
106.79596663889	-0.018275897691764
107.04273325904	-0.016836715471464
107.28949987919	-0.015394114488115
107.53626649934	-0.013947898064721
107.78303311949	-0.012498023838725
108.02979973964	-0.011044324261457
108.27656635979	-0.0095864308153084
108.52333297994	-0.0081240105842110
108.77009960009	-0.0066569474221142
109.01686622024	-0.0051852082305987
109.26363284039	-0.0037086171299289
109.51039946054	-0.0022268677738142
109.75716608069	-0.00073971795590558
110.00393270084	0.00075293780243068
110.25069932099	0.0022511789017202
110.49746594114	0.0037551236715403
110.74423256129	0.0052648436333107
