#Parameters = {offset=1.5024408476923; Conductivity_Mo=17900000; C_1=26.243897880769; C_2=97.94356027968; Conductivity=10000000; Conductivity_MoGr=1000000; Ip=101.39863498211; Pipe_lenght=40; Pipe_r=30; beta=1; cells_wave=20; conductivity_copper=59500000; d=-397.94356027968; half_gap_x=3.7561021192308; half_gap_y=30; half_gap_z=150; mu_copper=0.999994; offset_x=1; offset_y=5; sigma_z=5; teta=15; thcoll=26.243897880769; translate_z=-247.94356027968; wakelength=20000}
#"Frequency / GHz"	"X [Re / Ohm]"	"X [Im / Ohm]"
#-----------------------------------------------
0.0000000000000	-4.1808671875676e-12	-11.208616799693
0.0020002000200020	10.018322390100	-13.822341728339
0.0040004000400040	17.357448434854	-20.874485343020
0.0060006000600060	20.219958618314	-30.278844677168
0.0080008000800080	18.240960102873	-39.383583889380
0.010001000100010	12.512600864252	-45.867393904339
0.012001200120012	5.0993184575931	-48.460110580720
0.014001400140014	-1.7422286886267	-47.233642889397
0.016001600160016	-6.3248723459016	-43.393213740231
0.018001800180018	-7.9944963386515	-38.698614876281
0.020002000200020	-7.1597757779914	-34.775778914039
0.022002200220022	-4.9374166000766	-32.591427949944
0.024002400240024	-2.6066098141438	-32.263767028057
0.026002600260026	-1.1137050593465	-33.224104126574
0.028002800280028	-0.80972471153670	-34.601680973598
0.030003000300030	-1.4777863534799	-35.635644640149
0.032003200320032	-2.5780691459837	-35.942971961057
0.034003400340034	-3.5613363451208	-35.564552346945
0.036003600360036	-4.1034037989914	-34.821737674773
0.038003800380038	-4.1786649463095	-34.090849895684
0.040004000400040	-3.9800482667909	-33.615709532260
0.042004200420042	-3.7606003012529	-33.433849247836
0.044004400440044	-3.6908555160297	-33.421949273144
0.046004600460046	-3.7967168103988	-33.408141906720
0.048004800480048	-3.9882879492877	-33.278522539031
0.050005000500050	-4.1423438434802	-33.024949367651
0.052005200520052	-4.1822921510791	-32.723262484191
0.054005400540054	-4.1133379430978	-32.469755373074
0.056005600560056	-4.0035562457477	-32.319881350708
0.058005800580058	-3.9327709621901	-32.262743530711
0.060006000600060	-3.9443649976275	-32.238516960575
0.062006200620062	-4.0266839685833	-32.180752534662
0.064006400640064	-4.1291287176923	-32.054983057111
0.066006600660066	-4.1975592451515	-31.872341371256
0.068006800680068	-4.2054179449733	-31.674840879083
0.070007000700070	-4.1635198137106	-31.505697417198
0.072007200720072	-4.1065927001638	-31.384356692487
0.074007400740074	-4.0683750623502	-31.299873345275
0.076007600760076	-4.0617676132417	-31.223381464989
0.078007800780078	-4.0749070630958	-31.129114558574
0.080008000800080	-4.0829308309726	-31.010063256311
0.082008200820082	-4.0659234270352	-30.879677606705
0.084008400840084	-4.0212512818453	-30.760634665115
0.086008600860086	-3.9635485035987	-30.669319067406
0.088008800880088	-3.9139923593659	-30.606063439761
0.090009000900090	-3.8867690233647	-30.556381285616
0.092009200920092	-3.8813181774871	-30.501096396366
0.094009400940094	-3.8843687583415	-30.428146122731
0.096009600960096	-3.8793534912360	-30.338712221246
0.098009800980098	-3.8566154963651	-30.244665884718
0.10001000100010	-3.8181415025979	-30.159944160865
0.10201020102010	-3.7746392430055	-30.091841182849
0.10401040104010	-3.7377007901035	-30.037525936943
0.10601060106011	-3.7124674542323	-29.987267442311
0.10801080108011	-3.6952637913847	-29.931555775950
0.11001100110011	-3.6770865618019	-29.867229222058
0.11201120112011	-3.6501066021519	-29.798882443208
0.11401140114011	-3.6127748633230	-29.735169791071
0.11601160116012	-3.5704539688831	-29.682842680257
0.11801180118012	-3.5316007763985	-29.642490589641
0.12001200120012	-3.5023024342142	-29.608505265820
0.12201220122012	-3.4827302352713	-29.572912726999
0.12401240124012	-3.4675467544572	-29.530340433971
0.12601260126013	-3.4496519379686	-29.480935454089
0.12801280128013	-3.4246357874346	-29.429621243089
0.13001300130013	-3.3931144900336	-29.382508427933
0.13201320132013	-3.3597120226751	-29.342968068424
0.13401340134013	-3.3296588904133	-29.309847055625
0.13601360136014	-3.3053778489452	-29.278729823467
0.13801380138014	-3.2852125098430	-29.245152914957
0.14001400140014	-3.2649062934345	-29.207547803441
0.14201420142014	-3.2406448900540	-29.168056464358
0.14401440144014	-3.2115842923195	-29.130872321366
0.14601460146015	-3.1802833899588	-29.099360665448
0.14801480148015	-3.1509170351494	-29.073890101804
0.15001500150015	-3.1265652134512	-29.051707370541
0.15201520152015	-3.1073629642613	-29.028791939986
0.15401540154015	-3.0906179786268	-29.002378263861
0.15601560156016	-3.0726767784083	-28.972509923163
0.15801580158016	-3.0512336372665	-28.941724702733
0.16001600160016	-3.0265976262772	-28.913217976308
0.16201620162016	-3.0012067052383	-28.888765343201
0.16401640164016	-2.9778424602939	-28.867737164303
0.16601660166017	-2.9577878814614	-28.847740627157
0.16801680168017	-2.9401109970102	-28.826347593529
0.17001700170017	-2.9224491216476	-28.802713561407
0.17201720172017	-2.9026798175143	-28.778049335737
0.17401740174017	-2.8803378575963	-28.754715682861
0.17601760176018	-2.8568763651334	-28.734611485236
0.17801780178018	-2.8346703821480	-28.717937071422
0.18001800180018	-2.8154742039279	-28.703106659985
0.18201820182018	-2.7993499553522	-28.687800927199
0.18401840184018	-2.7847215547246	-28.670423224331
0.18601860186019	-2.7694503972563	-28.651011669516
0.18801880188019	-2.7521856527128	-28.631065987137
0.19001900190019	-2.7331162935450	-28.612473564498
0.19201920192019	-2.7136910775512	-28.596280231387
0.19401940194019	-2.6955602564438	-28.582099924351
0.19601960196020	-2.6794735034897	-28.568495103324
0.19801980198020	-2.6648478521902	-28.554014586002
