Frequency [GHz]	Zx real [Ohm/m]	Zy real [Ohm/m]
2.362508465477946229e-09	4.084676874770988888e+03	7.282784741208537525e+03
2.439986297259550245e-09	4.199462618755675066e+03	7.494109618826078986e+03
2.520004993764092080e-09	4.318012730442454995e+03	7.712364839152889544e+03
2.602647881969005809e-09	4.440450661260964807e+03	7.937777680920231433e+03
2.688001021537606561e-09	4.566903911197378875e+03	8.170582876404419039e+03
2.776153294436799262e-09	4.697504161565736467e+03	8.411022855863848235e+03
2.867196497493770032e-09	4.832387412133475664e+03	8.659347999992256518e+03
2.961225437988034610e-09	4.971694122743936532e+03	8.915816900651083415e+03
3.058338032378433485e-09	5.115569359583381811e+03	9.180696630152569924e+03
3.158635408267817403e-09	5.264162946244749946e+03	9.454263019373815041e+03
3.262222009711669644e-09	5.417629619745555829e+03	9.736800944991613505e+03
3.369205705980266915e-09	5.576129191662310404e+03	1.002860462613697746e+04
3.479697903887691433e-09	5.739826714549344615e+03	1.032997793077847018e+04
3.593813663804627762e-09	5.908892653815259109e+03	1.064123469215321529e+04
3.711671819475765297e-09	6.083503065236020120e+03	1.096269903557519683e+04
3.833395101766601886e-09	6.263839778289587230e+03	1.129470571596121044e+04
3.959110266468459240e-09	6.450090585502886825e+03	1.163760046642578163e+04
4.088948226294862618e-09	6.642449438008438847e+03	1.199174035830825596e+04
4.223044187206674123e-09	6.841116647514143551e+03	1.235749417300681671e+04
4.361537789208003199e-09	7.046299094896675342e+03	1.273524278600675461e+04
4.504573251759458750e-09	7.258210445635594624e+03	1.312537956350278728e+04
4.652299523960189308e-09	7.477071372312576386e+03	1.352831077202851702e+04
4.804870439655131104e-09	7.703109784407465668e+03	1.394445600151963299e+04
4.962444877628916452e-09	7.936561065630389749e+03	1.437424860225125485e+04
5.125186927053329472e-09	8.177668319037153196e+03	1.481813613610462198e+04
5.293266058360561204e-09	8.426682620183115432e+03	1.527658084263287856e+04
5.466857299720180771e-09	8.683863278579136022e+03	1.575006012041138638e+04
5.646141419303669251e-09	8.949478107721997731e+03	1.623906702417382803e+04
5.831305113526221869e-09	9.223803703980296632e+03	1.674411077825166649e+04
6.022541201461928965e-09	9.507125734626395570e+03	1.726571730685183866e+04
6.220048825634711276e-09	9.799739235314258622e+03	1.780442978172461153e+04
6.424033659394191079e-09	1.010194891731304961e+04	1.836080918779224157e+04
6.634708121092347870e-09	1.041406948481630752e+04	1.893543490732709324e+04
6.852291595284060743e-09	1.073642596265722023e+04	1.952890532328781046e+04
7.077010661181889919e-09	1.106935403477126783e+04	2.014183844244180364e+04
7.309099328602911004e-09	1.141320039375858687e+04	2.077487253892268564e+04
7.548799281653435948e-09	1.176832310191020224e+04	2.142866681889322717e+04
7.796360130405233414e-09	1.213509196407398122e+04	2.210390210700553143e+04
8.052039670825474778e-09	1.251388891274863636e+04	2.280128155537369457e+04
8.316104153230961616e-09	1.290510840580680451e+04	2.352153137579689064e+04
8.588828559546249041e-09	1.330915783726127120e+04	2.426540159599552499e+04
8.870496889654407999e-09	1.372645796150230672e+04	2.503366684064808578e+04
9.161402457138517586e-09	1.415744333144755728e+04	2.582712713804165469e+04
9.461848194721997291e-09	1.460256275106115572e+04	2.664660875317657701e+04
9.772146969725725887e-09	1.506227974271291168e+04	2.749296504819237816e+04
1.009262190987047331e-08	1.551909969212635770e+04	2.834085249320650109e+04
1.042360673976401127e-08	1.594523589103337508e+04	2.914991637132695541e+04
1.076544612842315905e-08	1.638534711234452698e+04	2.998551328243569515e+04
1.111849604819270880e-08	1.683989166317307900e+04	3.084851337023652377e+04
1.148312414543511117e-08	1.730934288069127797e+04	3.173981531456282391e+04
1.185971012337669343e-08	1.779418962503701187e+04	3.266034726721213519e+04
1.224864613750930795e-08	1.829493678838534470e+04	3.361106781847141974e+04
1.265033720395903769e-08	1.880898835349679212e+04	3.458835764587402809e+04
1.306520162124721228e-08	1.932194458195681000e+04	3.557115214884689340e+04
1.349367140588306343e-08	1.985172307241533417e+04	3.658617713407615520e+04
1.393619274224142065e-08	2.039887550644487419e+04	3.763448959158706566e+04
1.439322644719406651e-08	2.096397165786721234e+04	3.871718117510933371e+04
1.486524844997857277e-08	2.154759998608389651e+04	3.983537933886414976e+04
1.535275028780422776e-08	2.215036824886473187e+04	4.099024851163154381e+04
1.585623961771137302e-08	2.277253327091121901e+04	4.218243995908082434e+04
1.637624074521687477e-08	2.338909516494982017e+04	4.337506556601096236e+04
1.691329517029648562e-08	2.402587704101488271e+04	4.460680301000009058e+04
1.746796215127245689e-08	2.468354200799632235e+04	4.587893495325933327e+04
