# Frequency (Hz)	Imaginary Part (Ohm/m)
0.1	78840164.52410904
0.10002620760039364	78840163.19671775
0.10005242206917049	78840161.86897859
0.10007864340813055	78840160.54089148
0.10010487161907435	78840159.21245629
0.10013110670380285	78840157.88367294
0.10015734866411753	78840156.55454136
0.10018359750182028	78840155.22506143
0.10020985321871355	78840153.8952331
0.10023611581660018	78840152.56505625
0.10026238529728351	78840151.23453079
0.10028866166256736	78840149.90365662
0.10031494491425604	78840148.57243365
0.10034123505415428	78840147.2408618
0.10036753208406733	78840145.908941
0.1003938360058009	78840144.57667114
0.10042014682116117	78840143.24405211
0.10044646453195477	78840141.91108385
0.10047278913998886	78840140.57776621
0.10049912064707103	78840139.24409918
0.10052545905500933	78840137.91008261
0.10055180436561235	78840136.5757164
0.1005781565806891	78840135.24100053
0.10060451570204908	78840133.90593484
0.10063088173150224	78840132.57051925
0.10065725467085905	78840131.23475373
0.10068363452193041	78840129.89863808
0.10071002128652773	78840128.56217231
0.10073641496646286	78840127.22535627
0.10076281556354817	78840125.88818987
0.10078922307959647	78840124.55067304
0.10081563751642103	78840123.21280567
0.10084205887583565	78840121.8745877
0.10086848715965456	78840120.53601898
0.10089492236969247	78840119.19709949
0.10092136450776461	78840117.85782908
0.10094781357568662	78840116.51820768
0.10097426957527467	78840115.1782352
0.10100073250834538	78840113.83791155
0.10102720237671582	78840112.49723662
0.1010536791822036	78840111.15621035
0.10108016292662676	78840109.81483263
0.10110665361180383	78840108.47310333
0.10113315123955381	78840107.13102242
0.10115965581169618	78840105.7885898
0.10118616733005091	78840104.44580534
0.10121268579643843	78840103.10266899
0.10123921121267962	78840101.7591806
0.10126574358059592	78840100.41534016
0.10129228290200919	78840099.0711475
0.10131882917874176	78840097.72660255
0.10134538241261645	78840096.38170522
0.10137194260545657	78840095.03645545
0.1013985097590859	78840093.69085313
0.10142508387532868	78840092.34489816
0.10145166495600966	78840090.99859044
0.10147825300295403	78840089.65192987
0.10150484801798751	78840088.3049164
0.10153145000293626	78840086.95754988
0.10155805895962691	78840085.60983028
0.10158467488988658	78840084.26175745
0.10161129779554291	78840082.91333133
0.10163792767842397	78840081.56455182
0.10166456454035833	78840080.21541882
0.10169120838317501	78840078.86593226
0.10171785920870356	78840077.516092
0.10174451701877395	78840076.16589801
0.10177118181521669	78840074.81535017
